"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"<MISSING>","大埔道","地下","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","27884876","大埔道","22.3301485","114.1662993","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","信德中心","267號舖 干諾道中200號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","29758367","信德中心","22.2878936","114.1520234","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","荷李活廣場","216號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","29555187","荷李活廣場","22.340554","114.2021768","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","慈雲山中心","333號 華街","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","21947428","慈雲山中心","22.3482388","114.2005514","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","朗豪坊","32-37號舖 亞皆老街","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","35144562","朗豪坊","22.3188667","114.1685026","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","跑馬地馬場","跑馬地馬場2號公眾看台","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","29667266","跑馬地馬場","22.27227","114.1807094","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","富榮花園","園地下66A號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","21756362","富榮花園","22.3143219","114.1631178","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","新翠邨","大圍新翠邨新翠商場地下1B舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","26911851","新翠邨","22.3693641","114.1812707","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","萬勝閣","深水埗荔枝角道150-174號萬盛閣地下1號舖","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23906570","萬勝閣","22.3256853","114.1646041","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","旺角道","30-36號","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","23934246","旺角道","22.3212893","114.1703633","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
"<MISSING>","田灣","2號舖 地下1及","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","25802816","田灣","22.2493714","114.1487427","mcdonalds.com.hk","<MISSING>","<MISSING>","location_name:latitude:longitude"
