"city","country_code","hours_of_operation","latitude","location_name","location_type","locator_domain","longitude","page_url","phone","state","store_number","street_address","zip"
"Williston","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-9:30PM; saturday: 11AM-9:30PM; sunday: 11AM-9PM","44.448582","Friendly's Williston","store-item","https://www.friendlysrestaurants.com","-73.110182","https://www.friendlysrestaurants.com/?post_type=store-item&p=15569?id=","802-879-1404","VT","1082","5876 Williston Road","05495"
"Hackettstown","<MISSING>","monday: 11AM-9:30PM; tuesday: 11AM-9:30PM; wednesday: 11AM-9:30PM; thursday: 11AM-9:30PM; friday: 11AM-9:30PM; saturday: 11AM-9:30PM; sunday: 11AM-9:30PM","40.8369","Friendly's Hackettstown","store-item","https://www.friendlysrestaurants.com","-74.8236","https://www.friendlysrestaurants.com/?post_type=store-item&p=15572?id=","908-852-4191","NJ","664","304 Mountain Avenue","07840"
"Shirley","<MISSING>","monday: 11AM-11PM; tuesday: 11AM-11PM; wednesday: 11AM-11PM; thursday: 11AM-11PM; friday: 11AM-12AM; saturday: 9AM-12AM; sunday: 9AM-11PM","40.8017","Friendly's Shirley","store-item","https://www.friendlysrestaurants.com","-72.8629","https://www.friendlysrestaurants.com/?post_type=store-item&p=15574?id=","631-772-1860","NY","7640","940 Montauk Highway","11967"
"Baltimore","<MISSING>","monday: 8AM-10PM; tuesday: 8AM-10PM; wednesday: 8AM-10PM; thursday: 8AM-10PM; friday: 8AM-10PM; saturday: 8AM-10PM; sunday: 8AM-10PM","39.4114","Friendly's Baltimore","store-item","https://www.friendlysrestaurants.com","-76.4651","https://www.friendlysrestaurants.com/?post_type=store-item&p=15575?id=","410-256-2120","MD","7012","9551 Bel Air Road","21236"
"Tannersville","<MISSING>","monday: 8AM-10PM; tuesday: 8AM-10PM; wednesday: 8AM-10PM; thursday: 8AM-10PM; friday: 8AM-11PM; saturday: 8AM-11PM; sunday: 8AM-10PM","41.0398","Friendly's Tannersville","store-item","https://www.friendlysrestaurants.com","-75.3057","https://www.friendlysrestaurants.com/?post_type=store-item&p=15576?id=","570-619-8877","PA","7320","2942 Route 611","18372"
"Sicklerville","<MISSING>","monday: 11AM-11PM; tuesday: 11AM-11PM; wednesday: 11AM-11PM; thursday: 11AM-11PM; friday: 11AM-11PM; saturday: 11AM-11PM; sunday: 11AM-11PM","39.7295","Friendly's Sicklerville","store-item","https://www.friendlysrestaurants.com","-75.0126","https://www.friendlysrestaurants.com/?post_type=store-item&p=15577?id=","856-262-2371","NJ","7776","647 Cross Keys Road","08081"
"Hadley","<MISSING>","monday: 11AM-8PM; tuesday: 11AM-8PM; wednesday: 11AM-8PM; thursday: 11AM-8PM; friday: 11AM-8PM; saturday: 11AM-8PM; sunday: 11AM-8PM","42.3639","Friendly's Hadley","store-item","https://www.friendlysrestaurants.com","-72.5377","https://www.friendlysrestaurants.com/?post_type=store-item&p=15579?id=","413-253-7640","MA","7552","455 Russell Street Route 9","01035"
"Hagerstown","<MISSING>","monday: 8AM-10PM; tuesday: 8AM-10PM; wednesday: 8AM-10PM; thursday: 8AM-10PM; friday: 8AM-10PM; saturday: 8AM-10PM; sunday: 8AM-10PM","39.6652","Friendly's Hagerstown","store-item","https://www.friendlysrestaurants.com","-77.6997","https://www.friendlysrestaurants.com/?post_type=store-item&p=15580?id=","301-733-9570","MD","7810","12814-A Shank Farm Way","21742"
"Plainville","<MISSING>","monday: 12PM-9PM; tuesday: 12PM-9PM; wednesday: 12PM-9PM; thursday: 12PM-9PM; friday: 12PM-9PM; saturday: 12PM-9PM; sunday: 12PM-9PM","41.6762","Friendly's Plainville","store-item","https://www.friendlysrestaurants.com","-72.8419","https://www.friendlysrestaurants.com/?post_type=store-item&p=15582?id=","860-410-9703","CT","1251","230 New Britain Avenue","06062"
"Springfield","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-9PM; saturday: 11AM-9PM; sunday: 11AM-9PM","42.1456","Friendly's Springfield","store-item","https://www.friendlysrestaurants.com","-72.4832","https://www.friendlysrestaurants.com/?post_type=store-item&p=15583?id=","413-543-1286","MA","832","1811 Boston Road","01129"
"East Stroudsburg","<MISSING>","monday: 9AM-9PM; tuesday: 9AM-9PM; wednesday: 9AM-9PM; thursday: 9AM-9PM; friday: 9AM-9PM; saturday: 9AM-9PM; sunday: 9AM-9PM","40.9921","Friendly's East Stroudsburg","store-item","https://www.friendlysrestaurants.com","-75.1856","https://www.friendlysrestaurants.com/?post_type=store-item&p=15584?id=","570-426-1600","PA","7347","115 Brown Street","18301"
"Fall River","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-9PM; saturday: 11AM-9PM; sunday: 11AM-9PM","41.675995","Friendly's Fall River","store-item","https://www.friendlysrestaurants.com","-71.162936","https://www.friendlysrestaurants.com/?post_type=store-item&p=15585?id=","508-673-0891","MA","689","135 Marianno S. Bishop Boulevard","02722"
"Dunmore","<MISSING>","monday: 8AM-9PM; tuesday: 8AM-9PM; wednesday: 8AM-9PM; thursday: 8AM-9PM; friday: 8AM-10PM; saturday: 8AM-10PM; sunday: 8AM-9PM","41.428819","Friendly's Dunmore","store-item","https://www.friendlysrestaurants.com","-75.622946","https://www.friendlysrestaurants.com/?post_type=store-item&p=15586?id=","570-961-1565","PA","4005","708 North Blakely Street","18512"
"Lancaster","<MISSING>","monday: 11AM-10PM; tuesday: 11AM-10PM; wednesday: 11AM-10PM; thursday: 11AM-10PM; friday: 11AM-11PM; saturday: 8AM-11PM; sunday: 8AM-10PM","40.0293","Friendly's Lancaster","store-item","https://www.friendlysrestaurants.com","-76.2296","https://www.friendlysrestaurants.com/?post_type=store-item&p=15587?id=","717-299-6184","PA","7364","2150 Lincoln Highway East","17602"
"Lebanon","<MISSING>","monday: 12PM-9:30PM; tuesday: 12PM-9:30PM; wednesday: 12PM-9:30PM; thursday: 12PM-9:30PM; friday: 12PM-9:30PM; saturday: 12PM-9:30PM; sunday: 12PM-9:30PM","40.314013","Friendly's Lebanon","store-item","https://www.friendlysrestaurants.com","-76.424808","https://www.friendlysrestaurants.com/?post_type=store-item&p=15590?id=","717-274-9540","PA","1237","1701 Quentin Road","17042"
"Indian Harbor Beach","<MISSING>","monday: 9AM-10PM; tuesday: 9AM-10PM; wednesday: 9AM-10PM; thursday: 9AM-10PM; friday: 9AM-10PM; saturday: 8AM-10PM; sunday: 8AM-10PM","28.1382","Friendly's Indian Harbor Beach","store-item","https://www.friendlysrestaurants.com","-80.5815","https://www.friendlysrestaurants.com/?post_type=store-item&p=15591?id=","321-777-5035","FL","7695","1011 E. Eau Gallie Boulevard","32937"
"Commack","<MISSING>","monday: 11AM-11PM; tuesday: 11AM-11PM; wednesday: 11AM-11PM; thursday: 11AM-11PM; friday: 11AM-12AM; saturday: 11AM-12AM; sunday: 11AM-11PM","40.8445","Friendly's Commack","store-item","https://www.friendlysrestaurants.com","-73.2788","https://www.friendlysrestaurants.com/?post_type=store-item&p=15596?id=","631-499-7330","NY","7622","2151 Jericho Turnpike","11725"
"Ithaca","<MISSING>","monday: 12PM-9:30PM; tuesday: 12PM-9:30PM; wednesday: 12PM-9:30PM; thursday: 12PM-9:30PM; friday: 12PM-9:30PM; saturday: 12PM-9:30PM; sunday: 12PM-9:30PM","42.4834","Friendly's Ithaca","store-item","https://www.friendlysrestaurants.com","-76.4823","https://www.friendlysrestaurants.com/?post_type=store-item&p=15598?id=","607-257-5797","NY","7450","2309 N. Triphammer Road","14850"
"Glen Burnie","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-10PM; saturday: 11AM-10PM; sunday: 11AM-9PM","39.179243","Friendly's Glen Burnie","store-item","https://www.friendlysrestaurants.com","-76.61578","https://www.friendlysrestaurants.com/?post_type=store-item&p=15599?id=","410-761-7362","MD","7015","7134 Gov. Ritchie Highway","21061"
"Deptford","<MISSING>","monday: 11AM-11PM; tuesday: 11AM-11PM; wednesday: 11AM-11PM; thursday: 11AM-11PM; friday: 11AM-11PM; saturday: 11AM-11PM; sunday: 11AM-11PM","39.829008","Friendly's Deptford","store-item","https://www.friendlysrestaurants.com","-75.09008","https://www.friendlysrestaurants.com/?post_type=store-item&p=15600?id=","856-232-1212","NJ","7775","1220 Hurffville Road","08096"
"West Springfield","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-9PM; saturday: 11AM-9PM; sunday: 11AM-9PM","42.1338","Friendly's West Springfield","store-item","https://www.friendlysrestaurants.com","-72.6263","https://www.friendlysrestaurants.com/?post_type=store-item&p=15604?id=","413-733-9062","MA","847","1094 Riverdale Road","01089"
"Leominster","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-9PM; saturday: 11AM-9PM; sunday: 11AM-9PM","42.5477","Friendly's Leominster","store-item","https://www.friendlysrestaurants.com","-71.7621","https://www.friendlysrestaurants.com/?post_type=store-item&p=15606?id=","978-537-9787","MA","1087","482 North Main Street","01453"
"Myrtle Beach","<MISSING>","monday: 7AM-10:30PM; tuesday: 7AM-10:30PM; wednesday: 7AM-10:30PM; thursday: 7AM-10:30PM; friday: 7AM-11PM; saturday: 7AM-11PM; sunday: 7AM-10:30PM","33.7225","Friendly's Myrtle Beach","store-item","https://www.friendlysrestaurants.com","-78.8485","https://www.friendlysrestaurants.com/?post_type=store-item&p=15610?id=","843-497-6665","SC","7319","4705 N Kings Highway","29577"
"Camp Hill","<MISSING>","monday: 12PM-9:30PM; tuesday: 12PM-9:30PM; wednesday: 12PM-9:30PM; thursday: 12PM-9:30PM; friday: 12PM-9:30PM; saturday: 12PM-9:30PM; sunday: 12PM-9:30PM","40.2394","Friendly's Camp Hill","store-item","https://www.friendlysrestaurants.com","-76.9338","https://www.friendlysrestaurants.com/?post_type=store-item&p=15611?id=","717-975-9611","PA","1202","3125 Market Street","17011"
"Orlando","<MISSING>","monday: 10AM-10PM; tuesday: 10AM-10PM; wednesday: 10AM-10PM; thursday: 10AM-10PM; friday: 10AM-11PM; saturday: 10AM-11PM; sunday: 10AM-10PM","28.4397","Friendly's Orlando","store-item","https://www.friendlysrestaurants.com","-81.4716","https://www.friendlysrestaurants.com/?post_type=store-item&p=15615?id=","407-345-1655","FL","7689","8718 International Drive","32819"
"York","<MISSING>","monday: 8AM-11PM; tuesday: 8AM-11PM; wednesday: 8AM-11PM; thursday: 8AM-11PM; friday: 8AM-11PM; saturday: 8AM-11PM; sunday: 8AM-11PM","39.9828","Friendly's York","store-item","https://www.friendlysrestaurants.com","-76.7436","https://www.friendlysrestaurants.com/?post_type=store-item&p=15616?id=","717-843-2381","PA","7362","423 Loucks Road","17404"
"Easton","<MISSING>","monday: 8AM-9PM; tuesday: 8AM-9PM; wednesday: 8AM-9PM; thursday: 8AM-9PM; friday: 8AM-10PM; saturday: 8AM-10PM; sunday: 8AM-9PM","40.6762","Friendly's Easton","store-item","https://www.friendlysrestaurants.com","-75.2625","https://www.friendlysrestaurants.com/?post_type=store-item&p=15617?id=","610-258-4360","PA","7672","3099 William Penn Highway","18042"
"Hockessin","<MISSING>","monday: 11AM-10PM; tuesday: 11AM-10PM; wednesday: 11AM-10PM; thursday: 11AM-10PM; friday: 11AM-11PM; saturday: 8AM-11PM; sunday: 8AM-10PM","39.7766","Friendly's Hockessin","store-item","https://www.friendlysrestaurants.com","-75.7132","https://www.friendlysrestaurants.com/?post_type=store-item&p=15620?id=","302-239-3100","DE","7793","80 Lantana Drive","19707"
"Smithtown","<MISSING>","monday: 11AM-11PM; tuesday: 11AM-11PM; wednesday: 11AM-11PM; thursday: 11AM-11PM; friday: 11AM-12AM; saturday: 11AM-12AM; sunday: 11AM-11PM","40.8371","Friendly's Smithtown","store-item","https://www.friendlysrestaurants.com","-73.1853","https://www.friendlysrestaurants.com/?post_type=store-item&p=15621?id=","631-361-4974","NY","7629","220 Mount Pleasant Road","11787"
"Morrisville","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-10PM; saturday: 11AM-10PM; sunday: 11AM-9PM","40.208009","Friendly's Morrisville","store-item","https://www.friendlysrestaurants.com","-74.801018","https://www.friendlysrestaurants.com/?post_type=store-item&p=15624?id=","215-295-8243","PA","362","897 West Trenton Avenue","19067"
"Chicopee","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-9PM; saturday: 11AM-9PM; sunday: 11AM-9PM","42.1723","Friendly's Chicopee","store-item","https://www.friendlysrestaurants.com","-72.5761","https://www.friendlysrestaurants.com/?post_type=store-item&p=15625?id=","413-592-4221","MA","816","529 Memorial Drive","01020"
"Lancaster","<MISSING>","monday: 8AM-11PM; tuesday: 8AM-11PM; wednesday: 8AM-11PM; thursday: 8AM-11PM; friday: 8AM-11PM; saturday: 8AM-11PM; sunday: 8AM-11PM","40.0625","Friendly's Lancaster","store-item","https://www.friendlysrestaurants.com","-76.3054","https://www.friendlysrestaurants.com/?post_type=store-item&p=15626?id=","717-393-3369","PA","7328","1521 Oregon Pike","17601"
"East Longmeadow","<MISSING>","monday: 11AM-9PM; tuesday: 11AM-9PM; wednesday: 11AM-9PM; thursday: 11AM-9PM; friday: 11AM-9PM; saturday: 11AM-9PM; sunday: 11AM-9PM","42.0796","Friendly's East Longmeadow","store-item","https://www.friendlysrestaurants.com","-72.5335","https://www.friendlysrestaurants.com/?post_type=store-item&p=15631?id=","413-781-0839","MA","25","562 North Main Street","01028"
"Pottsville","<MISSING>","monday: CLOSED-CLOSED; tuesday: CLOSED-CLOSED; wednesday: CLOSED-CLOSED; thursday: CLOSED-CLOSED; friday: CLOSED-CLOSED; saturday: CLOSED-CLOSED; sunday: CLOSED-CLOSED","40.7048","Friendly's Pottsville","store-item","https://www.friendlysrestaurants.com","-76.1923","https://www.friendlysrestaurants.com/?post_type=store-item&p=15634?id=","570-429-1199","PA","7779","7340 Fairlane Mall-Route 61 N","17901"
"Medford","<MISSING>","monday: 11AM-11PM; tuesday: 11AM-11PM; wednesday: 11AM-11PM; thursday: 11AM-11PM; friday: 11AM-12AM; saturday: 11AM-12AM; sunday: 11AM-11PM","40.817599","Friendly's Medford","store-item","https://www.friendlysrestaurants.com","-73.000107","https://www.friendlysrestaurants.com/?post_type=store-item&p=15639?id=","631-448-7722","NY","7631","700-80 Route 101","11763"
