"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address"
"https://www.wholesaleclub.ca/store-locator/details/307","Wholesale Club Chebucto Road","7111 Chebucto Rd","Halifax","NS","B3L 4T2","CA","LCL0000307","None","Wholesale Club","44.643902","-63.620463","https://www.wholesaleclub.ca","Mon-Sat 7:30 AM-6:00 PM|Sun 11:00 AM-5:00 PM|","False"
"https://stores.shoppersdrugmart.ca/en/store/2002","SHOPPERS DRUG MART West End Mall","6960 MUMFORD ROAD, Unit 0115","Halifax","NS","B3L 4P1","CA","SDM0002002","902-453-7750","Shoppers Drug Mart","44.6453","-63.6193","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-10:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/138","SHOPPERS DRUG MART Joseph Howe & Dutch Village","3430 JOSEPH HOWE DR","Halifax","NS","B3L 4H7","CA","SDM0000138","902-443-6084","HOME HEALTH CARE","44.6541","-63.6306","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-12:00 AM|","True"
"https://www.atlanticsuperstore.ca/store-locator/details/379","Atlantic Superstore Joseph Howe Drive","3601 Joseph Howe Dr","Halifax","NS","B3L 4H8","CA","LCL0000379","None","Atlantic Superstore","44.657633","-63.627408","https://www.atlanticsuperstore.ca","Mon-Sat 8:00 AM-10:00 PM|Sun 8:00 AM-9:00 PM|","False"
"https://www.atlanticsuperstore.ca/store-locator/details/354","Atlantic Superstore - Young Street","6141 Young Street","Halifax","NS","B3K 2A5","CA","LCL0000354","None","Atlantic Superstore","44.65815","-63.605779","https://www.atlanticsuperstore.ca","Mon-Sun 8:00 AM-10:00 PM|","False"
"https://www.atlanticsuperstore.ca/store-locator/details/383","Atlantic Superstore Quinpool Road","6139 Quinpool Rd","Halifax","NS","B3L 4P6","CA","LCL0000383","None","Atlantic Superstore","44.646262","-63.595205","https://www.atlanticsuperstore.ca","Mon-Sun 8:00 AM-10:00 PM|","False"
"https://stores.shoppersdrugmart.ca/en/store/137","SHOPPERS DRUG MART Quinpool","6139 QUINPOOL RD","Halifax","NS","B3L 4P6","CA","SDM0000137","902-429-1700","Shoppers Drug Mart","44.6466","-63.5942","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-10:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/2008","SHOPPERS DRUG MART Robie Street","6025 ALMON STREET","Halifax","NS","B3K 1T9","CA","SDM0002008","902-453-3723","Shoppers Drug Mart","44.6573","-63.5991","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-12:00 AM|","True"
"https://stores.shoppersdrugmart.ca/en/store/2019","SHOPPERS SIMPLY PHARMACY Qe11 Hospital Infirmary","1801 ROBIE STREET","Halifax","NS","B3H 3G1","CA","SDM0002019","902-473-7300","HOME HEALTH CARE","44.6453","-63.5881","https://stores.shoppersdrugmart.ca","Mon-Fri 9:00 AM-5:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/3006","SHOPPERS SIMPLY PHARMACY Qe11 Hospital Vg Site","1276 SOUTH PARK STREET","Halifax","NS","B3H 2Y9","CA","SDM0003006","902-473-7210","Shoppers Simply Pharmacy","44.6383","-63.5813","https://stores.shoppersdrugmart.ca","Mon-Fri 8:30 AM-5:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/134","SHOPPERS DRUG MART Spryfield","315 HERRING COVE RD","Halifax","NS","B3R 1V5","CA","SDM0000134","902-477-1210","Shoppers Drug Mart","44.6154","-63.6159","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-10:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/147","SHOPPERS DRUG MART Spring Garden Road","5524 SPRING GARDEN RD","Halifax","NS","B3J 1G5","CA","SDM0000147","902-429-2400","Shoppers Drug Mart","44.6427","-63.5775","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-12:00 AM|","True"
"https://stores.shoppersdrugmart.ca/en/store/136","SHOPPERS DRUG MART Clayton Park Sc","278 LACEWOOD DR","Halifax","NS","B3M 3N8","CA","SDM0000136","902-443-5214","Shoppers Drug Mart","44.6617","-63.6545","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-12:00 AM|","True"
"https://yourindependentgrocer.ca/store-locator/details/3350","Dylan's NOFRILLS Spryfield","16 Dentith Rd","Spryfield","NS","B3R 2H9","CA","LCL0003350","None","No Frills","44.612046","-63.618468","https://yourindependentgrocer.ca","Mon-Sat 8:00 AM-9:00 PM|Sun 9:00 AM-8:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/133","SHOPPERS DRUG MART Fenwick","5595 FENWICK ST","Halifax","NS","B3H 4M2","CA","SDM0000133","902-421-1683","HOME HEALTH CARE","44.638","-63.5746","https://stores.shoppersdrugmart.ca","Mon-Fri 9:00 AM-9:00 PM|Sat-Sun 10:00 AM-6:00 PM|","True"
"https://www.atlanticsuperstore.ca/store-locator/details/369","Atlantic Superstore Barrington Street","1075 Barrington St","Halifax","NS","B3H 2P8","CA","LCL0000369","None","Atlantic Superstore","44.637886","-63.569753","https://www.atlanticsuperstore.ca","Mon-Sat 8:00 AM-9:00 PM|Sun 9:00 AM-8:00 PM|","False"
"https://www.atlanticsuperstore.ca/store-locator/details/358","Atlantic Superstore Chain Lake Drive","210 Chain Lake Dr","Halifax","NS","B3S 1A2","CA","LCL0000358","None","Atlantic Superstore","44.653757","-63.674368","https://www.atlanticsuperstore.ca","Mon-Sat 8:00 AM-10:00 PM|Sun 8:00 AM-8:00 PM|","False"
"https://yourindependentgrocer.ca/store-locator/details/2712","Gouthro's NOFRILLS Dartmouth","118 Wyse Rd","Dartmouth","NS","B3A 1N7","CA","LCL0002712","None","No Frills","44.671528","-63.578424","https://yourindependentgrocer.ca","Mon-Sat 8:00 AM-10:00 PM|Sun 9:00 AM-8:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/166","SHOPPERS DRUG MART Wyse Rd","118 WYSE RD","Dartmouth","NS","B3A 1N7","CA","SDM0000166","902-464-9644","Shoppers Drug Mart","44.6716","-63.5771","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-10:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/129","SHOPPERS DRUG MART Mic Mac Mall","21 MICMAC BLVD","Dartmouth","NS","B3A 4K6","CA","SDM0000129","902-463-3321","Shoppers Drug Mart","44.6867","-63.5601","https://stores.shoppersdrugmart.ca","Mon-Sat 10:00 AM-7:00 PM|Sun 12:00 PM-5:00 PM|","True"
"https://www.atlanticsuperstore.ca/store-locator/details/380","Atlantic Superstore Braemar Drive","9 Braemar Dr","Dartmouth","NS","B2Y 3H6","CA","LCL0000380","None","Atlantic Superstore","44.680958","-63.549012","https://www.atlanticsuperstore.ca","Mon-Sun 8:00 AM-10:00 PM|","False"
"https://stores.shoppersdrugmart.ca/en/store/128","SHOPPERS DRUG MART Tacoma","80 TACOMA DR","Dartmouth","NS","B2W 3E5","CA","SDM0000128","902-434-0366","Shoppers Drug Mart","44.6796","-63.5365","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-12:00 AM|","True"
"https://www.atlanticsuperstore.ca/store-locator/details/352","Atlantic Superstore Portland Street","650 Portland St","Dartmouth","NS","B2W 2M7","CA","LCL0000352","None","Atlantic Superstore","44.671369","-63.525578","https://www.atlanticsuperstore.ca","Mon-Sat 8:00 AM-10:00 PM|Sun 8:00 AM-9:00 PM|","False"
"https://www.atlanticsuperstore.ca/store-locator/details/2552","Bedford West Superstore","40 Hogan Court","Bedford","NS","B4A 0H4","CA","LCL0002552","None","Atlantic Superstore","44.696893","-63.690728","https://www.atlanticsuperstore.ca","Mon-Sun 8:00 AM-10:00 PM|","True"
"https://stores.shoppersdrugmart.ca/en/store/2014","SHOPPERS DRUG MART Portland Street","660 PORTLAND STREET","Dartmouth","NS","B2W 2M8","CA","SDM0002014","902-434-9867","Shoppers Drug Mart","44.6714","-63.5246","https://stores.shoppersdrugmart.ca","Mon-Sun 8:00 AM-10:00 PM|","True"
