"city","country_code","hours_of_operation","latitude","location_name","location_type","locator_domain","longitude","page_url","phone","state","store_number","street_address","zip"
"Spartanburg","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.936794","Spartanburg West","BranchId: 238","https://www.loansbyworld.com/","-81.981179","https://www.loansbyworld.com/locations/spartanburg-west/","8647544344","SC","18329","2500 Winchester Place,  Suite 106","29301"
"Spartanburg","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.956496","Spartanburg","BranchId: 347","https://www.loansbyworld.com/","-81.93619","https://www.loansbyworld.com/locations/spartanburg-2/","8645850168","SC","19316","544 North Church Street,  Suite A & B","29303"
"Spartanburg","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.950981","Spartanburg","BranchId: 300","https://www.loansbyworld.com/","-81.918582","https://www.loansbyworld.com/locations/spartanburg/","8645853461","SC","19337","159 South Pine Street,  Suite C","29302"
"Inman","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","35.047929","Inman","BranchId: 389","https://www.loansbyworld.com/","-82.090613","https://www.loansbyworld.com/locations/inman/","8644730727","SC","19292","1 North Main Street","29349"
"Greer","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.948016","Greer","BranchId: 270","https://www.loansbyworld.com/","-82.231976","https://www.loansbyworld.com/locations/greer/","8648776412","SC","19338","215 West Wade Hampton Boulevard,  Suite N","29650"
"Woodruff","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.74002","Woodruff","BranchId: 330","https://www.loansbyworld.com/","-82.037712","https://www.loansbyworld.com/locations/woodruff/","8644768166","SC","19333","10195 Hwy 221 Suite 2","29388"
"Greer","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.94227","Greer","BranchId: 248","https://www.loansbyworld.com/","-82.251752","https://www.loansbyworld.com/locations/greer-2/","864-874-7012","SC","18264","1309 W Poinsett St Ste A","29650-1251"
"Chesnee","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","35.142508","Chesnee","BranchId: 374","https://www.loansbyworld.com/","-81.860498","https://www.loansbyworld.com/locations/chesnee/","8643107027","SC","19302","508 S. Alabama Avenue","29323"
"Greenville","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.818992","Greenville Woodruff","BranchId: 231","https://www.loansbyworld.com/","-82.275018","https://www.loansbyworld.com/locations/greenville-woodruff/","8642970405","SC","18359","1618 Woodruff Road,  Unit F","29607"
"Mauldin","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.780505","Mauldin","BranchId: 377","https://www.loansbyworld.com/","-82.302793","https://www.loansbyworld.com/locations/mauldin/","8642849335","SC","19300","113 E. Butler Road,  Suite B","29662"
"Fountain Inn","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.70204","Fountain Inn","BranchId: 246","https://www.loansbyworld.com/","-82.217026","https://www.loansbyworld.com/locations/fountain-inn/","864-301-6481","SC","18267","1122 N Main St Ste D","29644-1322"
"Simpsonville","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.705021","Simpsonville","BranchId: 234","https://www.loansbyworld.com/","-82.2606","https://www.loansbyworld.com/locations/simpsonville/","(864) 962-3081","SC","18350","404 Harrison Bridge Road,  Suite D","29680"
"Greenville","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.850563","Greenville, SC","BranchId: 241","https://www.loansbyworld.com/","-82.375933","https://www.loansbyworld.com/locations/greenville-laurens/","864-568-0808","SC","18287","517 Laurens Road","29607"
"Gaffney","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","35.066749","Gaffney","BranchId: 243","https://www.loansbyworld.com/","-81.66376","https://www.loansbyworld.com/locations/gaffney-2/","864-514-5058","SC","18266","124 Willis Plz","29341-1500"
"Greenville","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","34.88764","Greenville","BranchId: 250","https://www.loansbyworld.com/","-82.401429","https://www.loansbyworld.com/locations/greenville/","8642334186","SC","19342","3223 N Pleasantburg Dr,  Suite D","29609"
"Gaffney","United States","monday: 9:00 AM-6:00 PM; tuesday: 9:00 AM-6:00 PM; wednesday: 9:00 AM-6:00 PM; thursday: 9:00 AM-6:00 PM; friday: 9:00 AM-6:00 PM; saturday: 9:00 AM-12:00 PM; sunday: False-False","35.076407","Gaffney","BranchId: 212","https://www.loansbyworld.com/","-81.646536","https://www.loansbyworld.com/locations/gaffney/","8644872019","SC","19359","523 N. Limestone St.","29340"
