"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address"
"<MISSING>","满洲里麦当劳万达广场餐厅","互贸区华埠大街满洲里万达广场位于2号门入口","呼伦贝尔市","内蒙古自治区","满洲里市","China","60aa43e8cc6e8b05ff4eb27d","0470-3189366","<MISSING>","49.600158","117.427934","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","呼伦贝尔麦当劳龙凤新天地餐厅","胜利大街5号龙凤新天地购物中心","呼伦贝尔市","内蒙古自治区","海拉尔区","China","60aa43e8f52f59618e7a37ba","0470-8231028","<MISSING>","49.210348","119.768479","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","齐齐哈尔麦当劳万达广场餐厅","齐齐哈尔万达广场一楼1009B-1010A商铺","齐齐哈尔市","黑龙江省","建华区","China","60aa4406f1e4f23f2838f040","0452-6166243","<MISSING>","47.36853","123.947521","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","齐齐哈尔麦当劳北方新天地餐厅","齐齐哈尔卜奎南大街18号北方新天地购物广场一楼","齐齐哈尔市","黑龙江省","龙沙区","China","60aa43fc2b934e2b424f1895","0452-6139546","<MISSING>","47.339809","123.957348","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","富锦麦当劳新天地购物广场餐厅","向阳路208号","佳木斯市","黑龙江省","富锦市","China","60aa4410e459257d1c491aeb","0454-6153051","<MISSING>","47.253137198","132.04105058","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","佳木斯麦当劳利达双子星奥莱餐厅","解放路与德翔街交口利达商场一楼麦当劳","佳木斯市","黑龙江省","向阳区","China","60aa4406f52f59618e7a391c","0454-8435978","<MISSING>","46.81705","130.355137","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","佳木斯麦当劳万达广场餐厅","向阳区光复西路1081号一层1061号商铺，万达广场一楼","佳木斯市","黑龙江省","向阳区","China","60aa4406c63cb2294f9b19b6","0454-8605688","<MISSING>","46.794125","130.338023","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","双鸭山麦当劳松江国际餐厅","新兴大街中段双鸭山松江国际购物中心1－01，2－28号商铺","双鸭山市","黑龙江省","尖山区","China","60aa4405f52f59618e7a3911","0469-8535999","<MISSING>","46.643846","131.157942","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","绥化麦当劳万达广场餐厅","黑龙江省绥化市北林区康庄西路，科研东路，新华街南的绥化万达广场一层1032，1033号商铺","绥化市","黑龙江省","北林区","China","60aa4406698bbc156a6827c8","0455-8103840","<MISSING>","46.643866244","126.96408274","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","大庆麦当劳学伟鑫城餐厅","经六街299号A06栋17号商铺大润发楼外","大庆市","黑龙江省","萨尔图区","China","60aa4406e573901cfeab83ed","0459-6566216","<MISSING>","46.606151","125.116199","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","大庆麦当劳西站餐厅","大庆西站三楼主店","大庆市","黑龙江省","让胡路区","China","60aa4405f52f59618e7a3917","0459-2656788","<MISSING>","46.656509","124.885701","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
