"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address"
"<MISSING>","北京麦当劳四惠餐厅","东四环四惠立交桥东南四惠交通枢纽站2层","北京市","北京市","朝阳区","China","60bcb8f90f68f11ba5821306","010-65104490","<MISSING>","39.907164","116.496062","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳甜水园餐厅","甜水园东街10号","北京市","北京市","朝阳区","China","60bcb8f2e80e5d225f49ac20","010-65915622","<MISSING>","39.923145","116.480071","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳西大望路餐厅","西大望路15号5号楼(现C座)一层一部分(01)层商铺","北京市","北京市","朝阳区","China","60bcb8f7b37a984234a04fae","010-87723035","<MISSING>","39.894045","116.477089","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳朝阳路二餐厅","八里庄东里1号菜锦TOWN(原北京第二纺织厂)A1-01a号商铺","北京市","北京市","朝阳区","China","60bcb8f717c0d157f38c9f93","010-65503053","<MISSING>","39.915312","116.497918","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳百子湾路餐厅","百子湾路15号一层114号","北京市","北京市","朝阳区","China","60bcb8f933915826ad492e1e","010-57859351","<MISSING>","39.90125","116.497703","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳东三环北路餐厅","东三环北路38号院4号楼1层","北京市","北京市","朝阳区","China","60bcb903eeb33d29f25b075d","010-85284660","<MISSING>","39.921388","116.462701","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳广渠路(乐成中心)餐厅","东三环中路22号乐成中心B座一层","北京市","北京市","朝阳区","China","60bcb903993b982eb8810af5","010-67729095;010-67729099","<MISSING>","39.893909","116.463023","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳甜水园街餐厅","甜水园北里16号","北京市","北京市","朝阳区","China","60bcb8f564e43e6290a87686","010-65032628","<MISSING>","39.928625","116.478542","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳东四环中路(芳园里)餐厅","东四环中路189号","北京市","北京市","朝阳区","China","60bcb90117c0d157f38c9fda","010-87529615;010-87529625","<MISSING>","39.889945314","116.48748558","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","北京麦当劳十里堡二餐厅","阳光新城市广场","北京市","北京市","朝阳区","China","60bcb8f6b4a02d6028bf1706","010-65577188","<MISSING>","39.915299","116.504614","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳徐家汇餐厅","天钥桥路1号（徐家汇1#店）","上海市","上海市","徐汇区","China","60bcb91118a4b930bc487e98","021-64641687","<MISSING>","31.193901","121.441203","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳徐汇漕溪北路百脑汇餐厅","漕溪北路339号","上海市","上海市","徐汇区","China","60bcb8f0eeb33d29f25b06af","021-60904733","<MISSING>","31.190986","121.438412","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳徐汇辛耕路永新坊餐厅","徐汇辛耕路133号","上海市","上海市","徐汇区","China","60bcb8eda08dd4377748459a","021-64160185","<MISSING>","31.19214","121.443005","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳华山路餐厅","华山路2038号","上海市","上海市","徐汇区","China","60bcb8e8b4a02d6028bf1677","021-54070766","<MISSING>","31.196949","121.437386","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳星游城餐厅","天钥桥路580号一层F1-17室","上海市","上海市","徐汇区","China","60bcb8e6eeb33d29f25b0651","021-54019193","<MISSING>","31.185276","121.442312","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳均瑶国际广场餐厅","肇嘉浜路789号2层201-B室","上海市","上海市","徐汇区","China","60bcb8ee18a4b930bc487d66","021-64225102","<MISSING>","31.19856","121.449206","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳光启城餐厅","宜山路455号地下二层11-1、11-2、12、13室光启城时尚购物中心","上海市","上海市","徐汇区","China","60bcb8e9b37a984234a04f27","021-60407365","<MISSING>","31.18441","121.42807","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳徐汇中山西路美千居商业广场餐厅","中山西路2368号","上海市","上海市","徐汇区","China","60bcb8f0eeb33d29f25b06b0","021-64752755","<MISSING>","31.180749","121.432148","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳斜土路2号餐厅","斜土路1646号一层和二层（斜土路2#）","上海市","上海市","徐汇区","China","60bcb8e9a08dd4377748455f","021-64157368","<MISSING>","31.195949","121.456424","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","上海麦当劳凯旋路-新淮海坊餐厅","凯旋路1586号2层商铺","上海市","上海市","长宁区","China","60bcb8e964e43e6290a87624","021-32250289","<MISSING>","31.196268","121.421878","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","南通麦当劳桃园路餐厅","桃园路12号01-008, L4-035-01, 10号B1-062","南通市","江苏省","崇川区","China","60bcb8ed0a7d8e01e35d6f16","0513-85707777","<MISSING>","31.969429","120.893427","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","南通麦当劳印象城餐厅","工农路东，洪江路南的印象城商场B1-12号、L1-36C号商铺","南通市","江苏省","崇川区","China","60bcb8ee18a4b930bc487d6b","0513-81184003","<MISSING>","31.985936","120.888356","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","重庆麦当劳南坪万达餐厅","南坪珊瑚村重庆万达商业广场","重庆市","重庆市","南岸区","China","60bcb8f34e601836c435a015","023-62622568","<MISSING>","29.525842","106.568648","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","重庆麦当劳浪高百盛餐厅","南坪西路2号建筑物","重庆市","重庆市","南岸区","China","60bcb8f44e601836c435a025","023-62628413","<MISSING>","29.52875","106.565745","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","重庆麦当劳金鹰财富中心餐厅","解放碑邹容路82号负一层","重庆市","重庆市","渝中区","China","60bcb8f44e601836c435a021","023-63303833","<MISSING>","29.557008","106.577622","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","重庆麦当劳1089艺术美丽中心餐厅","重庆市渝中区八一路53号负一层B01号、第一层103号","重庆市","重庆市","渝中区","China","60bcb8f433915826ad492db5","023-60335868;86-15922547659","<MISSING>","29.558169501","106.57890334","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳国际大厦分店","环市东路339号广东国际大厦二层  联系电话：020-83383352","广州市","广东省","越秀区","China","60bcb909993b982eb8810b11","020-83383352","<MISSING>","23.138321","113.282353","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳宜安广场分店","建设六马路38号宜安广场 联系电话：020-83634339","广州市","广东省","越秀区","China","60bcb900993b982eb8810abc","020-83634339","<MISSING>","23.134671","113.284839","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳环市中路分店","环市中路301-303号1楼商铺 联系电话020-83497010","广州市","广东省","越秀区","China","60bcb90a993b982eb8810b31","020-83497010","<MISSING>","23.139726","113.276549","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳小北路分店","鹏源发展大厦 联系电话:83551877","广州市","广东省","越秀区","China","60bcb90033915826ad492e4b","020-83551877","<MISSING>","23.13523","113.271509","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳英雄广场分店","中山三路25-27号英雄广场负一层流行前线A001铺 餐厅联系电话：020-83842963","广州市","广东省","越秀区","China","60bcb90317c0d157f38c9feb","020-83842963","<MISSING>","23.1262294","113.28455007","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳中华广场分店","越秀区中山三路33号中华广场七楼，服务热线020-83739827","广州市","广东省","越秀区","China","60bcb904eeb33d29f25b077d","020-83739827","<MISSING>","23.125405","113.282537","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳较场西分店","较场西路16号体育场临街商铺二楼-联系电话8383 2110","广州市","广东省","越秀区","China","60bcb909b37a984234a05165","020-83832110","<MISSING>","23.124977002","113.28347898","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳东川路分店","东川路93号首层及二层           联系电话：020-83885037","广州市","广东省","越秀区","China","60bcb90317c0d157f38c9ff5","020-83885037","<MISSING>","23.125213","113.286314","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳信德商务大厦分店","信德商务中心首二层   服务热线：020-83635429","广州市","广东省","越秀区","China","60bcb90317c0d157f38c9ff6","020-83635429","<MISSING>","23.125943","113.271409","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","广州麦当劳王府井分店","三育路44号首层 联系电话: 020-87603370","广州市","广东省","越秀区","China","60bcb902993b982eb8810aea","020-87603370","<MISSING>","23.129416","113.298562","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
"<MISSING>","麦当劳武汉天河机场地铁站餐厅","天河机场交通中心二楼五号商铺","武汉市","湖北省","黄陂区","China","60bcb90ab37a984234a0517c","027-85819521","<MISSING>","30.770939","114.21715","www.mcdonalds.com.cn","<MISSING>","<MISSING>"
