"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address"
"<MISSING>","MUJI ChinaCentralPlace Beijing","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500008","010-5969-5948","MUJI ChinaCentralPlace Beijing","39.9088755372","116.4798461028","muji.com","MON-SUN 10:00~22:00","<MISSING>"
"<MISSING>","MUJI Metro City Shanghai","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500017","021-3461-0480","MUJI Metro City Shanghai","31.193576","121.439615","muji.com","10:00～22:00","<MISSING>"
"<MISSING>","MUJI ZhongnanCity Mall Nantong","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500035","0513-5501-9012","MUJI ZhongnanCity Mall Nantong","31.968001","120.891488","muji.com","10:00-22:00","<MISSING>"
"<MISSING>","MUJI Xinguang Chongqing","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500036","023-6265-3700","MUJI Xinguang Chongqing","29.523974","106.571001","muji.com","10:00-22:00","<MISSING>"
"<MISSING>","MUJI POLY SUNNYWALK GUANGZHOU","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500045","020-83706181","MUJI POLY SUNNYWALK GUANGZHOU","23.1368131229","113.2820632417","muji.com","MON-SUN  10:00~22:00","<MISSING>"
"<MISSING>","MUJI to GO Wuhan Airport T3","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500046","027-65590352","MUJI to GO Wuhan Airport T3","30.773143335","114.2172230273","muji.com","MON-SUN  6:30~22:00","<MISSING>"
"<MISSING>","MUJI Guangzhou New Park","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500055","020-31235682","MUJI Guangzhou New Park","23.2383240265","113.2916254179","muji.com","MON-SUN  10:00~22:00","<MISSING>"
"<MISSING>","MUJI Wuxi Maoye Plaza","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500056","0510-85762650","MUJI Wuxi Maoye Plaza","31.549356","120.310371","muji.com","MON-THUR 9:30～21:30　FRI-SUN 9:30～22:00","<MISSING>"
"<MISSING>","MUJI MixC Mall Chengdu","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500065","028-8315-6960","MUJI MixC Mall Chengdu","30.650629","104.117898","muji.com","SUN-THU 10:00～22:00　FRI,SAT  10:00～22:30","<MISSING>"
"<MISSING>","MUJI to GO Zhengzhou International airport T2","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500081","0371-89909679","MUJI to GO Zhengzhou International airport T2","34.5250148147","113.8540380778","muji.com","MON-SUN 7:30~22:30","<MISSING>"
"<MISSING>","MUJI Longhu Chongqing","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500131","023-63103627","MUJI Longhu Chongqing","29.539309","106.510863","muji.com","MON-SUN 10:00～22:00","<MISSING>"
"<MISSING>","MUJI Newcentry Mall Chengdu","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500150","028-6873-0251","MUJI Newcentry Mall Chengdu","30.570866","104.063961","muji.com","10:00～22:00","<MISSING>"
"<MISSING>","MUJI Yajule Mall Shanghai","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500182","021-63462096","MUJI Yajule Mall Shanghai","31.236119","121.473565","muji.com","10:00~22:00","<MISSING>"
"<MISSING>","MUJI Yangguang Chengdu","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500218","028-62508262","MUJI Yangguang Chengdu","30.6430921389","104.0914642547","muji.com","10:00~22:00","<MISSING>"
"<MISSING>","MUJI Fuli Mall Chengdu","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500266","028-61867961","MUJI Fuli Mall Chengdu","30.666391","104.070272","muji.com","10:00~22:00","<MISSING>"
"<MISSING>","MUJI IFS Chengdu","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500272","028-65187171","MUJI IFS Chengdu","30.6562375875","104.0806923035","muji.com","10:00-22:00","<MISSING>"
"<MISSING>","MUJI Reel Mall Shanghai","<MISSING>","<MISSING>","<MISSING>","<MISSING>","CN","CN500275","021-32536002","MUJI Reel Mall Shanghai","31.223904","121.447631","muji.com","10:00-22:00","<MISSING>"
