"city","country_code","hours_of_operation","latitude","location_name","location_type","locator_domain","longitude","page_url","phone","state","store_number","street_address","zip"
"Cherry Hill","US","Sunday  10:00-18:00, Monday  09:00-20:00, Tuesday  09:00-20:00, Wednesday  09:00-20:00, Thursday  09:00-20:00, Friday  09:00-20:00, Saturday  09:00-20:00","39.916413","Cherry Hill","<MISSING>","https://petsuppliesplus.com/","-75.010887","https://petsuppliesplus.com/Store/NJ/Cherry-Hill/Cherry-Hill/4286","856-429-2945","NJ","4286","1610 Kings Hwy N","08034"
"Woodlyn","US","Sunday  10:00-18:00, Monday  09:00-20:00, Tuesday  09:00-20:00, Wednesday  09:00-20:00, Thursday  09:00-20:00, Friday  09:00-20:00, Saturday  09:00-20:00","39.876098","Woodlyn (Philly)","<MISSING>","https://petsuppliesplus.com/","-75.345758","https://petsuppliesplus.com/Store/PA/Woodlyn/Woodlyn-Philly-/4009","484-480-5456","PA","4009","1300 MacDade Blvd Suite 1","19094"
"Southampton","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.16933","Southampton","<MISSING>","https://petsuppliesplus.com/","-75.04509","https://petsuppliesplus.com/Store/PA/Southampton/Southampton/4245","267-762-1033","PA","4245","488 2nd St Pike","18966"
"Levittown","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.16915","Levittown","<MISSING>","https://petsuppliesplus.com/","-74.892381","https://petsuppliesplus.com/Store/PA/Levittown/Levittown/9070","215-946-3851","PA","9070","1407 E Lincoln Hwy","19056-3007"
"Warrington","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.268741","Warrington","<MISSING>","https://petsuppliesplus.com/","-75.128307","https://petsuppliesplus.com/Store/PA/Warrington/Warrington/9055","215-491-2052","PA","9055","1661 Easton Rd Unit B1","18976-1201"
"Phoenixville","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.133698","Phoenixville","<MISSING>","https://petsuppliesplus.com/","-75.533099","https://petsuppliesplus.com/Store/PA/Phoenixville/Phoenixville/9035","610-933-8166","PA","9035","700 Nutt Road","19460-3344"
"West Chester","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.971282","West Chester","<MISSING>","https://petsuppliesplus.com/","-75.586628","https://petsuppliesplus.com/Store/PA/West-Chester/West-Chester/9059","610-696-8042","PA","9059","959 Paoli Pike","19380-4527"
"Telford","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.322821","Telford","<MISSING>","https://petsuppliesplus.com/","-75.30521","https://petsuppliesplus.com/Store/PA/Telford/Telford/9040","215-721-3164","PA","9040","4024 Bethlehem Pike","18969-1125"
"Wilmington","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.791317","Wilmington","<MISSING>","https://petsuppliesplus.com/","-75.545812","https://petsuppliesplus.com/Store/DE/Wilmington/Wilmington/9073","302-654-8901","DE","9073","2223 Concord Pike","19803-2908"
"Avondale","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","39.835201","Avondale","<MISSING>","https://petsuppliesplus.com/","-75.79665","https://petsuppliesplus.com/Store/PA/Avondale/Avondale/9044","610-268-2424","PA","9044","771 Gap Newport Pike","19311-9545"
"Easton","US","Sunday  10:00-18:00, Monday  09:00-21:00, Tuesday  09:00-21:00, Wednesday  09:00-21:00, Thursday  09:00-21:00, Friday  09:00-21:00, Saturday  09:00-21:00","40.655706","Easton","<MISSING>","https://petsuppliesplus.com/","-75.285484","https://petsuppliesplus.com/Store/PA/Easton/Easton/9041","610-258-5945","PA","9041","4403 Southmont Way Unit 4","18045-4707"
