"page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","locator_domain","hours_of_operation","raw_address","record_id"
"https://steaknshake.fr/adresses/","AIRE DE L'ESTÉREL","<MISSING>","AIRE DE L'ESTÉREL","Provence-Alpes-Côte d'Azur","83600","FR","34","<MISSING>","<MISSING>","43.4402733","6.4734335","https://steaknshake.fr/","<MISSING>","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","AJACCIO","<MISSING>","AJACCIO","Corsica","20167","FR","46","<MISSING>","<MISSING>","41.9997673","8.8307629","https://steaknshake.fr/","Tous les jours : de 11h à 23h.","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","AVIGNON","<MISSING>","AVIGNON","Provence-Alpes-Côte d'Azur","84000","FR","47","04 90 01 92 95","<MISSING>","43.9286995","4.8356524","https://steaknshake.fr/","Du dimanche au jeudi : de 11h à 22h. Du vendredi au samedi : de 11h à 23h.","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","BORDEAUX","<MISSING>","BORDEAUX","Nouvelle-Aquitaine","33300","FR","24","05 56 10 73 90","<MISSING>","44.8639641","-0.5567570","https://steaknshake.fr/","Dimanche au jeudi : 11h30 - 22h00 Vendredi et samedi : 11h00 - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","CAEN","<MISSING>","CAEN","Normandie","14120","FR","10","02 31 34 03 73","<MISSING>","49.1632347","-0.3018718","https://steaknshake.fr/","Tous les jours : de 11h à 23h.","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","CANNES","2 Place du Général de Gaulle","CANNES","Provence-Alpes-Côte d'Azur","06400","FR","4","04 93 38 39 46","<MISSING>","43.5520325","7.0167689","https://steaknshake.fr/","Du dimanche au jeudi : de 11h à 22h30. Vendredi et samedi : de 11h à 23h.","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","CŒUR DE CAUSSE","<MISSING>","CŒUR DE CAUSSE","Occitanie","46240","FR","42","<MISSING>","<MISSING>","44.6578789","1.5682323","https://steaknshake.fr/","Tous les jours de 11h00 à 22h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","COMPIÈGNE","<MISSING>","COMPIÈGNE","Hauts-de-France","60200","FR","43","03 44 72 22 22","<MISSING>","49.4175949","2.8236070","https://steaknshake.fr/","Du dimanche au mercredi : de 11h à 22h. Du jeudi au samedi : de 11h à 23h.","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","COQUELLES Cité Europe","<MISSING>","COQUELLES Cité Europe","Hauts-de-France","62231","FR","22","03 91 91 77 01","<MISSING>","50.9340630","1.8085717","https://steaknshake.fr/","Dimanche au jeudi : 11h30 - 22h00 Vendredi et samedi : 11h30 - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","EDEN SERVON","<MISSING>","EDEN SERVON","Île-de-France","77170","FR","31","<MISSING>","<MISSING>","48.7069359","2.5865686","https://steaknshake.fr/","Dimanche au jeudi : 11h00 - 22h30  Weekend :11h00 - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","FABRÈGUES","<MISSING>","FABRÈGUES","Occitanie","34690","FR","35","04 67 85 16 76","<MISSING>","43.5461769","3.7966959","https://steaknshake.fr/","Tous les jours : 11h00 - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","HAUT-KŒNIGSBOURG","<MISSING>","HAUT-KŒNIGSBOURG","Grand Est","67600","FR","44","<MISSING>","<MISSING>","48.2320786","7.4058042","https://steaknshake.fr/","<MISSING>","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","LILLE","<MISSING>","LILLE","Hauts-de-France","59000","FR","36","03 20 54 96 55","<MISSING>","50.6157455","3.0480781","https://steaknshake.fr/","Dimanche au jeudi : 11h30 - 22h00 Vendredi et samedi : 11h00 - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","LYON Confluence","<MISSING>","LYON Confluence","Auvergne-Rhône-Alpes","69002","FR","6","04 72 16 90 76","<MISSING>","45.7410088","4.8177266","https://steaknshake.fr/","Du dimanche au jeudi : de 11h à 22h Vendredi et samedi : de 11h à 23h","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","LYON Part Dieu","<MISSING>","LYON Part Dieu","Auvergne-Rhône-Alpes","69003","FR","20","09 62 52 32 98","<MISSING>","45.7616997","4.8562560","https://steaknshake.fr/","Du dimanche au jeudi : de 11h à 22h30 Vendredi et samedi : de 11h à 23h","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","LYON République","<MISSING>","LYON République","Auvergne-Rhône-Alpes","69001","FR","28","04 72 98 86 55","<MISSING>","45.7654190","4.8361859","https://steaknshake.fr/","Du dimanche au jeudi : de 11h à 22h Vendredi et samedi : de 11h à 23h","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","MARSEILLE Borély","<MISSING>","MARSEILLE Borély","Provence-Alpes-Côte d'Azur","13008","FR","8","04 91 69 53 70","<MISSING>","43.2538605","5.3757715","https://steaknshake.fr/","Lundi : Fermé Dimanche - Mardi - Mercredi : 11h30 - 23h00 Jeudi : 11h30 - 00h00 Vendredi - Samedi : 11h30 - 1h30","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","MARSEILLE Plan de Campagne","<MISSING>","MARSEILLE Plan de Campagne","Provence-Alpes-Côte d'Azur","13170","FR","9","04 42 43 06 30","<MISSING>","43.4154320","5.3619628","https://steaknshake.fr/","Dimanche au jeudi : 11h - 22h30 Vendredi et samedi : 11h - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","MARSEILLE Vieux-Port","15 Quai de Rive Neuve","MARSEILLE Vieux-Port","Provence-Alpes-Côte d'Azur","13001","FR","19","04 91 11 71 11","<MISSING>","43.2930260","5.3707361","https://steaknshake.fr/","Lundi : Fermé Dimanche - Mardi - Mercredi : 11h30 - 23h00 Jeudi : 11h30 - 00h00 Vendredi - Samedi : 11h30 - 1h30","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","MONTPELLIER","<MISSING>","MONTPELLIER","Occitanie","34920","FR","29","04 99 74 89 79","<MISSING>","43.6378632","3.9318581","https://steaknshake.fr/","Tous les jours : 11h00 - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","MOUGINS","1 Chemin de font graissan","MOUGINS","Provence-Alpes-Côte d'Azur","06250","FR","7","04 93 45 14 33","<MISSING>","43.5838776","7.0098381","https://steaknshake.fr/","Tous les jours : 11h00 - 00h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","NICE","<MISSING>","NICE","Provence-Alpes-Côte d'Azur","06200","FR","30","04 93 71 42 81","<MISSING>","43.7284164","7.1888366","https://steaknshake.fr/","Tous les jours 11h - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","PERPIGNAN","<MISSING>","PERPIGNAN","Occitanie","66000","FR","40","0468981668","<MISSING>","42.7401886","2.8913856","https://steaknshake.fr/","Lundi au Samedi : 07h00 - 23h00 Le dimanche : 11h00 - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","REIMS CORMONTREUIL","<MISSING>","REIMS CORMONTREUIL","Grand Est","51350","FR","32","03 26 47 73 49","<MISSING>","49.2137146","4.0510912","https://steaknshake.fr/","Dimanche au jeudi : 11h - 22h30 Weekend 11h - 23h00","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","ROUEN QUEVILLY","<MISSING>","ROUEN QUEVILLY","Normandie","76120","FR","41","02 32 66 16 70","<MISSING>","49.4189835","1.0439968","https://steaknshake.fr/","Tous les jours : de 11h à 23h.","<MISSING>","longitude:latitude"
"https://steaknshake.fr/adresses/","RUEIL-MALMAISON","26 Rue Hervet","RUEIL-MALMAISON","Île-de-France","92500","FR","17","01 47 32 36 85","<MISSING>","48.8761902","2.1803551","https://steaknshake.fr/","Dimanche au jeudi : 11h - 22h30 Vendredi et samedi : 11h - 23h00","<MISSING>","longitude:latitude"
