locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://www.chuckecheese.com/locations,"Huntsville, AL",1220 Jordon Lane NW,Huntsville,AL,35816,US,<MISSING>,(256) 534-2415,<MISSING>,34.740307,-86.627025,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"Anchorage, AK",308 E. Northern Lights Blvd.,Anchorage,AK,99503,US,<MISSING>,(907) 274-9999,<MISSING>,61.194869,-149.8782,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"Phoenix, AZ",8039 North 35th Ave.,Phoenix,AZ,85051,US,<MISSING>,(602) 973-1945,<MISSING>,33.554574,-112.133531,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"Chandler, AZ",2977 West Frye Rd.,Chandler,AZ,85244,US,<MISSING>,(480) 857-1263,<MISSING>,33.298004,-111.893068,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"Glendale, AZ",6773 West Bell Rd.,Glendale,AZ,85308,US,<MISSING>,(623) 878-8884,<MISSING>,33.636224,-112.204998,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"Goodyear, AZ",13371 West McDowell Rd.,Goodyear,AZ,85395,US,<MISSING>,(623) 535-9876,<MISSING>,33.46186,-112.346863,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"North Little Rock, AR",4120 Landers Rd.,North Little Rock,AR,72117,US,<MISSING>,(501) 945-1985,<MISSING>,34.792525,-92.221792,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"Little Rock, AR",2706 S. Shackleford Rd.,Little Rock,AR,72205,US,<MISSING>,(501) 225-2200,<MISSING>,34.728265,-92.395729,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"Los Angeles, CA",2706 Wilshire Blvd,Los Angeles,CA,90057,US,<MISSING>,(855) 606-0548,<MISSING>,34.061008,-118.283084,Open from 11am Until 9pm
https://www.chuckecheese.com/locations,"Walnut Park, CA",7726 South Alameda St.,Walnut Park,CA,90255,US,<MISSING>,(323) 586-2124,<MISSING>,33.969404,-118.233151,Open from 11am Until 9pm
