locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,page_url
https://www.heartland.bank/Locations,Capitol Square,101 S. High Street,Columbus,OH,43215,US,<MISSING>,(614) 416-0244,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Friday - 8 a.m. - 5 p.m ; Saturday - Closed', 'Drive-Thru - N/A']",https://www.heartland.bank/Locations/Capitol-Square
https://www.heartland.bank/Locations,Clintonville,4476 North High Street,Columbus,OH,43214,US,<MISSING>,(614) 745-0070,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8 a.m. - 5 p.m ; Friday - 8 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Clintonville
https://www.heartland.bank/Locations,Croton,12 North Main Street,Croton,OH,43013,US,<MISSING>,(740) 893-2191,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Tuesday - 9 a.m. - 4 p.m ; Wednesday - Closed - Thursday - 9 a.m. - 4 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Tuesday - 8:30 a.m. - 5 p.m ; Wednesday - Closed - Thursday - 8:30 a.m. - 5 p.m ; Friday - 8:30 a.m. - 6 p.m ; Saturday - 8:30 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Croton
https://www.heartland.bank/Locations,Dublin,6500 Frantz Road,Dublin,OH,43017,US,<MISSING>,(614) 798-8818,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8 a.m. - 5 p.m ; Friday - 8 a.m. - 6 p.m ; Saturday - 8 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Dublin
https://www.heartland.bank/Locations,Gahanna,850 North Hamilton Road,Gahanna,OH,43230,US,<MISSING>,(614) 337-4605,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8 a.m. - 5 p.m ; Friday - 8 a.m. - 6 p.m ; Saturday - 8 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Gahanna
https://www.heartland.bank/Locations,Grove City,2365 Old Stringtown Road,Grove City,OH,43123,US,<MISSING>,(614) 875-1884,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8 a.m. - 5 p.m ; Friday - 8 a.m. - 6 p.m ; Saturday - 8 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Grove-City
https://www.heartland.bank/Locations,Hilliard,3971 Main Street,Hilliard,OH,43026,US,<MISSING>,(614) 710-1640,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8 a.m. - 5 p.m ; Friday - 8 a.m. - 6 p.m ; Saturday - 8 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Hilliard
https://www.heartland.bank/Locations,Johnstown,730 West Coshocton,Johnstown,OH,43031,US,<MISSING>,(740) 967-6500,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8:30 a.m. - 5 p.m ; Friday - 8:30 a.m. - 6 p.m ; Saturday - 8:30 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Johnstown
https://www.heartland.bank/Locations,Newark,44 West Locust Street,Newark,OH,43055,US,<MISSING>,(740) 349-7888,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8 a.m. - 5 p.m ; Friday - 8 a.m. - 6 p.m ; Saturday - 8 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Newark
https://www.heartland.bank/Locations,Pickerington,421 Hill Road North,Pickerington,OH,43147,US,<MISSING>,(614) 321-4919,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8 a.m. - 5 p.m ; Friday - 8 a.m. - 6 p.m ; Saturday - 8 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Pickerington
https://www.heartland.bank/Locations,Reynoldsburg,6887 East Main Street,Reynoldsburg,OH,43068,US,<MISSING>,(614) 416-0400,"['Lobby', 'Drive']",40.0199689,-82.8698266,"['Lobby - Monday - Thursday - 9 a.m. - 5 p.m ; Friday - 9 a.m. - 6 p.m ; Saturday - 9 a.m. - 12 p.m.', 'Drive-Thru - Monday - Thursday - 8 a.m. - 5 p.m ; Friday - 8 a.m. - 6 p.m ; Saturday - 8 a.m. - 12 p.m.']",https://www.heartland.bank/Locations/Reynoldsburg
