locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
medicineshoppe.ca,The Medicine Shoppe Pharmacy #129,4409 Pleasantview Dr,High Prairie,Alberta,T0G 1E0,CA,129,780.523.3138,"Mental Health,Diabetes Support,Flu Shot Services",55.435264,-116.479968,Monday : 9:00 AM - 6:30 PM ;Tuesday : 9:00 AM - 6:30 PM ;Wednesday : 9:00 AM - 6:30 PM ;Thursday : 9:00 AM - 6:30 PM ;Friday Open : 9:00 AM - 6:30 PM ;Saturday : 12:00 PM - 4:00 PM ;Sunday : 12:00 PM - 4:00 PM
medicineshoppe.ca,Medicine Shoppe #404,103-4807 44th Ave,Stony Plain,Alberta,T7Z 1V5,CA,404,780.968.9646,"Immunizations & Injections,Diabetes Support,Flu Shot Services",53.536334,-114.003301,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #380,4a-420 King St,Spruce Grove,Alberta,T7X 2C6,CA,380,780.571.1500,"Immunizations & Injections,Weight Management,Mental Health,Diabetes Support,Flu Shot Services",53.546199,-113.899397,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : Closed
medicineshoppe.ca,Medicine Shoppe #403,102-102 6th Ave S W,Slave Lake,Alberta,T0G 2A3,CA,403,780.849.2896,"Immunizations & Injections,Weight Management,Mental Health",55.279618,-114.772227,Monday : 8:30 AM - 6:00 PM ;Tuesday : 8:30 AM - 6:00 PM ;Wednesday : 8:30 AM - 6:00 PM ;Thursday : 8:30 AM - 6:00 PM ;Friday Open : 8:30 AM - 6:00 PM ;Saturday : Closed ;Sunday : Closed
medicineshoppe.ca,The Medicine Shoppe Pharmacy #200,25 St Michael St,St Albert,Alberta,T8N 1C7,CA,200,780.459.8545,"Immunizations & Injections,Weight Management,Mental Health,Diabetes Support,Flu Shot Services",53.633812,-113.625253,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : 9:00 AM - 12:00 PM ;Sunday : Closed
medicineshoppe.ca,The Medicine Shoppe Pharmacy #189,17715 98a Ave N W,Edmonton,Alberta,T5T 5W8,CA,189,780.487.1331,Closed,53.533923,-113.627233,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 AM ;Wednesday : 9:00 AM - 6:00 AM ;Thursday : 9:00 AM - 6:00 AM ;Friday Closed : 9:00 AM - 6:00 AM ;Saturday : 10:00 AM - 4:00 AM ;Sunday : Closed
medicineshoppe.ca,The Medicine Shoppe Pharmacy #381,101-10071 120th Ave,Grande Prairie,Alberta,T8V 8H9,CA,381,780.539.9710,"Weight Management,Mental Health,Diabetes Support",55.18755,-118.800075,Monday : 9:30 AM - 5:30 PM ;Tuesday : 9:30 AM - 5:30 PM ;Wednesday : 9:30 AM - 5:30 PM ;Thursday : 9:30 AM - 5:30 PM ;Friday Open : 9:30 AM - 5:30 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #320,102-16028 100a Ave N W,Edmonton,Alberta,T5P 0M1,CA,320,780.487.6336,"Medication Compounding,Weight Management,Mental Health,Diabetes Support,Flu Shot Services",53.54102,-113.59877,Monday : 8:00 AM - 6:00 PM ;Tuesday : 8:00 AM - 6:00 PM ;Wednesday : 8:00 AM - 6:00 PM ;Thursday : 8:00 AM - 6:00 PM ;Friday Open : 8:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : 10:30 AM - 1:30 PM
medicineshoppe.ca,The Medicine Shoppe Pharmacy #266,6837 170th St,Edmonton,Alberta,T5T 4W4,CA,266,780.481.0535,"Diabetes Support,Flu Shot Services",53.503802,-113.614106,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #115,15819 87th Ave,Edmonton,Alberta,T5R 4G7,CA,115,780.486.1882,"Mental Health,Diabetes Support,Flu Shot Services",53.51934,-113.59595,Monday : 10:00 AM - 6:00 PM ;Tuesday : 10:00 AM - 6:00 PM ;Wednesday : 10:00 AM - 6:00 PM ;Thursday : 10:00 AM - 6:00 PM ;Friday Open : 10:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #393,10712 142nd St N W,Edmonton,Alberta,T5N 2P7,CA,393,<MISSING>,Flu Shot Services,53.551654,-113.567115,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : Closed
medicineshoppe.ca,The Medicine Shoppe Pharmacy #345,14020 127th St,Edmonton,Alberta,T6V 1K4,CA,345,780.472.9929,"Mental Health,Diabetes Support,Flu Shot Services",53.60231,-113.541407,Monday : 10:00 AM - 7:00 PM ;Tuesday : 10:00 AM - 7:00 PM ;Wednesday : 10:00 AM - 7:00 PM ;Thursday : 10:00 AM - 7:00 PM ;Friday Open : 10:00 AM - 7:00 PM ;Saturday : 10:00 AM - 4:00 PM ;Sunday : 12:00 PM - 4:00 PM
medicineshoppe.ca,The Medicine Shoppe Pharmacy #217,102-121 Haddow Close N W,Edmonton,Alberta,T6R 3W3,CA,217,780.436.4572,"Weight Management,Mental Health,Diabetes Support,Flu Shot Services",53.459355,-113.591532,Monday : 9:00 AM - 5:00 PM ;Tuesday : 9:00 AM - 5:00 PM ;Wednesday : 9:00 AM - 5:00 PM ;Thursday : 9:00 AM - 5:00 PM ;Friday Open : 9:00 AM - 5:00 PM ;Saturday : Not available ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #340,12411 118th Ave,Edmonton,Alberta,T5L 2K3,CA,340,780.455.0880,"Mental Health,Diabetes Support,Flu Shot Services",53.570294,-113.537158,Monday : 9:00 AM - 5:00 PM ;Tuesday : 9:00 AM - 5:00 PM ;Wednesday : 9:00 AM - 5:00 PM ;Thursday : 9:00 AM - 5:00 PM ;Friday Open : 9:00 AM - 5:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : 10:00 AM - 2:00 PM
medicineshoppe.ca,The Medicine Shoppe Pharmacy #188,100-11910 111th Ave,Edmonton,Alberta,T5G 0E5,CA,188,780.455.1302,"Weight Management,Mental Health,Diabetes Support,Flu Shot Services",53.55894,-113.52712,Monday : 8:30 AM - 6:00 PM ;Tuesday : 8:30 AM - 6:00 PM ;Wednesday : 8:30 AM - 6:00 PM ;Thursday : 8:30 AM - 6:00 PM ;Friday Open : 8:30 AM - 5:30 PM ;Saturday : 9:00 AM - 1:00 PM ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #353,10423 158th Ave,Edmonton,Alberta,T5X 5E5,CA,353,780.705.8150,"Mental Health,Diabetes Support,Flu Shot Services",53.618842,-113.502662,Monday : 10:00 AM - 8:00 PM ;Tuesday : 10:00 AM - 8:00 PM ;Wednesday : 10:00 AM - 8:00 PM ;Thursday : 10:00 AM - 8:00 PM ;Friday Open : 10:00 AM - 8:00 PM ;Saturday : 10:00 AM - 3:00 PM ;Sunday : 10:00 AM - 3:00 PM
medicineshoppe.ca,The Medicine Shoppe Pharmacy #107,11464 Jasper Ave,Edmonton,Alberta,T5K 0M1,CA,107,780.488.9000,"Medication Compounding,Mental Health,Diabetes Support,Flu Shot Services",53.540954,-113.519437,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #185,8219 112th St,Edmonton,Alberta,T6G 2L9,CA,185,780.702.1803,"Medication Compounding,Mental Health,Diabetes Support,Flu Shot Services",53.518726,-113.520217,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : Not available ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #387,13703 93rd St,Edmonton,Alberta,T5E 5V6,CA,387,780.760.3387,"Immunizations & Injections,Weight Management,Flu Shot Services",53.600089,-113.484607,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : Closed
medicineshoppe.ca,The Medicine Shoppe Pharmacy #249,9117 111th Ave N W,Edmonton,Alberta,T5B 0C3,CA,249,780.425.1384,"Mental Health,Diabetes Support,Flu Shot Services",53.558945,-113.495197,Monday : 9:00 AM - 5:30 PM ;Tuesday : 9:00 AM - 5:30 PM ;Wednesday : 9:00 AM - 5:30 PM ;Thursday : 9:00 AM - 5:30 PM ;Friday Open : 9:00 AM - 5:30 PM ;Saturday : Not available ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #405,10130 111th Ave,Edmonton,Alberta,T5G 0B3,CA,405,780.479.5646,<MISSING>,53.559276,-113.494802,Monday : 9:00 AM - 5:00 PM ;Tuesday : 9:00 AM - 5:00 PM ;Wednesday : 9:00 AM - 5:00 PM ;Thursday : 9:00 AM - 5:00 PM ;Friday Open : 9:00 AM - 5:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : 10:00 AM - 2:00 PM
medicineshoppe.ca,The Medicine Shoppe Pharmacy #344,9559 118th Ave,Edmonton,Alberta,T5G 0N9,CA,344,780.477.3779,"Mental Health,Diabetes Support,Flu Shot Services",53.570311,-113.48978,Monday : 9:00 AM - 6:00 PM ;Tuesday : 9:00 AM - 6:00 PM ;Wednesday : 9:00 AM - 6:00 PM ;Thursday : 9:00 AM - 6:00 PM ;Friday Open : 9:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : 10:00 AM - 2:00 PM
medicineshoppe.ca,The Medicine Shoppe Pharmacy #370,11407 40th Ave,Edmonton,Alberta,T6J 0R4,CA,370,780.468.1557,"Mental Health,Diabetes Support,Flu Shot Services",53.475664,-113.52684,Monday : 9:00 AM - 7:00 PM ;Tuesday : 9:00 AM - 7:00 PM ;Wednesday : 9:00 AM - 7:00 PM ;Thursday : 9:00 AM - 7:00 PM ;Friday Open : 9:00 AM - 7:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : 10:00 AM - 2:00 PM
medicineshoppe.ca,The Medicine Shoppe Pharmacy #114,128-4211 106th St,Edmonton,Alberta,T6J 6L7,CA,114,780.438.1040,"Immunizations & Injections,Mental Health,Flu Shot Services",53.48024,-113.503654,Monday : 10:00 AM - 6:00 PM ;Tuesday : 10:00 AM - 6:00 PM ;Wednesday : 10:00 AM - 6:00 PM ;Thursday : 10:00 AM - 6:00 PM ;Friday Open : 10:00 AM - 6:00 PM ;Saturday : Not available ;Sunday : Not available
medicineshoppe.ca,The Medicine Shoppe Pharmacy #244,9002 Jasper Ave,Edmonton,Alberta,T5H 3S8,CA,244,780.424.8998,"Medication Compounding,Mental Health,Diabetes Support,Flu Shot Services",53.551329,-113.473351,Monday : 10:00 AM - 6:00 PM ;Tuesday : 10:00 AM - 6:00 PM ;Wednesday : 10:00 AM - 6:00 PM ;Thursday : 10:00 AM - 6:00 PM ;Friday Open : 10:00 AM - 6:00 PM ;Saturday : 10:00 AM - 2:00 PM ;Sunday : 10:00 AM - 2:00 PM
