locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,page_url
https://www.nygard.com/en-ca/LocateStore,NYGÅRD FASHION,1431 BROADWAY 1ST FLOOR,NEW YORK,NY,<MISSING>,CA,<MISSING>,646-520-2022,Nygard Stores,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,Tammy's Closet,<MISSING>,Jamaica,NY,<MISSING>,CA,<MISSING>,(441) 536 1625,Other Fine Retails,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,NY Office personals acct,<MISSING>,Hillsborough,NJ,<MISSING>,CA,<MISSING>,(204) 982 5753,Other Fine Retails,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,Van Cleve Collection,<MISSING>,Paoli,PA,<MISSING>,CA,<MISSING>,(610) 647 5055,Other Fine Retails,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,ALIA & TAN JAY,708A-109 ST & PRINCESS ELIZABE,EDMONTON,AB,<MISSING>,CA,<MISSING>,780-471-4798,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,ALIA & TAN JAY,124-4900 MOLLY BANNISTER DR,RED DEER,AB,<MISSING>,CA,<MISSING>,403-342-6166,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,ALIA & TAN JAY,1729 - 1632 14TH AVE NW,CALGARY,AB,<MISSING>,CA,<MISSING>,403-210-3789,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,ALIA & TAN JAY,24/25 - 2020 SHERWOOD DR,SHERWOOD PARK,AB,<MISSING>,CA,<MISSING>,780-417-1197,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,ALIA & TAN JAY,Unit 1073 - 8882 170TH STREET,EDMONTON,AB,<MISSING>,CA,<MISSING>,780-444-1466,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>
https://www.nygard.com/en-ca/LocateStore,JAY SET,411 -  2331 66TH STR NW,EDMONTON,AB,<MISSING>,CA,<MISSING>,780-450-9816,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>
