locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://www.omegasports.com/store_locations.cfm,Oakcrest Shopping Center,2431 Battleground Ave.,Greensboro,NC,27408,US,<MISSING>,336-288-9741,<MISSING>,36.104064,-79.825971,<MISSING>
https://www.omegasports.com/store_locations.cfm,High Point Mall,209 Eastchester Dr.,High Point,NC,27262,US,<MISSING>,336-841-2055,<MISSING>,35.983397,-80.019336,<MISSING>
https://www.omegasports.com/store_locations.cfm,Thruway Shopping Center,414 S. Stratford Rd. Suite 120,Winston Salem,NC,27103,US,<MISSING>,336-760-9172,<MISSING>,36.091293,-80.28536,<MISSING>
https://www.omegasports.com/store_locations.cfm,The Arboretum,8036 Providence Rd.,Charlotte,NC,28277,US,<MISSING>,704-541-9221,<MISSING>,35.097124,-80.780796,<MISSING>
https://www.omegasports.com/store_locations.cfm,Park Road Shopping Center,4201 Park Rd.,Charlotte,NC,28209,US,<MISSING>,704-521-8504,<MISSING>,35.174959,-80.848711,<MISSING>
https://www.omegasports.com/store_locations.cfm,Hanover Center,3501 Oleander Dr.,Wilmington,NC,28403,US,<MISSING>,910-762-7212,<MISSING>,34.217356,-77.903865,<MISSING>
https://www.omegasports.com/store_locations.cfm,Crossroads Plaza,314 Crossroads Blvd. #2120,Cary,NC,27518,US,<MISSING>,919-859-2623,<MISSING>,35.759656,-78.738795,<MISSING>
https://www.omegasports.com/store_locations.cfm,New Hope Commons Shopping Center,5426 B New Hope Commons Dr.,Durham,NC,27707,US,<MISSING>,919-493-7603,<MISSING>,35.956168,-78.996417,<MISSING>
https://www.omegasports.com/store_locations.cfm,North Hills,4120 Main at North Hills St. Suite 145,Raleigh,NC,27609,US,<MISSING>,919-420-1913,<MISSING>,35.836311,-78.64299,<MISSING>
https://www.omegasports.com/store_locations.cfm,University Commons,1451 D University Dr.,Burlington,NC,27215,US,<MISSING>,336-538-2669,<MISSING>,36.067472,-79.522493,<MISSING>
https://www.omegasports.com/store_locations.cfm,Heritage Crossing,3401 Raleigh Rd Pkwy Bldg 2E,Wilson,NC,27896,US,<MISSING>,252-237-7282,<MISSING>,35.742018,-77.965038,<MISSING>
https://www.omegasports.com/store_locations.cfm,Parkwest Village,3025 Market Center Dr.,Morrisville,NC,27560,US,<MISSING>,919-388-3001,<MISSING>,35.807367,-78.814189,<MISSING>
