City,State,City_State
Abbotsford,British Columbia,"Abbotsford, British Columbia"
Armstrong,British Columbia,"Armstrong, British Columbia"
Burnaby,British Columbia,"Burnaby, British Columbia"
Campbell River,British Columbia,"Campbell River, British Columbia"
Castlegar,British Columbia,"Castlegar, British Columbia"
Chilliwack,British Columbia,"Chilliwack, British Columbia"
Colwood,British Columbia,"Colwood, British Columbia"
Coquitlam,British Columbia,"Coquitlam, British Columbia"
Courtenay,British Columbia,"Courtenay, British Columbia"
Cranbrook,British Columbia,"Cranbrook, British Columbia"
Dawson Creek,British Columbia,"Dawson Creek, British Columbia"
Delta,British Columbia,"Delta, British Columbia"
Duncan,British Columbia,"Duncan, British Columbia"
Enderby,British Columbia,"Enderby, British Columbia"
Fernie,British Columbia,"Fernie, British Columbia"
Fort St. John,British Columbia,"Fort St. John, British Columbia"
Grand Forks,British Columbia,"Grand Forks, British Columbia"
Greenwood,British Columbia,"Greenwood, British Columbia"
Kamloops,British Columbia,"Kamloops, British Columbia"
Kelowna,British Columbia,"Kelowna, British Columbia"
Kimberley,British Columbia,"Kimberley, British Columbia"
Langford,British Columbia,"Langford, British Columbia"
Langley,British Columbia,"Langley, British Columbia"
Maple Ridge,British Columbia,"Maple Ridge, British Columbia"
Merritt,British Columbia,"Merritt, British Columbia"
Nanaimo,British Columbia,"Nanaimo, British Columbia"
Nelson,British Columbia,"Nelson, British Columbia"
New Westminster,British Columbia,"New Westminster, British Columbia"
North Vancouver,British Columbia,"North Vancouver, British Columbia"
Parksville,British Columbia,"Parksville, British Columbia"
Penticton,British Columbia,"Penticton, British Columbia"
Pitt Meadows,British Columbia,"Pitt Meadows, British Columbia"
Port Alberni,British Columbia,"Port Alberni, British Columbia"
Port Coquitlam,British Columbia,"Port Coquitlam, British Columbia"
Port Moody,British Columbia,"Port Moody, British Columbia"
Powell River,British Columbia,"Powell River, British Columbia"
Prince George,British Columbia,"Prince George, British Columbia"
Prince Rupert,British Columbia,"Prince Rupert, British Columbia"
Quesnel,British Columbia,"Quesnel, British Columbia"
Revelstoke,British Columbia,"Revelstoke, British Columbia"
Richmond,British Columbia,"Richmond, British Columbia"
Rossland,British Columbia,"Rossland, British Columbia"
Salmon Arm,British Columbia,"Salmon Arm, British Columbia"
