locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,page_url
https://www.pizzapizza.ca/locations/,300 Harwood Avenue South,300 Harwood Avenue South,Ajax,ON,L1S2J1,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 02:00 AM Tuesday : 11:00 AM - 02:00 AM Wednesday : 11:00 AM - 02:00 AM Thursday : 11:00 AM - 03:00 AM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 02:00 AM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Ajax
https://www.pizzapizza.ca/locations/,15 Westney Road North,15 Westney Road North,Ajax,ON,L1T1P5,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 02:00 AM Tuesday : 11:00 AM - 02:00 AM Wednesday : 11:00 AM - 02:00 AM Thursday : 11:00 AM - 03:00 AM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 02:00 AM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Ajax
https://www.pizzapizza.ca/locations/,955 Westney Road South,955 Westney Road South,Ajax,ON,L1S3K7,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 02:00 AM Tuesday : 11:00 AM - 02:00 AM Wednesday : 11:00 AM - 02:00 AM Thursday : 11:00 AM - 03:00 AM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 02:00 AM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Ajax
https://www.pizzapizza.ca/locations/,65 Kingston Road East,65 Kingston Road East,Ajax,ON,L1S7J4,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 02:00 AM Tuesday : 11:00 AM - 02:00 AM Wednesday : 11:00 AM - 02:00 AM Thursday : 11:00 AM - 03:00 AM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 02:00 AM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Ajax
https://www.pizzapizza.ca/locations/,300 Rossland Road East,300 Rossland Road East,Ajax,ON,L1Z0K4,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 02:00 AM Tuesday : 11:00 AM - 02:00 AM Wednesday : 11:00 AM - 02:00 AM Thursday : 11:00 AM - 03:00 AM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 02:00 AM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Ajax
https://www.pizzapizza.ca/locations/,945 Innisfil Beach Road,945 Innisfil Beach Road,Alcona,ON,L9S1V3,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 11:59 PM Tuesday : 11:00 AM - 11:59 PM Wednesday : 11:00 AM - 11:59 PM Thursday : 11:00 AM - 01:00 AM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 11:59 PM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Alcona
https://www.pizzapizza.ca/locations/,176 Victoria Street East,176 Victoria Street East,Alliston,ON,L9R1K6,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 11:59 PM Tuesday : 11:00 AM - 11:59 PM Wednesday : 11:00 AM - 11:59 PM Thursday : 11:00 AM - 01:00 AM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 11:59 PM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Alliston
https://www.pizzapizza.ca/locations/,73 Wilson Street West,73 Wilson Street West,Ancaster,ON,L9G1N1,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 11:59 PM Tuesday : 11:00 AM - 11:59 PM Wednesday : 11:00 AM - 11:59 PM Thursday : 11:00 AM - 11:59 PM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 11:59 PM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Ancaster
https://www.pizzapizza.ca/locations/,193 Mill Street,193 Mill Street,Angus,ON,L0M1B0,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 02:00 AM Tuesday : 11:00 AM - 02:00 AM Wednesday : 11:00 AM - 02:00 AM Thursday : 11:00 AM - 03:00 AM Friday : 11:00 AM - 03:00 AM Saturday : 11:00 AM - 03:00 AM Sunday : 11:00 AM - 02:00 AM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Angus
https://www.pizzapizza.ca/locations/,375 Daniel Street South,375 Daniel Street South,Arnprior,ON,K7S3K6,CA,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,Monday : 11:00 AM - 10:00 PM Tuesday : 11:00 AM - 10:00 PM Wednesday : 11:00 AM - 10:00 PM Thursday : 11:00 AM - 10:00 PM Friday : 11:00 AM - 11:59 PM Saturday : 11:00 AM - 11:59 PM Sunday : 11:00 AM - 10:00 PM,https://www5.pizzapizza.ca/restaurant-locator/Ontario/Arnprior
