locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation
https://www.ppgpaints.com/store-locator,PPG Paints,38 Hunter Lane,Montgomery,AL,36109,US,<MISSING>,334-277-1034,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,2213 Highway 31 South,Pelham,AL,35124,US,<MISSING>,205-988-0510,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,210 15Th Street,Tuscaloosa,AL,35401,US,<MISSING>,205-758-3356,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,1727 9Th Avenue North,Bessemer,AL,35020,US,<MISSING>,205-424-3376,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,3064 Lorna Road,Hoover,AL,35216,US,<MISSING>,205-822-0081,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,2805 3Rd Avenue South,Birmingham,AL,35233,US,<MISSING>,205-226-0991,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,3722 Pepperell Parkway,Opelika,AL,36801,US,<MISSING>,334-749-3675,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,5253 A Hamilton Rd,Columbus,GA,31904,US,<MISSING>,706-322-5505,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,1822 Montgomery Hwy,Dothan,AL,36303,US,<MISSING>,334-794-6731,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,PPG Paints,120 Lurton Street,Pensacola,FL,32505,US,<MISSING>,850-432-8365,PGG Paints,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,HOME DEPOT 0883,2312 Eastern Blvd,Montgomery,AL,36117,US,<MISSING>,334-272-8552,Home Depot,<MISSING>,<MISSING>,<MISSING>
https://www.ppgpaints.com/store-locator,HOME DEPOT 0813,10650 Chantilly Pkwy,Montgomery,AL,36117,US,<MISSING>,334-260-8702,Home Depot,<MISSING>,<MISSING>,<MISSING>
