city,country_code,hours_of_operation,latitude,location_name,location_type,locator_domain,longitude,page_url,phone,state,store_number,street_address,zip
Birmingham,US,"Hours:11AM - 10PM, Sunday - Thursday;11AM - 11PM, Friday & Saturday",33.4487349,"Birmingham, AL",<MISSING>,https://www.shakeshack.com/locations/,  -86.7323222,<MISSING>,(205) 354-2771,Alabama,<MISSING>,200 Summit Blvd. Suite 100,35243
<MISSING>,US,"Hours:5AM - 8PM, 7 days a week",33.435769,Phoenix Sky Harbor International Airport,<MISSING>,https://www.shakeshack.com/locations/,  -112.0070539,<MISSING>,<MISSING>,Arizona,<MISSING>,"Phoenix Sky Harbor International Airport,Terminal 3 near Gate F7,3400 E Sky Harbor Blvd, Phoenix",85034
Phoenix Uptown Plaza,US,"Hours:11AM - 10PM, 7 days a week",33.510690,"Phoenix Uptown Plaza, AZ",<MISSING>,https://www.shakeshack.com/locations/,  -112.073293,<MISSING>,602.903.3240,Arizona,<MISSING>,100 E. Camelback Road,85012
Fashion Square,US,"Hours:11AM - 10PM, Sunday - Thursday;11AM - 11PM, Friday & Saturday",33.503355,"Fashion Square, AZ",<MISSING>,https://www.shakeshack.com/locations/,  -111.927305,<MISSING>,480.270.8825,Arizona,<MISSING>,7014 E. Camelback Road,85251
Kierland Commons,US,"Hours:11AM - 10PM, Sunday - Thursday;11AM - 11PM, Friday & Saturday",33.624126,"Kierland Commons, AZ",<MISSING>,https://www.shakeshack.com/locations/,  -111.928648,<MISSING>,602.362.2020,Arizona,<MISSING>,15030 N Scottsdale Road,85254
Burbank,US,"Hours:11AM - 10PM, Sunday - Thursday;11AM - 11PM, Friday & Saturday",34.182060,"Burbank, CA",<MISSING>,https://www.shakeshack.com/locations/,  -118.309642,<MISSING>,(747) 333-3040,California,<MISSING>,200 N. San Fernando Blvd.,91502
Century City,US,"Hours:11AM - 10PM, Monday - Saturday;11AM - 9PM, Sunday",34.058329,"Century City, CA",<MISSING>,https://www.shakeshack.com/locations/,  -118.418562,<MISSING>,424.218.0076,California,<MISSING>,Shake Shack - Century City,90067
Del Mar,US,"Hours:11AM - 10PM, Sunday - Saturday",32.951836,"Del Mar, CA",<MISSING>,https://www.shakeshack.com/locations/,  -117.2363543,<MISSING>,(619) 363-3604,California,<MISSING>,3705 Paseo Place,92130
El Segundo,US,"Hours:11AM - 11PM, 7 days a week",33.902414,"El Segundo, CA",<MISSING>,https://www.shakeshack.com/locations/,  -118.386149,<MISSING>,<MISSING>,California,<MISSING>,"Shake Shack - El Segundo,2171 Rosecrans Avenue",90245
Glendale,US,"Hours:11AM - 11PM, 7 days a week",34.142764,"Glendale, CA",<MISSING>,https://www.shakeshack.com/locations/,  -118.254760,<MISSING>,818.858.1612,California,<MISSING>,252 S. Brand Blvd.,91204
Hollywood,US,"Hours:11AM - 11PM, 7 days a week",34.101777,"Hollywood, CA",<MISSING>,https://www.shakeshack.com/locations/,  -118.324535,<MISSING>,323.593.7763,California,<MISSING>,6201 Hollywood Blvd,90028
Marin Country Mart,US,"Hours:11AM - 10PM, Sunday - Thursday;11AM - 11PM, Friday & Saturday",37.9481413,"Marin Country Mart, CA",<MISSING>,https://www.shakeshack.com/locations/,  -122.5085942,<MISSING>,(628) 212-2050,California,<MISSING>,1401 Larkspur Landing Circle,94939
<MISSING>,US,"Hours:11AM - 10:30PM, Monday - Sunday",34.044438,Downtown LA,<MISSING>,https://www.shakeshack.com/locations/,  -118.256080,<MISSING>,213.213.5307,California,<MISSING>,"Shake Shack - Downtown LA,400 West 8th Street,Los Angeles",90014
