State,City,ZIP Code(s),State,State,State_modified,Zip_Range,State_Mod
Alabama (AL),Huntsville,35801 thru 35816,Alabama ,AL,"Huntsville, AL",35801- 35816,"Alabama, USA"
Alaska (AK),Anchorage,99501 thru 99524,Alaska ,AK,"Anchorage, AK",99501- 99524,"Alaska, USA"
Arizona (AZ),Phoenix,85001 thru 85055,Arizona ,AZ,"Phoenix, AZ",85001- 85055,"Arizona, USA"
Arkansas (AR),Little Rock,72201 thru 72217,Arkansas ,AR,"Little Rock, AR",72201- 72217,"Arkansas, USA"
California (CA),Sacramento,94203 thru 94209,California ,CA,"Sacramento, CA",94203- 94209,"California, USA"
California (CA),Los Angeles,90001 thru 90089,California ,CA,"Los Angeles, CA",90001- 90089,"California, USA"
California (CA),Beverly Hills,90209 thru 90213,California ,CA,"Beverly Hills, CA",90209- 90213,"California, USA"
Colorado (CO),Denver,80201 thru 80239,Colorado ,CO,"Denver, CO",80201- 80239,"Colorado, USA"
Conneticut (CT),Hartford,06101 thru 06112,Conneticut ,CT,"Hartford, CT",06101- 06112,"Conneticut, USA"
Deleware (DE),Dover,19901 thru 19905,Deleware ,DE,"Dover, DE",19901- 19905,"Deleware, USA"
District of Columbia (DC),Washington,20001 thru 20020,District of Columbia ,DC,"Washington, DC",20001- 20020,"District of Columbia, USA"
Florida (FL),Pensacola,32501 thru 32509,Florida ,FL,"Pensacola, FL",32501- 32509,"Florida, USA"
Florida (FL),Miami,33124 thru 33190,Florida ,FL,"Miami, FL",33124- 33190,"Florida, USA"
Florida (FL),Orlando,32801 thru 32837,Florida ,FL,"Orlando, FL",32801- 32837,"Florida, USA"
Georgia (GA),Atlanta,30301 thru 30381,Georgia ,GA,"Atlanta, GA",30301- 30381,"Georgia, USA"
Hawaii (HI),Honolulu,96801 thru 96830,Hawaii ,HI,"Honolulu, HI",96801- 96830,"Hawaii, USA"
Idaho (ID),Montpelier,83254,Idaho ,ID,"Montpelier, ID",83254,"Idaho, USA"
Illinois (IL),Chicago,60601 thru 60641,Illinois ,IL,"Chicago, IL",60601- 60641,"Illinois, USA"
Illinois (IL),Springfield,62701 thru 62709,Illinois ,IL,"Springfield, IL",62701- 62709,"Illinois, USA"
Indiana (IN),Indianapolis,46201 thru 46209,Indiana ,IN,"Indianapolis, IN",46201- 46209,"Indiana, USA"
Iowa (IA),Davenport,52801 thru 52809,Iowa ,IA,"Davenport, IA",52801- 52809,"Iowa, USA"
Iowa (IA),Des Moines,50301 thru 50323,Iowa ,IA,"Des Moines, IA",50301- 50323,"Iowa, USA"
Kansas (KS),Wichita,67201 thru 67221,Kansas ,KS,"Wichita, KS",67201- 67221,"Kansas, USA"
Kentucky (KY),Hazard,41701- 41702,Kentucky ,KY,"Hazard, KY",41701- 41702,"Kentucky, USA"
Lousiana (LA),New Orleans,70112 thru 70119,Lousiana ,LA,"New Orleans, LA",70112- 70119,"Lousiana, USA"
Maine (ME),Freeport,04032 thru 04034,Maine ,ME,"Freeport, ME",04032- 04034,"Maine, USA"
