"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.breauxmart.com/","Cadillac","6184 E. M-55 #110","Cadillac","Michigan","49601","US","11671","231.779.1337","<MISSING>","44.217353","-85.520561","  Monday11:00 AM - 10:00 PMTuesday11:00 AM - 10:00 PMWednesday11:00 AM - 10:00 PMThursday11:00 AM - 10:00 PMFriday11:00 AM - 12:00 AMSaturday11:00 AM - 12:00 PMSunday12:00 PM - 10:00 PM"
"https://www.breauxmart.com/","Lake City","45 N. Morey Rd. ","Lake City","Michigan","49651","US","11693","231.839.1177","<MISSING>","44.339600","-85.215602","  Monday11:00 AM - 9:00 PMTuesday11:00 AM - 9:00 PMWednesday9:00 AM - 5:00 PMThursday11:00 AM - 9:00 PMFriday11:00 AM - 10:00 PMSaturday11:00 AM - 5:00 PMSunday12:00 PM - 9:00 PM"
"https://www.breauxmart.com/","Traverse City","3186 Lafranier Rd. ","Traverse City","Michigan","49686","US","11702","231.995.9900","<MISSING>","44.732403","-85.605596","  Monday11:00 AM - 10:00 PMTuesday11:00 AM - 10:00 PMWednesday11:00 AM - 10:00 PMThursday11:00 AM - 10:00 PMFriday11:00 AM - 11:00 PMSaturday11:00 AM - 11:00 PMSunday12:00 PM - 10:00 PM"
"https://www.breauxmart.com/","Evart","401 West 7th St. ","Evart","Michigan","49631","US","11676","231.734.3922","<MISSING>","43.900333","-85.263545","  Monday11:00 AM - 10:00 PMTuesday11:00 AM - 10:00 PMWednesday11:00 AM - 5:00 PMThursday11:00 AM - 5:00 PMFriday11:00 AM - 12:00 PMSaturday11:00 AM - 12:30 PMSunday12:00 PM - 10:00 PM"
"https://www.breauxmart.com/","Kalkaska","104 N. Cedar St. ","Kalkaska","Michigan","49646","US","11686","231.258.8100","<MISSING>","44.735628","-85.174546","  Monday11:00 AM - 9:00 PMTuesday11:00 AM - 9:00 PMWednesday11:00 AM - 9:00 PMThursday11:00 AM - 9:00 PMFriday11:00 AM - 10:00 PMSaturday11:00 AM - 10:00 PMSunday11:00 AM - 9:00 PM"
"https://www.breauxmart.com/","Grayling","307 James St. ","Grayling","Michigan","49738","US","11679","989.344.2222","<MISSING>","44.657578","-84.709597","  Monday11:00 AM - 9:00 PMTuesday11:00 AM - 10:00 PMWednesday11:00 AM - 10:00 PMThursday11:00 AM - 10:00 PMFriday11:00 AM - 10:00 PMSaturday11:00 AM - 10:00 PMSunday12:00 PM - 9:00 PM"
"https://www.breauxmart.com/","Roscommon","800 Lake St. ","Roscommon","Michigan","48653","US","11698","989.275.1500","<MISSING>","44.498332","-84.592687","  Monday11:00 AM - 9:00 PMTuesday11:00 AM - 9:00 PMWednesday11:00 AM - 9:00 PMThursday11:00 AM - 9:00 PMFriday11:00 AM - 10:00 PMSaturday11:00 AM - 5:00 PMSunday12:00 PM - 5:00 PM"
"https://www.breauxmart.com/","Hart","2327 N. Comfort Dr. ","Hart","Michigan","49420","US","11682","231.873.5555","<MISSING>","43.687627","-86.386512","  Monday11:00 AM - 11:00 PMTuesday11:00 AM - 11:00 PMWednesday11:00 AM - 11:00 PMThursday11:00 AM - 11:00 PMFriday11:00 AM - 12:00 AMSaturday11:00 AM - 12:00 AMSunday11:00 AM - 10:00 PM"
"https://www.breauxmart.com/","East Jordan","101 N. Lake St. ","East Jordan","Michigan","49727","US","11675","231.536.5555","<MISSING>","45.154316","-85.140215","  Monday11:00 AM - 9:00 PMTuesday11:00 AM - 10:00 PMWednesday11:00 AM - 10:00 PMThursday11:00 AM - 10:00 PMFriday11:00 AM - 11:00 PMSaturday11:00 AM - 11:00 PMSunday11:00 AM - 9:00 PM"
"https://www.breauxmart.com/","Lakeview","9710 N. Greenville Rd. Next to LEPPINK'S","Lakeview","Michigan","48850","US","11694","989.352.4002","<MISSING>","43.434696","-85.265021","  Monday11:00 AM - 9:00 PMTuesday11:00 AM - 9:00 PMWednesday11:00 AM - 9:00 PMThursday11:00 AM - 9:00 PMFriday11:00 AM - 10:00 PMSaturday11:00 AM - 10:00 PMSunday11:00 AM - 9:00 PM"
"https://www.breauxmart.com/","Howard City","841 W. Shaw Rd. ","Howard City","Michigan","49329","US","11683","231.937.9000","<MISSING>","43.395190","-85.484337","  Monday11:00 AM - 9:00 PMTuesday11:00 AM - 9:00 PMWednesday11:00 AM - 9:00 PMThursday11:00 AM - 9:00 PMFriday11:00 AM - 10:00 PMSaturday11:00 AM - 10:00 PMSunday11:00 AM - 9:00 PM"
"https://www.breauxmart.com/","Gaylord","1525 W. Main St. ","Gaylord","Michigan","49735","US","11677","989.731.1555","<MISSING>","45.026994","-84.705031","  Monday11:00 AM - 10:00 PMTuesday11:00 AM - 10:00 PMWednesday11:00 AM - 10:00 PMThursday11:00 AM - 10:00 PMFriday11:00 AM - 12:00 AMSaturday10:00 AM - 12:00 AMSunday12:00 PM - 10:00 PM"
"https://www.breauxmart.com/","Boyne City","1191 M-75 S. ","Boyne City","Michigan","49712","US","11669","231.582.2288","<MISSING>","45.203963","-84.984413","  Monday11:00 AM - 12:00 AMTuesday11:00 AM - 12:00 AMWednesday11:00 AM - 12:00 AMThursday11:00 AM - 12:00 AMFriday11:00 AM - 1:00 AMSaturday11:00 AM - 1:00 AMSunday12:00 PM - 12:00 AM"
"https://www.breauxmart.com/","Boyne City North","472 N. Lake St. ","Boyne City","Michigan","49712","US","11670","231.582.6050","<MISSING>","45.219980","-85.015327","  Monday11:00 AM - 8:00 PMTuesday11:00 AM - 8:00 PMWednesday11:00 AM - 8:00 PMThursday11:00 AM - 8:00 PMFriday11:00 AM - 8:00 PMSaturday11:00 AM - 8:00 PMSunday"
