"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.foxrentacar.com/","PHOENIX AIRPORT (PHX)","1805 E. SKY HARBOR CIRCLE SO. / CAR RENTAL CENTER","PHOENIX","AZ","85034","US","<MISSING>","(602) 783-1524","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
24 Hours
Tuesday:
24 Hours
Wednesday:
24 Hours
Thursday:
24 Hours
Friday:
24 Hours
Saturday:
24 Hours
Sunday:
24 Hours"
"https://www.foxrentacar.com/","BURBANK AIRPORT (BUR)","2501 N. HOLLYWOOD WAY BOB HOPE AIRPORT CAR RENTAL CTR.","BURBANK","CA","91505","US","<MISSING>","(818) 573-5533","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
05:00 AM - 11:30 PM
Tuesday:
05:00 AM - 11:30 PM
Wednesday:
05:00 AM - 11:30 PM
Thursday:
05:00 AM - 11:30 PM
Friday:
05:00 AM - 11:30 PM
Saturday:
05:00 AM - 11:30 PM
Sunday:
05:00 AM - 11:30 PM"
"https://www.foxrentacar.com/","LOS ANGELES AIRPORT (LAX)","5500 W CENTURY BLVD (OFF AIRPORT)","LOS ANGELES","CA","90045","US","<MISSING>","(323) 673-9084","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
24 Hours
Tuesday:
24 Hours
Wednesday:
24 Hours
Thursday:
24 Hours
Friday:
24 Hours
Saturday:
24 Hours
Sunday:
24 Hours"
"https://www.foxrentacar.com/","OAKLAND AIRPORT (OAK)","7600 EARHART RD / CAR RENTAL CENTER","OAKLAND","CA","94603","US","<MISSING>","(510) 254-4410","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
12:00 AM - 00:30 AM,05:00 AM - 11:59 PM
Tuesday:
12:00 AM - 00:30 AM,05:00 AM - 11:59 PM
Wednesday:
12:00 AM - 00:30 AM,05:00 AM - 11:59 PM
Thursday:
12:00 AM - 00:30 AM,05:00 AM - 11:59 PM
Friday:
12:00 AM - 00:30 AM,05:00 AM - 11:59 PM
Saturday:
12:00 AM - 00:30 AM,05:00 AM - 11:59 PM
Sunday:
12:00 AM - 00:30 AM,05:00 AM - 11:59 PM"
"https://www.foxrentacar.com/","ONTARIO AIRPORT (ONT)","1776 E. HOLT BLVD (OFF AIRPORT)","ONTARIO","CA","91761","US","<MISSING>","(909) 635-6390","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Tuesday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Wednesday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Thursday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Friday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Saturday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Sunday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM"
"https://www.foxrentacar.com/","ORANGE COUNTY AIRPORT (SNA)","325 BAKER STREET E. / (OFF AIRPORT)","COSTA MESA","CA","92626","US","<MISSING>","(714) 874-5322","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
05:00 AM - 11:30 PM
Tuesday:
05:00 AM - 11:30 PM
Wednesday:
05:00 AM - 11:30 PM
Thursday:
05:00 AM - 11:30 PM
Friday:
05:00 AM - 11:30 PM
Saturday:
05:00 AM - 11:30 PM
Sunday:
05:00 AM - 11:30 PM"
"https://www.foxrentacar.com/","SAN DIEGO AIRPORT (SAN)","3355 ADMIRAL BOLAND WAY","SAN DIEGO","CA","92101","US","<MISSING>","(619) 432-0620","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
12:00 AM - 00:30 AM,04:00 AM - 11:59 PM
Tuesday:
12:00 AM - 00:30 AM,04:00 AM - 11:59 PM
Wednesday:
12:00 AM - 00:30 AM,04:00 AM - 11:59 PM
Thursday:
12:00 AM - 00:30 AM,04:00 AM - 11:59 PM
Friday:
12:00 AM - 00:30 AM,04:00 AM - 11:59 PM
Saturday:
12:00 AM - 00:30 AM,04:00 AM - 11:59 PM
Sunday:
12:00 AM - 00:30 AM,04:00 AM - 11:59 PM"
"https://www.foxrentacar.com/","SAN DIEGO CROSS BORDER XPRESS (SANC01)","2745 Otay Pacific Drive Suite O","SAN DIEGO","CA","92154","US","<MISSING>","(619) 591-9150","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
06:00 AM - 11:30 PM
Tuesday:
06:00 AM - 11:30 PM
Wednesday:
06:00 AM - 11:30 PM
Thursday:
06:00 AM - 11:30 PM
Friday:
06:00 AM - 11:30 PM
Saturday:
06:00 AM - 11:30 PM
Sunday:
06:00 AM - 11:30 PM"
"https://www.foxrentacar.com/","SAN FRANCISCO AIRPORT (SFO)","780 N. MCDONNELL RD. CAR RENTAL CENTER","SAN FRANCISCO","CA","94128","US","<MISSING>","(415) 917-2713","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
24 Hours
Tuesday:
24 Hours
Wednesday:
24 Hours
Thursday:
24 Hours
Friday:
24 Hours
Saturday:
24 Hours
Sunday:
24 Hours"
"https://www.foxrentacar.com/","SAN JOSE AIRPORT (SJC)","1659 AIRPORT BLVD / CAR RENTAL CENTER","SAN JOSE","CA","95110","US","<MISSING>","(408) 709-2950","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
12:00 AM - 01:00 AM,06:00 AM - 11:59 PM
Tuesday:
12:00 AM - 01:00 AM,06:00 AM - 11:59 PM
Wednesday:
12:00 AM - 01:00 AM,06:00 AM - 11:59 PM
Thursday:
12:00 AM - 01:00 AM,06:00 AM - 11:59 PM
Friday:
12:00 AM - 01:00 AM,06:00 AM - 11:59 PM
Saturday:
12:00 AM - 01:00 AM,06:00 AM - 11:59 PM
Sunday:
12:00 AM - 01:00 AM,06:00 AM - 11:59 PM"
"https://www.foxrentacar.com/","DENVER AIRPORT (DEN)","24558 E. 75TH AVENUE","DENVER","CO","80249","US","<MISSING>","(303) 214-7955","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
24 Hours
Tuesday:
24 Hours
Wednesday:
24 Hours
Thursday:
24 Hours
Friday:
24 Hours
Saturday:
24 Hours
Sunday:
24 Hours"
"https://www.foxrentacar.com/","FORT LAUDERDALE AIRPORT (FLL)","3100 SE 6TH AVENUE (OFF AIRPORT)","FORT LAUDERDALE","FL","33316","US","<MISSING>","(954) 903-2750","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
24 Hours
Tuesday:
24 Hours
Wednesday:
24 Hours
Thursday:
24 Hours
Friday:
24 Hours
Saturday:
24 Hours
Sunday:
24 Hours"
"https://www.foxrentacar.com/","FORT MYERS AIRPORT (RSW)","10431 RADAR COURT","FORT MYERS","FL","33913","US","<MISSING>","(239) 785-3040","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Tuesday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Wednesday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Thursday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Friday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Saturday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM
Sunday:
12:00 AM - 01:00 AM,04:00 AM - 11:59 PM"
"https://www.foxrentacar.com/","MIAMI AIRPORT (MIA)","3275 NW 24TH STREET RD (OFF AIRPORT)","MIAMI","FL","33142","US","<MISSING>","(305) 602-9320","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
24 Hours
Tuesday:
24 Hours
Wednesday:
24 Hours
Thursday:
24 Hours
Friday:
24 Hours
Saturday:
24 Hours
Sunday:
24 Hours"
"https://www.foxrentacar.com/","ORLANDO AIRPORT (MCO)","5757 S SEMORAN BLVD (OFF AIRPORT)","ORLANDO","FL","32822","US","<MISSING>","(407) 930-9520","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday:
24 Hours
Tuesday:
24 Hours
Wednesday:
24 Hours
Thursday:
24 Hours
Friday:
24 Hours
Saturday:
24 Hours
Sunday:
24 Hours"
