"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Birmingham, AL","2311 Richard Arrington Jr. Blvd N. # 100","<MISSING>","<MISSING>","<MISSING>","US","<MISSING>","(205) 933-7575","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Mobile, AL","6255 Airport Blvd","Mobile","AL","36608","US","<MISSING>","(251) 447-2514","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Tuscaloosa, AL","511 Greensboro Ave","Tuscaloosa","AL","35401","US","<MISSING>","(205) 391-0572","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Vestavia Hills, AL","1919 Kentucky Avenue # 101","Vestavia Hills","AL","35216","US","<MISSING>","(205) 824-9030","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Covington, LA","300 River Highlands Blvd","Covington","LA","70433","US","<MISSING>","(985) 893-2422","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Biloxi, MS","130 Main Street","Biloxi","MS","39530","US","<MISSING>","(228) 385-4626","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Columbus, MS","1737 Hwy 45 N","Columbus","MS","39705","US","<MISSING>","(662) 798-0879","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - D'Iberville, MS","4001 Promenade Pkwy","D'Iberville","MS","39532","US","<MISSING>","(228) 207-1746","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Flowood, MS","4245 Lakeland Dr","Flowood","MS","39232","US","<MISSING>","(601) 932-4031","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Gulfport, MS","15533 Daniel Blvd","Gulfport","MS","39531","US","<MISSING>","(228) 206-1872","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Hattiesburg, MS","204 N. 40th Ave","Hattiesburg","MS","39402","US","<MISSING>","(601) 271-2299","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Meridian, MS","5005 493","Meridian","MS","39305","US","<MISSING>","(601) 693-3244","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Oxford, MS","1400 Merchants Drive","Oxford","MS","38655","US","<MISSING>","(662) 380-5054","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Pearl, MS","417 Riverwind Dr","Pearl","MS","39208","US","<MISSING>","(769) 251-5243","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Starkville, MS","550 Russell St","Starkville","MS","39759","US","<MISSING>","(662) 324-3965","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.mugshotsgrillandbar.com/","Mugshots Grill & Bar - Tupelo, MS","374 E. Main St.","Tupelo","MS","38804","US","<MISSING>","(662) 269-2907","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
