"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.vw.ca","Jim Pattison Volkswagen Surrey","15383 Guildford Dr","Surrey","BC","V3R 0H9","CA","91401","(604)584-1311","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","49.1978361","-122.7954605","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Abbotsford Volkswagen","30150 Automall Dr","Abbotsford","BC","V2T 5M1","CA","91404","(604)853-1181","NEW_PC  PARTS   USED_PC ","49.0615287","-122.3882155","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Chilliwack Volkswagen","44615 Yale Road West","Chilliwack","BC","V2R 4H2","CA","91405","(604)795-5771","NEW_PC  PARTS   USED_PC ","49.1453283","-121.9900715","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Harbourview Autohaus Ltd.","4921 Wellington Rd","Nanaimo","BC","V9T 2H5","CA","91406","(250)751-1221","AWARD  E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","49.2132903","-124.0300638","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Hub City Volkswagen","1822 Queensway","Prince George","BC","V2L 1L8","CA","91416","(250)564-7228","NEW_PC  PARTS   USED_PC ","53.9068975","-122.741794","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Clarkdale Motors Ltd.","4575 Main St","Vancouver","BC","V5V 3R4","CA","91417","(604)872-5431","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","49.2437177","-123.1016519","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Volkswagen Victoria","3329 Douglas St","Victoria","BC","V8Z 3L2","CA","91428","(250)475-2415","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","48.4504485","-123.3731863","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Turner Volkswagen","2150 Enterprise Way","Kelowna","BC","V1Y 6H7","CA","91429","(250)860-6278","AWARD  NEW_PC  PARTS   USED_PC  WORKSHOP ","49.8837743","-119.4401161","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Volkswagen of Kamloops","2483 Trans Canada Hwy E","Kamloops","BC","V2C 4A9","CA","91438","(250)374-3000","AWARD  NEW_PC  PARTS   USED_PC ","50.675487","-120.2471032","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Cowell Motors Ltd.","Richmond Auto Mall 13611 Smallwood","Richmond","BC","V6V 1W8","CA","91444","(604)273-3922","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","49.1721778","-123.0774885","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Capilano Volkswagen Audi Inc.","1151 Marine Dr","North Vancouver","BC","V7P 1T1","CA","91449","(604)985-0694","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC  WORKSHOP ","49.3235076","-123.1058994","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Vernon Volkswagen","6205 Hwy 97","Vernon","BC","V1B 3R4","CA","91474","(250)545-2358","AWARD  NEW_PC  PARTS   USED_PC ","50.2944939","-119.2559861","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Maple Ridge Volkswagen","20279 Lougheed Hwy","Maple Ridge","BC","V2X 2P6","CA","91480","(604)460-8890","AWARD  NEW_PC  PARTS   USED_PC ","49.2198197","-122.6589474","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Regency Volkswagen","2555 Barnet Hwy","Coquitlam","BC","V3H 1W4","CA","91481","(604)461-5000","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","49.2783722","-122.8205847","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","OpenRoad Volkswagen","3775 Lougheed Hwy","Burnaby","BC","V5C 0J4","CA","91482","(604)298-0038","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","49.2662558","-123.0211203","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Arrow Motors","2034 Cranbrook St N","Cranbrook","BC","V1C 3T1","CA","91486","(250)489-4327","NEW_PC  PARTS   USED_PC ","49.5315525","-115.7439376","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Comox Valley Volkswagen","401 Ryan Rd","Courtenay","BC","V9N 3R5","CA","91489","(250)338-1221","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","49.6963981","-124.9908569","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","White Rock Volkswagen","2092 152 St","Surrey","BC","V4A 4N8","CA","91491","(604)536-7212","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC ","49.0400421","-122.8009163","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Gold Key Langley Volkswagen","19545 Langley Bypass","Surrey","BC","V3S 6K1","CA","91496","(604)534-7431","E_SALES  E_SERVICE  NEW_PC  PARTS   USED_PC  WORKSHOP ","49.1098928","-122.681679","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Northland Volkswagen","4849 Northland Dr Nw","Calgary","AB","T2L 2K3","CA","91507","(403)286-4849","NEW_PC  PARTS   USED_PC ","51.0955152","-114.1423617","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
"https://www.vw.ca","Country Hills Volkswagen","11380 Stonehill Drive Ne","Calgary","AB","T3N 1N7","CA","91509","(403)516-1140","NEW_PC  PARTS   USED_PC ","51.1560349","-114.0061503","<MISSING>","https://www.vw.ca/app/dccsearch/vw-ca/en/Volkswagen%20Dealer%20Search/+/53.835794350000015/-95.32055685/4/+/+/+/+"
