"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"http://www.bobaguys.com","Boba Guys Palo Alto","855 el camino real #120","palo alto","CA","94301","US","<MISSING>","<MISSING>","<MISSING>","37.4385004","-122.1591828","Monday-Friday: 10am - 8pmSaturday:10am - 9pmSunday: 11am - 6pm","http://www.bobaguys.com/locations"
"http://www.bobaguys.com","Boba Guys San Ramon","6000 Bollinger canyon road #1217","San Ramon","CA","94583","US","<MISSING>","<MISSING>","<MISSING>","37.76269274113229","-121.95964981778428","Monday-Thursday: 10am - 9pmFriday: 10am - 10pmSaturday:11am - 10pmSunday: 11am - 7pm","http://www.bobaguys.com/locations"
"http://www.bobaguys.com","Boba Guys NOPA","836 Divisadero Street","San Francisco","CA","94117","US","<MISSING>","<MISSING>","<MISSING>","37.7774739","-122.43799100000001","Monday-Thursday:11am -9pmFriday-Saturday:12pm -10pmSunday:12pm - 6pm","http://www.bobaguys.com/locations"
"http://www.bobaguys.com","Boba Guys - San Carlos","872 Laurel Street","San Carlos","CA","94070","US","<MISSING>","<MISSING>","<MISSING>","37.5026808","-122.2570576","Monday-Thursday: 9am - 8pmFriday: 9am - 9pmSaturday:12pm - 9pmSunday: 12pm - 6pm","http://www.bobaguys.com/locations"
"http://www.bobaguys.com","Boba Guys","8 Octavia Street","San Francisco","CA","94102","US","<MISSING>","<MISSING>","<MISSING>","37.77273802956171","-122.42394210192185","Monday-Thursday:9am -9pmFriday: 9am - 10pmSaturday: 12pm - 10pmSunday: 12pm - 6pm","http://www.bobaguys.com/locations"
"http://www.bobaguys.com","Boba Guys Union Square","429 Stockton St","San Francisco","CA","94108","US","<MISSING>","<MISSING>","<MISSING>","37.7900049","-122.40720750000003","Monday-Thursday:9am -9pmFriday:9am -10pmSaturday:12pm -10pmSunday:12pm - 6pm","http://www.bobaguys.com/locations"
"http://www.bobaguys.com","Boba Guys","1522 Fillmore Street","San Francisco","CA","94115","US","<MISSING>","<MISSING>","<MISSING>","37.7836676","-122.43257289999997","Monday-Thursday:11am -9pmFriday-Saturday:12pm -11pmSunday:12pm - 6pmHome to Sunday Bird, our secret Korean fried chicken popup in the back in partnership with Chef Deuki Hong.Sunday Bird hours:Monday:ClosedTuesday-Thursday:11am -6pmFriday-Saturday:12pm -8pmSunday:12pm - 6pm","http://www.bobaguys.com/locations"
"http://www.bobaguys.com","Boba Guys","1002 16th Street","San Francisco","CA","94107","US","<MISSING>","<MISSING>","<MISSING>","37.7664316","-122.39699910000002","Monday-Friday:9am -7pmSaturday:12pm -8pmSunday:12pm - 6pm","http://www.bobaguys.com/locations"
"http://www.bobaguys.com","Boba Guys Rideback Ranch","1670 Beverly Blvd","los angeles","CA","90026","US","<MISSING>","<MISSING>","<MISSING>","34.0640285","-118.2654364","Monday-Thursday:9am - 9pmFriday- Saturday:11am - 10pmSunday: 12pm - 6pm","http://www.bobaguys.com/los-angeles"
"http://www.bobaguys.com","Boba Guys","8820 Washington Blvd. #107","culver city","CA","90232","US","<MISSING>","<MISSING>","<MISSING>","34.0275251","-118.38691770000003","Monday-Thursday:11am - 7pmFriday- Saturday:11am - 9pmSunday: 12pm - 6pm","http://www.bobaguys.com/los-angeles"
"http://www.bobaguys.com","Boba Guys","23 Clinton Street.","New York,","NY","10002","US","<MISSING>","<MISSING>","<MISSING>","40.7206127","-73.98451929999999","Monday-Thursday: 12PM - 9PMFriday:12PM - 10PMSaturday:11AM - 10PMSunday: 11AM - 9PM","http://www.bobaguys.com/new-york-locations"
"http://www.bobaguys.com","Boba Guys Greenwich Village","11 Waverly Place","New York","NY","10003","US","<MISSING>","<MISSING>","<MISSING>","40.7301485","-73.99407710000003","Monday-Thursday: 10AM - 9PMFriday-Saturday:10AM - 10PMSunday: 10AM - 9PM","http://www.bobaguys.com/new-york-locations"
"http://www.bobaguys.com","Boba Guys - Canal Street Market","265 Canal Street","New York","NY","10013","US","<MISSING>","<MISSING>","<MISSING>","40.7190145","-74.00081840000001","Monday-Saturday: 10AM - 10PMSunday: 10AM - 6PM","http://www.bobaguys.com/new-york-locations"
