"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.carewellurgentcare.com","South Dennis","Patriot Square 484 Rte. 134","South Dennis","MA","02660","US","7857","508-694-7901","<MISSING>","41.6934137","-70.15223739999999","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Norwell","42 Washington St.","Norwell","MA","02061","US","7854","781-421-3503","<MISSING>","42.1734829","-70.88210270000002","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Peabody","229 Andover Street (Rt 114)","Peabody","MA","01960","US","7855","978-826-5950","<MISSING>","42.5472942","-70.94695480000001","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Somerville","349 Broadway","Somerville","MA","02145","US","7856","617-996-6987","<MISSING>","42.3938609","-71.09489930000001","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Friday  9 AM – 5 PM Saturday and Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Cambridge Inman Square","1400 Cambridge Street","Cambridge","MA","02138","US","7840","617-714-4534","<MISSING>","42.37362479999999","-71.10118030000001","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Friday  9 AM – 6 PM Saturday and Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Cambridge Fresh Pond","601-603 Concord Ave","Cambridge","MA","02138","US","7847","857-706-1107","<MISSING>","42.38912740000001","-71.1445291","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Friday  9 AM – 5 PM Saturday and Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Needham","922 Highland Avenue","Needham","MA","02494","US","7852","781-400-1383","<MISSING>","42.292737","-71.23489169999999","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Friday  8 AM – 8 PM Saturday and Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Lexington","58 Bedford Street","Lexington","MA","02420","US","7850","781-538-4526","<MISSING>","42.453024","-71.23349830000001","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Friday  9 AM – 6 PM Saturday and Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Billerica","510 Boston Road","Billerica","MA","01821","US","7846","978-362-2443","<MISSING>","42.55337780000001","-71.26386709999997","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Tewksbury","345 Main Street","Tewksbury","MA","01876","US","7858","978-851-4683","<MISSING>","42.6229492","-71.2661407","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Framingham","50 Worcester Road (Rt 9)","Framingham","MA","01702","US","7849","508-861-7375","<MISSING>","42.298195","-71.39498500000002","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Friday  8 AM – 6 PM Saturday and Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Warwick","535 Centerville Road","Warwick","RI","02886","US","7859","401-773-7220","<MISSING>","41.6979166","-71.4794372","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Marlborough","757 Boston Post Road East","Marlborough","MA","01752","US","7851","508-630-8989","<MISSING>","42.34964249999999","-71.4996529","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Northborough","333 Southwest Cutoff","Northborough","MA","01532","US","7853","508-466-8677","<MISSING>","42.2850309","-71.66850260000001","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Worcester Lincoln St","500 Lincoln Street","Worcester","MA","01605","US","7861","774-420-2111","<MISSING>","42.2957092","-71.77392689999999","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Worcester Greenwood St","348 Greenwood Street","Worcester","MA","01607","US","7860","774-420-2103","<MISSING>","42.2133219","-71.79762790000001","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
"https://www.carewellurgentcare.com","Fitchburg","380 John Fitch Highway","Fitchburg","MA","01420","US","7848","978-696-3547","<MISSING>","42.5808891","-71.77387540000001","OPEN 7 DAYS WEEK  8 AM – 8 PM Monday – Sunday","https://www.carewellurgentcare.com/centers/"
