"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.inova.org","Alexandria Imaging Center","4660 Kenmore AvenueSuite 525","Alexandria","VA","22304","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","Monday 7AM–5PM"
"https://www.inova.org","Annandale Treasure Trove Store","7010 Columbia Pike","Annandale","VA","22003","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","Monday 10AM–5PM"
"https://www.inova.org","Breast Health Services at Inova Loudoun Hospital","44055 Riverside ParkwaySuite 150","Leesburg","VA","20176","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>"
"https://www.inova.org","Brock Family Antenatal Testing Center","Inova Alexandria Hospital Birthing Center4320 Seminary Road","Alexandria","VA","22304","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","Monday 8:30AM–4:30PM"
"https://www.inova.org","Center for Liver Diseases","Inova Fairfax Hospital3300 Gallows Road","Falls Church","VA","22042","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","Monday 8:30AM–5PM"
"https://www.inova.org","Centreville/Clifton Imaging Center","6211 Centreville RoadSuite 400","Centreville","VA","20121","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","Monday 7AM–5PM"
"https://www.inova.org","Claude Moore Health Education and Research Center","Inova Fairfax Medical Campus3300 Gallows Road","Falls Church","VA","22042","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>"
"https://www.inova.org","Department of Obstetrics and Gynecology: Contact Us","Inova Fairfax Hospital3300 Gallows Road","Falls Church","VA","22042","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>"
"https://www.inova.org","Dorothea R. Fisher Wound Healing Center at Inova Mount Vernon Hospital","2501 Parkers Lane","Alexandria","VA","22306","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","Monday 8:30AM–5PM"
"https://www.inova.org","Fairfax Diagnostic Imaging Center","3801 University DriveSuite 130","Fairfax","VA","22030","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","Monday 7:30AM–5PM"
"https://www.inova.org","General Internal Medicine Group - Ballston","3833 N. Fairfax Dr.#200","Arlington","VA","22203","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","Monday 8AM–5PM"
"https://www.inova.org","General Internal Medicine Group - Ballston","3833 Fairfax Dr.Suite 200","Arlington","VA","22203","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>"
"https://www.inova.org","General Internal Medicine Group - Fairfax","3022 Williams Dr.Suite 300","Fairfax","VA","22031","US","<MISSING>","<MISSING>","<INACCESSIBLE>","<MISSING>","<MISSING>","<MISSING>"
