"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.miracle-ear.com","Miracle-Ear Hearing Aid Center Andalusia, AL","504B E Three Notch St","Andalusia","AL","36421","US","<MISSING>","(334) 785-2362","<MISSING>","31.30782","-86.47636","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday Closed Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-andalusia-al/miracle-ear-hearing-aid-center-e-three-notch-st-s11338"
"https://www.miracle-ear.com","Miracle-Ear Hearing Aid Center Auburn, AL","1888 Ogletree Rd Suite 160","Auburn","AL","36830","US","<MISSING>","(334) 785-2192","<MISSING>","32.584115","-85.438142","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-auburn-al/miracle-ear-hearing-aid-center-ogletree-rd-s11343"
"https://www.miracle-ear.com","Miracle-Ear Hearing Aid Center Decatur, AL","2124 6th Ave, Suite 400","Decatur","AL","35601","US","<MISSING>","(256) 673-3773","<MISSING>","34.570407","-86.972507","Monday Closed Tuesday Closed Wednesday Closed Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-decatur-al/miracle-ear-hearing-aid-center-6th-ave-s11791"
"https://www.miracle-ear.com","Miracle-Ear Hearing Aid Center Dothan, AL","4440 W Main St #3","Dothan","AL","36305","US","<MISSING>","(334) 785-2209","<MISSING>","31.236879","-85.459053","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-dothan-al/miracle-ear-hearing-aid-center-w-main-st-s11337"
"https://www.miracle-ear.com","Miracle-Ear Hearing Aid Center Enterprise, AL","107 E Watts St,","Enterprise","AL","36330","US","<MISSING>","(334) 785-2319","<MISSING>","31.31928","-85.856358","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-enterprise-al/miracle-ear-hearing-aid-center-e-watts-st-s11336"
"https://www.miracle-ear.com","Miracle-Ear Hearing Aid Center Fairhope, AL","23937 US Highway 98, Suite 2","Fairhope","AL","36532","US","<MISSING>","(251) 313-0786","<MISSING>","30.573501","-87.899218","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-fairhope-al/miracle-ear-hearing-aid-center-us-highway-98-s11691"
"https://www.miracle-ear.com","Miracle-Ear Hearing Aid Center Hoover, AL","2801 John Hawkins Pkwy Ste 125","Hoover","AL","35244","US","<MISSING>","(205) 738-0840","<MISSING>","33.365396","-86.824415","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-hoover-al/miracle-ear-hearing-aid-center-john-hawkins-pkwy-s11741"
"https://www.miracle-ear.com","Miracle-Ear Hearing Aid Center Huntsville, AL","6125 Universtiy dr NW A14","Huntsville","AL","35806","US","<MISSING>","(256) 673-4323","<MISSING>","34.742127","-86.677205","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-huntsville-al/miracle-ear-hearing-aid-center-university-dr-nw-s11531"
"https://www.miracle-ear.com","Miracle-Ear Mobile, AL - Downtowner Loop N","4318 Downtowner Loop N # K","Mobile","AL","36609","US","<MISSING>","(251) 313-0660","<MISSING>","30.67453","-88.14236","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-mobile-al/miracle-ear-hearing-aid-center-downtowner-loop-n-s11692"
"https://www.miracle-ear.com","Miracle-Ear Mobile, AL - Schillinger Rd S","2344 Schillinger Rd S, Bldg2","Mobile","AL","36695","US","<MISSING>","<MISSING>","<MISSING>","30.64215","-88.22711","Monday 08:30 AM - 05:00 PM Tuesday 08:30 AM - 05:00 PM Wednesday 08:30 AM - 05:00 PM Thursday 08:30 AM - 05:00 PM Friday 08:30 AM - 04:00 PM Saturday Closed Sunday Closed","https://www.miracle-ear.com/stores-near-me/hearing-aids-mobile-al/miracle-ear-hearing-aid-center-schillinger-rd-s-s10314"
