"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.seasons52.com","Birmingham","245 Summit Blvd","Birmingham","ALABAMA","35243","US","<MISSING>","(205) 968-5152","<MISSING>","33.44941128","-86.72935289","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Phoenix","2502 E Camelback Rd","Phoenix","ARIZONA","85016","US","<MISSING>","(602) 840-5252","<MISSING>","33.51044000","-112.02676000","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Costa Mesa","3333 Bristol St","Costa Mesa","CALIFORNIA","92626","US","<MISSING>","(714) 437-5252","<MISSING>","33.68998000","-117.88752000","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Sacramento","1689 Arden Way","Sacramento","CALIFORNIA","95815","US","<MISSING>","(916) 922-5252","<MISSING>","38.60120800","-121.42749700","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  22:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","San Diego - Seaport District","789 W Harbor Dr","San Diego","CALIFORNIA","92101","US","<MISSING>","(619) 702-0052","<MISSING>","32.71071769","-117.16945459","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","San Diego - UTC","4505 La Jolla Village Drive","San Diego","CALIFORNIA","92122","US","<MISSING>","(858) 450-1252","<MISSING>","32.87221900","-117.20962700","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Lone Tree","8325 Park Meadows Center Drive","Lone Tree","COLORADO","80124","US","<MISSING>","(303) 799-0252","<MISSING>","39.56539100","-104.87453400","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Altamonte Springs","463 E. Altamonte Drive","Altamonte Springs","FLORIDA","32701","US","<MISSING>","(407) 767-1252","<MISSING>","28.66444000","-81.37657000","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  21:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Boca Raton","2300 NW Executive Center Drive","Boca Raton","FLORIDA","33431","US","<MISSING>","(561) 998-9952","<MISSING>","26.36958500","-80.12466300","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  21:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Coral Gables","321 Miracle Mile","Coral Gables","FLORIDA","33134","US","<MISSING>","(305) 442-8552","<MISSING>","25.74963000","-80.26140000","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  22:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Fort Lauderdale","2428 East Sunrise Blvd","Fort Lauderdale","FLORIDA","33304","US","<MISSING>","(954) 537-1052","<MISSING>","26.13737700","-80.11303400","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  21:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Jacksonville","5096 Big Island Dr","Jacksonville","FLORIDA","32246","US","<MISSING>","(904) 645-5252","<MISSING>","30.25187500","-81.52607200","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Naples","8930 Tamiami Trail North","Naples","FLORIDA","34108","US","<MISSING>","(239) 594-8852","<MISSING>","26.25177400","-81.80045900","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  21:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Orlando - Sand Lake Road","7700 Sand Lake Road","Orlando","FLORIDA","32819","US","<MISSING>","(407) 354-5212","<MISSING>","28.44819000","-81.48801000","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  22:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Palm Beach Gardens","11611 Ellison Wilson Road","Palm Beach Gardens","FLORIDA","33408","US","<MISSING>","(561) 625-5852","<MISSING>","26.84519000","-80.06564000","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  21:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Sarasota","170 University Town Center Drive","Sarasota","FLORIDA","34243","US","<MISSING>","(941) 702-9652","<MISSING>","27.38427630","-82.45349102","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Sunrise - Sawgrass","1862 Sawgrass Mills Circle","Sunrise","FLORIDA","33323","US","<MISSING>","(954) 846-0052","<MISSING>","26.14968165","-80.31905696","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  21:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Tampa","204 N Westshore Blvd","Tampa","FLORIDA","33609","US","<MISSING>","(813) 286-1152","<MISSING>","27.94636000","-82.52483000","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Atlanta - Buckhead","3050 Peachtree Road NW","Atlanta","GEORGIA","30305","US","<MISSING>","(404) 846-1552","<MISSING>","33.83877600","-84.38088900","Today (Friday) 11:30:00  -  23:00:00 Saturday 11:30:00  -  23:00:00 Sunday 11:30:00  -  21:00:00 Monday 11:30:00  -  22:00:00 Tuesday 11:30:00  -  22:00:00 Wednesday 11:30:00  -  22:00:00 Thursday 11:30:00  -  22:00:00 "
"https://www.seasons52.com","Buford","3265 Buford Drive","Buford","GEORGIA","30519","US","<MISSING>","(770) 831-8752","<MISSING>","34.06669335","-83.98687005","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Atlanta - Perimeter","90 Perimeter Center West","Dunwoody","GEORGIA","30346","US","<MISSING>","(770) 671-0052","<MISSING>","33.92646100","-84.33981300","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
"https://www.seasons52.com","Oak Brook","3 Oakbrook Center","Oak Brook","ILLINOIS","60523","US","<MISSING>","(630) 571-4752","<MISSING>","41.84969000","-87.95546000","Today (Friday) 11:00:00  -  23:00:00 Saturday 11:00:00  -  23:00:00 Sunday 11:00:00  -  21:00:00 Monday 11:00:00  -  22:00:00 Tuesday 11:00:00  -  22:00:00 Wednesday 11:00:00  -  22:00:00 Thursday 11:00:00  -  22:00:00 "
