"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.cleosfurniture.com","BENTON","201 North Main Street","Benton","Arkansas","72015","US","<MISSING>","501.778.8886","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 6 pm Saturday: 10 am to 6 pm Sunday: Closed"
"https://www.cleosfurniture.com","CONWAY","225 Oak St.","Conway","Arkansas","72032","US","<MISSING>","501.328.3338","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 7 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","JACKSONVILLE","925 West Main Street","Jacksonville","Arkansas","72076","US","<MISSING>","501.985.4300","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 6 pm Saturday: 10 am to 6 pm Sunday: Closed"
"https://www.cleosfurniture.com","JONESBORO","1515 South Caraway","Jonesboro","Arkansas","72401","US","<MISSING>","870.934.9100","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 7 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","LITTLE ROCK – WAREHOUSE","3601 West 69th Street","Little Rock","Arkansas","72209","US","<MISSING>","501.569.9444","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 6 pm Saturday: 10 am to 6 pm Sunday: Closed"
"https://www.cleosfurniture.com","PINE BLUFF","2909 Market Street","Pine Bluff","Arkansas","71601","US","<MISSING>","870.535.1555","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 6 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","RUSSELLVILLE","501 North Arkansas Avenue","Russellville","Arkansas","72801","US","<MISSING>","479.890.9333","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 6 pm Saturday: 10 am to 6 pm Sunday: Closed"
"https://www.cleosfurniture.com","SEARCY","3019 East Race Street","Searcy","Arkansas","72143","US","<MISSING>","501.368.0004","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 6 pm Saturday: 10 am to 6 pm Sunday: Closed"
"https://www.cleosfurniture.com","SHERWOOD","7489 Warden Road","Sherwood","Arkansas","72120","US","<MISSING>","501.834.5900","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 7 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","WEST LITTLE ROCK","11121 West Markham","Little Rock","Arkansas","72211","US","<MISSING>","501.217.8900","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 8 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","FAYETTEVILLE","636 Joyce Boulevard","Fayetteville","Arkansas","72703","US","<MISSING>","479.935.4515","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 8 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","FORT SMITH","6412 Highway 71 South","Fort Smith","Arkansas","<MISSING>","US","<MISSING>","479.424.1946","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 7 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","SPRINGDALE","2400 W. Sunset Ave.","Springdale","Arkansas","72762","US","<MISSING>","479.750.3338","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 7 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","HOT SPRINGS","605 Albert Pike","Hot Springs","Arkansas","71913","US","<MISSING>","501.318.3338","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 7 pm Saturday: 10 am to 6 pm Sunday: 12 pm to 5 pm"
"https://www.cleosfurniture.com","TEXARKANA","2750 N. Stateline Ave.","Texarkana","Arkansas","75501","US","<MISSING>","870.774.9997","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>","Monday – Friday: 10 am to 6 pm Saturday: 10 am to 6 pm Sunday: Closed"
