"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.speckspets.com","Avon Speck's Pets","In Harlan Center,  7577 E Highway 36","Avon","IN","46123","US","<MISSING>","(317) 272-7738","<MISSING>","39.7613014","-86.3890046","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","Brownsburg Speck's Pets","Next to Radio Shack,  281 W. Northfield Drive","Brownsburg","IN","46112","US","<MISSING>","(317) 858-5150","<MISSING>","39.8565164","-86.3952373","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","Carmel Speck's Pets","Across From Pearson Ford,  10725 N. Michigan Rd Suite 100","Zionsville","IN","46077","US","<MISSING>","(317) 344-0422","<MISSING>","39.943076","-86.2371254","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","Columbus Speck's Pets","Behind the West Hill shopping center,  3860 Carlos Folger Drive","Columbus","IN","47201","US","<MISSING>","812-565-9100","<MISSING>","39.20045","-85.9659378","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","Fishers Speck's Pets","In Brookschool Plaza,  12664 116th Street","Fishers","IN","46037","US","<MISSING>","(317) 537-0200","<MISSING>","39.958123","-85.938285","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","Geist Speck's Pets","In Marsh Centre - by Marsh & CVS,  11641 Fox Road","Indianapolis","IN","46236","US","<MISSING>","(317) 823-1414","<MISSING>","39.9012744","-85.9601531","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","Greenfield Speck's Pets","Next to Firehouse Subs,  122 E. Mc Clarnon Drive","Greenfield","IN","46140","US","<MISSING>","(317) 467-1414","<MISSING>","39.8071009","-85.7688179","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","
Plainfield Speck's Pets","In Stafford Crossing Shopping Center,  2230 Stafford Rd","Plainfield","IN","46168","US","<MISSING>","(317) 268-5668","<MISSING>","39.6979339","-86.3690484","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","Westfield Speck's Pets","In The Kroger shopping center,  17419 Carey Road","Westfield","IN","46074","US","<MISSING>","(317) 763-2100","<MISSING>","40.0410666","-86.1072987","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
"https://www.speckspets.com","West Southport & Bluff Rd Speck's Pets ","In Buck Creek Shopping Center with Hotcakes Emporium,  6845 Bluff Rd","Indianapolis","IN","46217","US","<MISSING>","317-452-8483","<MISSING>","39.6655458","-86.1807016","Monday thru Saturday - 9am to 9pmSunday - 11am to 6pm","https://www.speckspets.com/Our-Locations_ep_50-1.html"
