"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.starbuds.us","ALTUS","1100 Falcon Rd - Suite 104","Altus","OK","73521","US","<MISSING>","(580) 379-0487","<MISSING>","<MISSING>","<MISSING>","MON-THU 10AM-10PM FRI-SAT 10AM-11PM SUNDAY 10AM-8PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","BRICKTOWN","224 E Main Street","Oklahoma City","OK","73104","US","<MISSING>","(405) 225-1433","<MISSING>","<MISSING>","<MISSING>","MON-THU 10AM-10PM FRI-SAT 10AM-10PM SUNDAY 10AM-8PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","DU","1640 E Evans Ave","Denver","CO","80210","US","<MISSING>","(303) 975-6485","<MISSING>","<MISSING>","<MISSING>","MON-THU 8AM-9:50PM FRI-SAT 8AM-9:50PM SUNDAY 8AM-9:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","LAKESIDE","5238 W 44th Ave","Denver","CO","80212","US","<MISSING>","(720) 535-6893","<MISSING>","<MISSING>","<MISSING>","MON-THU 9AM-12AM FRI-SAT 9AM-12AM SUNDAY 9AM-12AM","https://www.starbuds.us/locations"
"https://www.starbuds.us","LOUISVILLE","1156 W Dillon Rd","Louisville","CO","80027","US","<MISSING>","(720) 389-6313","<MISSING>","<MISSING>","<MISSING>","MON-THU 9AM-9:50PM FRI-SAT 9AM-9:50PM SUNDAY 9AM-7:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","NORTHWEST DENVER","1451 Cortez St","Denver","CO","80221","US","<MISSING>","(303) 429-9196","<MISSING>","<MISSING>","<MISSING>","MON-THU 9AM-8:50PM FRI-SAT 9AM-8:50PM SUNDAY 9AM-8:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","SOUTHEAST AURORA","14655 E. Arapahoe Rd","Aurora","CO","80016","US","<MISSING>","(303) 699-1222","<MISSING>","<MISSING>","<MISSING>","MON-THU 8AM-9:50PM FRI-SAT 8AM-9:50PM SUNDAY 8AM-9:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","AURORA","1408 Del Mar Pkwy - Unit D","Aurora","CO","80010","US","<MISSING>","(720) 949-1389","<MISSING>","<MISSING>","<MISSING>","MON-THU 8AM-9:50PM FRI-SAT 8AM-9:50PM SUNDAY 8AM-9:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","CHICKASHA","718 S 4th St","Chickasha","OK","73018","US","<MISSING>","(405) 825-3424","<MISSING>","<MISSING>","<MISSING>","MON-THU 10AM-10PM FRI-SAT 10AM-10PM SUNDAY 10AM-8PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","FEDERAL HEIGHTS","9000 N. Federal Blvd","Westminster","CO","80260","US","<MISSING>","(303) 353-9993","<MISSING>","<MISSING>","<MISSING>","MON-THU 8AM-11:50PM FRI-SAT 8AM-11:50PM SUNDAY 8AM-11:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","LAWTON","2629 NW Cache Rd - Suite 3","Lawton","OK","73505","US","<MISSING>","(580) 699-2833","<MISSING>","<MISSING>","<MISSING>","MON-THU 10AM-10PM FRI-SAT 10AM-10PM SUNDAY 10AM-5PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","NIWOT","6924 N 79th St","Niwot","CO","80503","US","<MISSING>","(720) 340-4548","<MISSING>","<MISSING>","<MISSING>","MON-THU 10AM-6:50PM FRI-SAT 10AM-6:50PM SUNDAY 10AM-6:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","PUEBLO","4305 Thatcher Ave","Pueblo","CO","81005","US","<MISSING>","(719) 696-8279","<MISSING>","<MISSING>","<MISSING>","MON-THU 9AM-10:50PM FRI-SAT 9AM-10:50PM SUNDAY 9AM-8:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","BALTIMORE","5975 Belair Rd","Baltimore","MD","21206","US","<MISSING>","(443) 438-7494","<MISSING>","<MISSING>","<MISSING>","MON-THU 9AM-9PM FRI-SAT 9AM-9PM SUNDAY 9AM-9PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","COMMERCE CITY","5844 Dahlia St","Commerce City","CO","80022","US","<MISSING>","(303) 999-0401","<MISSING>","<MISSING>","<MISSING>","MON-THU 8AM-9:50PM FRI-SAT 8AM-9:50PM SUNDAY 8AM-9:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","LAKE HEFNER","3641 NW 63rd St","Oklahoma City","OK","73116","US","<MISSING>","(405) 242-6410","<MISSING>","<MISSING>","<MISSING>","MON-THU 10AM-10PM FRI-SAT 10AM-11PM SUNDAY 10AM-6PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","LONGMONT","7521 Ute Hwy #66","Longmont","CO","80503","US","<MISSING>","(303) 651-0709","<MISSING>","<MISSING>","<MISSING>","MON-THU 9AM-6:50PM FRI-SAT 9AM-6:50PM SUNDAY 9AM-6:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","NORTH DENVER","4690 Brighton Blvd","Denver","CO","80216","US","<MISSING>","(720) 387-8952","<MISSING>","<MISSING>","<MISSING>","MON-THU 8AM-9:50PM FRI-SAT 8AM-9:50PM SUNDAY 8AM-9:50PM","https://www.starbuds.us/locations"
"https://www.starbuds.us","PUEBLO WEST","428 S McCulloch Blvd","Pueblo West","CO","81007","US","<MISSING>","(303) 429-9196","<MISSING>","<MISSING>","<MISSING>","MON-THU 9AM-10:50PM FRI-SAT 9AM-10:50PM SUNDAY 9AM-8:50PM","https://www.starbuds.us/locations"
