"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://stevibs.com","Stevi B’s Fort Payne","2200 Gault Avenue North","Fort Payne","AL","35967","US","<MISSING>","256-979-1234","<MISSING>","34.463867","-85.702957"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Fort%20Payne"
"https://stevibs.com","Stevi B’s Gadsden","407 George Wallace Dr","Gadsden","AL","35903","US","<MISSING>","256-543-8295","<MISSING>","34.005009","-85.997505"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Gadsden"
"https://stevibs.com","Stevi B’s Madison","510 Promenade Point Pkwy","Madison","AL","35758","US","<MISSING>","256-325-9009","<MISSING>","34.749191","-86.774765"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Madison"
"https://stevibs.com","Stevi B’s Ocala","3101 SW 34th Ave","Ocala","FL","34474","US","<MISSING>","352-390-8181","<MISSING>","29.15612","-82.176659"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Ocala"
"https://stevibs.com","Stevi B’s Canton","1554 Riverstone Pkwy #100","Canton","GA","30114","US","<MISSING>","770-345-5881","<MISSING>","34.257755","-84.464249"," Open Daily 11am - 9pm","https://stevibs.com/locations-single/?q=Canton"
"https://stevibs.com","Stevi B’s Covington","3104 Highway 278 NW","Covington","GA","30014","US","<MISSING>","770-788-7918","<MISSING>","33.60268","-83.847908"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Covington"
"https://stevibs.com","Stevi B's Douglasville","7003 N. Concourse Parkway","Douglasville","GA","30134","US","<MISSING>","(678) 229-5400","<MISSING>","33.73299","-84.758865"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Douglasville"
"https://stevibs.com","Stevi B's Duluth","1500 Pleasant Hill Rd","Duluth","GA","30096","US","<MISSING>","770-935-0735","<MISSING>","33.942524","-84.121361"," Sun-Thurs: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Duluth"
"https://stevibs.com","Stevi B’s Gainesville","1500 Browns Bridge Rd.","Gainesville","GA","30501","US","<MISSING>","678-707-7070","<MISSING>","34.2870926","-83.84382169999998"," Sun-Fri: 11am - 9pm  Fri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Gainesville"
"https://stevibs.com","Stevi B’s Hiram","4215 Jimmy Lee Smith Pkwy","Hiram","GA","30141","US","<MISSING>","770-222-0889","<MISSING>","33.893894","-84.756615"," Open Daily 11am-9pm","https://stevibs.com/locations-single/?q=Hiram"
"https://stevibs.com","Stevi B's Fayetteville","107 Banks Station","Fayetteville","GA","30214","US","<MISSING>","(770) 460-1277","<MISSING>","33.465942","-84.446152"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Fayetteville"
"https://stevibs.com","Stevi B’s Macon","175 Tom Hill Sr Blvd","Macon","GA","31210","US","<MISSING>","478-474-3831","<MISSING>","32.89782","-83.686981"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Macon"
"https://stevibs.com","Stevi B’s Snellville","1977 Scenic Hwy S","Snellville","GA","30078","US","<MISSING>","770-985-3830","<MISSING>","33.871384","-84.01622"," Sun-Fri: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Snellville"
"https://stevibs.com","Stevi B’s Stockbridge","3570 GA-138","Stockbridge","GA","30281","US","<MISSING>","678-545-0836","<MISSING>","33.550209","-84.273743"," Sun-Thurs: 11am - 9pmFri-Sat: 11am - 10pm","https://stevibs.com/locations-single/?q=Stockbridge"
"https://stevibs.com","Stevi B’s Warner Robins","2907 Watson Blvd","Warner Robins","GA","31093","US","<MISSING>","478-333-5607","<MISSING>","32.616398","-83.683899"," Open Daily 11am - 9pm","https://stevibs.com/locations-single/?q=Warner%20Robins"
"https://stevibs.com","Stevi B’s Woodstock","10020 GA-92","Woodstock","GA","30188","US","<MISSING>","770-591-0010","<MISSING>","34.085041","-84.521133"," Open Daily 11am-9pm","https://stevibs.com/locations-single/?q=Woodstock"
"https://stevibs.com","Stevi B’s Findlay","7535 Patriot Dr.","Findlay","OH","45840","US","<MISSING>","419-427-9999","<MISSING>","41.057678","-83.589684"," Sun-Fri: 11am - 8:30pmFri-Sat: 11am - 9:30pm","https://stevibs.com/locations-single/?q=Findlay"
"https://stevibs.com","Stevi B’s Mechanicsville","9158 Atlee Rd","Mechanicsville","VA","23116","US","<MISSING>","804-723-5035","<MISSING>","37.650055","-77.398323"," 11am - 9pm Daily","https://stevibs.com/locations-single/?q=Mechanicsville"
