"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://studiobarre.com","Bird Rock","5705 La Jolla Blvd La Jolla","Bird Rock","CA","92037","US","<MISSING>","858.459.1900","<MISSING>","<MISSING>","<MISSING>","Monday 6:00 am - 8:00 pm Tuesday 6:00 am - 6:30 pm Wednesday 6:00 am - 8:00 pm Thursday 6:00 am - 8:00 pm Friday 6:00 am - 7:00 pm Sat & Sun 7:00 am - 5:30 pm","https://birdrock.studiobarre.com/"
"https://studiobarre.com","Carmel Valley","7845 Highland Village Place Suite C-103 San Diego","Carmel Valley","CA","92129","US","<MISSING>","858.365.7169","<MISSING>","<MISSING>","<MISSING>","Monday 8:00 am - 1:30 pm  4:00 pm - 7:30 pm Tuesday 6:00 am - 1:00 pm  4:00 pm - 7:30 pm Wednesday 6:00 am - 1:00 pm  4:00 pm - 7:30 pm Thursday 6:00 am - 1:00 pm  4:00 pm - 7:30 pm Friday 8:00 am - 1:30 pm  4:00 pm - 7:00 pm Saturday 7:00 am - 12:00 pm Sunday 8:00 am - 11:00 am  4:00 pm - 5:30 pm","https://carmelvalley.studiobarre.com/"
"https://studiobarre.com","Encinitas","208 N El Camino Real  Suite C","Encinitas","CA","92024","US","<MISSING>","760.633.2243","<MISSING>","<MISSING>","<MISSING>","Monday 5:45 am - 1:00 pm  3:45 pm - 7:30 pm Tuesday 5:45 am - 1:00 pm  3:00 pm - 7:30 pm Wednesday 5:45 am - 1:00 pm  3:45 pm - 7:30 pm Thursday 5:45 am - 1:00 pm  3:00 pm - 7:30 pm Friday 5:45 am - 1:00 pm  3:45 pm - 6:30 pm Sat & Sun 7:00 am - 12:00 pm 4:15 pm - 5:30 pm","https://encinitas.studiobarre.com/"
"https://studiobarre.com","Mission Hills","321 W Washington Street San Diego","Mission Hills","CA","92103","US","<MISSING>","619.821.2840","<MISSING>","<MISSING>","<MISSING>","Monday 5:45 am - 8:00 pm Tuesday 5:45 am - 8:00 pm Wednesday 5:45 am - 8:00 pm Thursday 5:45 am - 8:00 pm Friday 5:45 am - 8:00 pm Sat & Sun 7:00 am - 12:00 pm  4:15 pm - 5:15 pm","https://missionhills.studiobarre.com/"
"https://studiobarre.com","Newbury Park","2325 Borchard Road","Newbury Park","CA","91320","US","<MISSING>","805-375-4370","<MISSING>","<MISSING>","<MISSING>","Monday 5:45 am - 7:00 am (door locked during early am class)  8:00 am - 2:00 pm 3:45 pm - 8:00 pm Tuesday 5:45 am - 7:00 am (door locked during early am class)  8:00 am - 2:00 pm 3:45 pm - 8:00 pm Wednesday 5:45 am - 7:00 am (door locked during early am class)  8:00 am - 2:00 pm 3:45 pm - 8:00 pm Thursday 5:45 am - 7:00 am (door locked during early am class)  8:00 am - 2:00 pm 3:45 pm - 8:00 pm","https://newburypark.studiobarre.com/"
"https://studiobarre.com","San Juan Capistrano","31878 Del Obispo St. Suite 108","San Juan Capistrano","CA","92675","US","<MISSING>","(949)218-1668","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://sanjuancapistrano.studiobarre.com/"
"https://studiobarre.com","Ventura","2611 E. Thompson Blvd","Ventura","CA","93003","US","<MISSING>","805-889-9633","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://ventura.studiobarre.com/"
"https://studiobarre.com","Highlands Ranch","9245 S. Broadway Unit 600","Highlands Ranch","CO","80129","US","<MISSING>","(720)501-8584","<MISSING>","<MISSING>","<MISSING>","Monday 8:00 am - 8:00 pm Tuesday 8:00 am - 8:00 pm Wednesday 8:00 am - 8:00 pm Thursday 8:00 am - 8:00 pm Friday 8:00 am - 7:00 pm Sat & Sun 7:00 am - 11:00 pm","https://highlandsranch.studiobarre.com/"
"https://studiobarre.com","Crown Point","1275 E North Street","Crown Point","IN","46307","US","<MISSING>","219.226.4916","<MISSING>","<MISSING>","<MISSING>","Monday 8:00am - 12:00pm 4:00pm - 8:00pm Tuesday 8:00am - 12:00pm 4:00pm - 8:00pm Wednesday 8:00am - 12:00pm 4:00pm - 8:00pm Thursday 8:00am - 12:00pm 4:00pm - 8:00pm Friday 8:00am - 12:00pm 4:00pm - 8:00pm Sat & Sun 7:00am - 11:00am","https://crownpoint.studiobarre.com/"
"https://studiobarre.com","St. John","7950 US 41","St. John","IN","46373","US","<MISSING>","219-627-4620","<MISSING>","<MISSING>","<MISSING>","Monday 8:00 am - 8:00 pm Tuesday 8:00 am - 8:00 pm Wednesday 8:00 am - 8:00 pm Thursday 8:00 am - 8:00 pm Friday 8:00 am - 7:00 pm Sat & Sun 7:00 am - 11:00 pm","https://stjohn.studiobarre.com/"
