"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://sunrisedental.com","Sunrise Dental of Arlington","3131 Smokey Point Drive Suite 14 A ","Arlington"," WA ","98223","US","155","360-282-0803","<MISSING>","48.155278","-122.187665","Hours: Monday – Friday and 2 Saturdays a month : 9:00am – 6:00pm Services Offered: General ...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Auburn","1030 Outlet Collection Way ","Auburn"," WA ","98001","US","156","253-220-4104","<MISSING>","47.298535","-122.243744","Hours: Tuesday: 9:00am – 5:00pm Thursday: 9:00am – 5:00pm Friday: 9:00am – 5:00pm Saturday: 9:00a...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Beaverton","14425 SW Allen Blvd ","Beaverton"," OR ","97005","US","193","(503) 914-4003","<MISSING>","45.476816","-122.8252","<MISSING>","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Bellevue","1200 112th Avenue NE Suite C-222 ","Bellevue"," WA ","98004","US","157","425-201-0600","<MISSING>","47.621841","-122.190562","Hours: Tuesday – Friday: 8:00am – 6:00pm Saturday: 9:00am – 5:00pm Services Offered: General Dent...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Bellingham","3800 Byron Avenue Ste. 100 ","Bellingham"," WA ","98229","US","213","360-840-4579","<MISSING>","48.733421","-122.466078","<MISSING>","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Bonney Lake","20071 State Route 410 E ","Bonney Lake"," WA ","98391","US","159","253-220-4105","<MISSING>","47.168428","-122.161178","Hours: Tuesday: 9:00am – 6:00pm Wednesday: 9:00am – 6:00pm Friday: 9:00am – 6:00pm Saturday: 8:30...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Bothell/Mill Creek","18204 Bothell Everett Hwy Suite E ","Bothell"," WA ","98012","US","160","425-201-1703","<MISSING>","47.833132","-122.210366","Hours: Monday – Thursday: 9:00am – 6:00pm Friday (every other): 9:00am – 5:00pm Services Offered:...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Carnation","4466 Tolt Avenue ","Carnation"," WA ","98014","US","161","425-201-1934","<MISSING>","47.646555","-121.915082","Hours: Tuesday: 9:00am – 7:00pm Wednesday: 8:00am – 4:30pm Thursday (1st & 3rd Thurs. of ever...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Chehalis","118 N Market Blvd","Chehalis"," WA ","98532","US","194","(360) 639-3377","<MISSING>","46.66276","-122.965082","<MISSING>","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Clackamas","13908 SE Stark Space B ","Portland"," OR ","97233","US","200","503-914-4005","<MISSING>","45.518421","-122.520453","This location is no longer affiliated with Sunrise Dental Please contact: Sunrise Dental of Gresh...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Covington","17327 SE 270th Pl Ste B113 Covington","Covington"," WA ","98042","US","219","(253) 275-4217","<MISSING>","47.358986","-122.11002","<MISSING>","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Ellensburg","601 N. Main St. #2 ","Ellensburg"," WA ","98926","US","185","(509) 361-5500","<MISSING>","46.997886","-120.549149","Hours: Monday: 9:00am – 7:00pm Wednesday: 10:00am – 6:00pm Thursday: 7:00am – 4:00pm Sunday: 8:00...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Eugene","927 Country Club Rd #100 ","Eugene"," OR ","97401","US","202","(541) 622-0602","<MISSING>","44.065717","-123.095867","Hours: Monday Closed Tuesday 9 to 7 pm Wednesday 9 to 7 pm Thursday 9 to 7 pm Friday 9...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Everett","111 SE Everett Mall Way Suite B-100 ","Everett"," WA ","98208","US","162","425-201-4343","<MISSING>","47.907778","-122.231178","Hours: Monday – Thursday: 9:00am – 6:00pm Friday: 9:00am – 4:00pm Services Offered: General Denti...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Federal Way","33600 6th Ave S ","Federal Way"," WA ","98003","US","163","253-220-4106","<MISSING>","47.299894","-122.324995","Hours: Monday (every other): 9:30am – 6:00pm Tuesday – Thursday: 9:00am – 6:00pm Friday: 9:30am –...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Gig Harbor","7116 Stinson Ave #B315 ","Gig Harbor"," WA ","98335","US","205","253-266-8377","<MISSING>","47.32334","-122.589941","Hours: Monday: Closed Tuesday: Closed Wednesday: 9:00 am – 6:00 pm Thursday : 9:00 am ...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Gresham","13908 SE Stark Space B ","Portland"," OR ","97233","US","195","(503) 914-4005","<MISSING>","45.518421","-122.520453","Hours: Monday: 8am – 5:30pm Tuesday: 8am – 5:30pm Wednesday: 8am – 5:30pm Thurs...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Hillsboro","527 SE Baseline st Suite #C ","Hillsboro"," OR ","97123","US","203","(503) 719-6452","<MISSING>","45.520442","-122.981915","Hours: Monday : 8:00am – 6:00pm Thursday : 8:00am – 5:00pm Friday : 8:00am – 5:00pm","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Issaquah","5006 East Lake Sammamish Parkway Southeast Issaquah","Issaquah","WA","<MISSING>","US","164","425-201-4411","<MISSING>","47.556764","-122.045799","Hours: Sunday – Wednesday: 9:00am – 6:00pm Thursday: 7:30am – 4:00pm Services Offered: General De...","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Kennewick","8045 W. Grandridge Blvd. #B ","Kennewick"," WA ","99336","US","186","509-361-5511","<MISSING>","46.217843","-119.229069","Hours: Monday – Saturday: 9:00am – 6:00pm","https://sunrisedental.com/directory/locations/all-locations?p=1"
"https://sunrisedental.com","Sunrise Dental of Kent","10216 SE 256th Street Suite 108 ","Kent"," WA ","98030","US","165","253-220-4107","<MISSING>","47.373175","-122.204012","Hours: Monday (every other): 9:00am – 6:00pm Tuesday – Wednesday: 9:00am – 7:00pm Thursday: 9:00a...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Lakewood","6006 100th Street SW ","Lakewood"," WA ","98499","US","166","(253) 220-4108","<MISSING>","47.166332","-122.517386","Hours: Monday: Closed Tuesday: Closed Wednesday: 8:00am – 6:00pm Thursday: 8:00am – 5:00pm Friday...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Longview","934 12th Avenue ","Longview"," WA ","98632","US","196","(360) 639-3388","<MISSING>","46.130695","-122.935145","<MISSING>","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Lynnwood","3505 188th Street SW ","Lynnwood"," WA ","98037","US","167","425-201-4422","<MISSING>","47.828397","-122.280797","Hours: Monday – Thursday: 8:00am – 6:00pm Services Offered: General Dentistry Services Endodontic...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Maple Valley","22035 SE Wax Road Suite 5 ","Maple Valley"," WA ","98038","US","168","(425) 201-4433","<MISSING>","47.392233","-122.046705","Hours: Tuesday – Friday: 9:00am – 6:00pm Saturday: 8:00am – 4:00pm Services Offered: General Dent...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Marysville","1603 Grove Street ","Marysville"," WA ","98270","US","169","360-488-4400","<MISSING>","48.061687","-122.174776","Hours: Monday – Friday: 9:00am – 6:00pm Services Offered: General Dentistry Services Dentures End...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Milwaukie","18807 SE McLoughlin Blvd","Portland"," OR ","97267","US","204","(503)821-0089","<MISSING>","45.399132","-122.618751","Hours: Tuesday-Friday 8 to 5 Saturday 8 to 3 Services Offered: General Dentistry Services Dental ...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Monroe","267 East Main Street Unit 201 ","Monroe"," WA ","98272","US","170","360-639-3300","<MISSING>","47.856581","-121.968188","Hours: Monday – Friday: 9:00am – 6:00pm 2 Saturday a month (call): 9:00am – 3:00pm Services Offer...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental Of Moses Lake","417 E Broadway Ave #103 ","Moses Lake"," WA ","98837","US","201","(509) 361-5522","<MISSING>","47.133306","-119.274414","Hours: Mon through Friday: 7am to 7pm","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Mount Vernon","1930 E. College Way Ste. B ","Mount Vernon"," WA ","98273","US","212","360-840-3079","<MISSING>","48.43527","-122.31615","Hours: Monday – Thursday: 8:00am – 7:00pm Friday: 8:00am – 2:00pm Saturday: by appointment","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of North Bend","404 Main Avenue South ","North Bend"," WA ","98045","US","211","425-669-9015","<MISSING>","47.491841","-121.788226","In case of emergency call 911 and patients of record are able to text the Doctor after hours at 4...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Olympia","3250 14th Avenue NW ","Olympia"," WA ","98502","US","172","360-639-3322","<MISSING>","47.057716","-122.94233","Hours: Monday – Thursday: 9:00am – 6:00pm Alternate Friday & Saturday (call) Services Offered...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Pasco","624 N. 12th Avenue ","Pasco"," WA ","99301","US","187","509-361-5533","<MISSING>","46.233798","-119.105649","Hours: Monday: 9:00am – 6:00pm Friday: 9:00am – 6:00pm Saturday: 9:00am – 6:00pm","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Poulsbo","19351 8th Avenue NE Suite 211 ","Poulsbo"," WA ","98370","US","173","360-639-3344","<MISSING>","47.738367","-122.639942","Hours: Monday – Wednesday: 9:00 am – 6:00 pm Thursday: Closed Friday: 9:00 am R...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Puyallup","13333 Meridian E Suite E ","Puyallup"," WA ","98373","US","174","253-220-4109","<MISSING>","47.134992","-122.292199","Hours: Monday 10 am – 4 pm Tuesday 9 am – 5 pm Wednesday 9 am – 5 pm Thursday 9...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Redmond","8309 165th Avenue NE Ste. 101 ","Redmond"," WA ","98052","US","175","(425) 249-3415","<MISSING>","47.676855","-122.120735","Hours: Monday: 9:00am – 6:00pm Wednesday: 9:00am – 6:00pm Thursday: 9:00am – 6:00pm Friday: 9:00a...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Renton","3218 NE 12th Street Suite B ","Renton"," WA ","98056","US","176","425-249-3416","<MISSING>","47.503363","-122.176297","Hours: Monday – Tuesday: 9:00am – 6:00pm Wednesday: 10:00am – 7:00pm Thursday: 9:00am – 6:00pm Fr...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Richland","660 Swift Blvd. Suite C ","Richland"," WA ","99352","US","214","509-361-5555","<MISSING>","46.280852","-119.276416","<MISSING>","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Salem","436 Lancaster Drive NE ","Salem"," OR ","97301","US","197","(503) 914-4007","<MISSING>","44.934404","-122.983126","Hours: Friday: 7:00am – 6:00pm Saturday: 7:00am – 4:00pm","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of SeaTac/Seattle","12610 Des Moines Memorial Drive Suite 208 ","Seattle"," WA ","98168","US","177","206-432-4706","<MISSING>","47.489974","-122.310242","Hours: Tuesday – Thursday: 9:00am – 6:00pm Friday (1st & 3rd Fri. of the month): 9:00am – 6:0...","https://sunrisedental.com/directory/locations/all-locations?p=2"
"https://sunrisedental.com","Sunrise Dental of Seattle/Ballard","1453 NW 54TH ST Suite A SEATTLE","SEATTLE"," WA ","98107","US","188","(206) 535-7464","<MISSING>","47.667719","-122.375193","Hours: Monday: 8:30-5:30 Tuesday: 8:30-5:30 Wednesday: Closed Thursday: 8:30-5:30 Friday: 8:30-5:...","https://sunrisedental.com/directory/locations/all-locations?p=3"
"https://sunrisedental.com","Sunrise Dental of Seattle/Downtown","509 Olive Way Suite 1122","Seattle"," WA ","98101","US","178","206-432-4707","<MISSING>","47.612827","-122.336701","Hours: Monday: 9:00am – 5:00pm Tuesday: 9:00am – 5:00pm Friday: 9:00am – 5:00pm Services Offered:...","https://sunrisedental.com/directory/locations/all-locations?p=3"
"https://sunrisedental.com","Sunrise Dental of Sequim","1258 W. Washington Street ","Sequim"," WA ","98382","US","179","360-639-3355","<MISSING>","48.077797","-123.133154","Hours: Tuesday (every other): 9:00am – 6:00pm Wednesday – Thursday: 9:00am – 6:00pm Friday: 8:00a...","https://sunrisedental.com/directory/locations/all-locations?p=3"
"https://sunrisedental.com","Sunrise Dental of Shoreline","721 North 182nd Street Suite 301 Shoreline","Shoreline"," WA ","98133","US","180","206-432-4708","<MISSING>","47.760631","-122.350004","Hours: Monday: 9:00am – 5:00pm Tuesday: 8:00am – 5:00pm Wednesday: 8:00am – 5:00pm Thursday: 9:00...","https://sunrisedental.com/directory/locations/all-locations?p=3"
"https://sunrisedental.com","Sunrise Dental of Silverdale","9995 Silverdale Way NW Suite 131 ","Silverdale"," WA ","98383","US","181","(360) 639-3366","<MISSING>","47.653903","-122.691484","  Mon-Tue: 11:00 am-7:00 pm Wed: 11:00 am-5:00 pm Thu-Fri: 11:00 am-7:00 pm S...","https://sunrisedental.com/directory/locations/all-locations?p=3"
"https://sunrisedental.com","Sunrise Dental of Snohomish","2709 Bickford Avenue Suite A ","Snohomish"," WA ","98290","US","182","425-577-6755","<MISSING>","47.941033","-122.107843","Hours: Sunday: Closed Monday: Closed Tuesday: 9am – 5pm Wednesday: 9am – 5pm Thursday...","https://sunrisedental.com/directory/locations/all-locations?p=3"
"https://sunrisedental.com","Sunrise Dental of Spokane (North)","7307 N. Division Street Suite 102 ","Spokane"," WA ","99208","US","189","509-361-5566","<MISSING>","47.724452","-117.412125","Hours: Tuesday: 9:00 am – 5:00 pm Wednesday: 9:00 am – 5:00 pm Thursday: 9:00 am R...","https://sunrisedental.com/directory/locations/all-locations?p=3"
"https://sunrisedental.com","Sunrise Dental of Spokane Valley","15701 E. Sprague Avenue Suite F Spokane Valley","Valley"," WA ","99037","US","190","509-361-5577","<MISSING>","47.658155","-117.19337","Hours: Monday: 9am-5pm Tuesday: 10am-6pm Wednesday-Thursday: 9am-5pm Friday: 8am-3pm Saturday &am...","https://sunrisedental.com/directory/locations/all-locations?p=3"
"https://sunrisedental.com","Sunrise Dental of Tacoma","1530 South Union Avenue Suite 7 ","Tacoma"," WA ","98405","US","183","253-220-4110","<MISSING>","47.245908","-122.48393","Hours: Monday – Friday: 8:00am – 4:30pm Saturday: 8:00am – 3:00pm Services Offered: General Denti...","https://sunrisedental.com/directory/locations/all-locations?p=3"
