"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://thebarbersonline.com","Portland Airport","7000 NE Airport Way","Portland","OR","97218","US","<MISSING>","(503) 284-4452","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 8AM-6PMSat: 9AM-4PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/portland-airport/"
"https://thebarbersonline.com","Happy Valley","17015 SE Sunnyside Rd #118 ","Happy Valley","OR","97086","US","<MISSING>","503-427-2451","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/happy-valley/"
"https://thebarbersonline.com","Wilsonville","29955 SW Boones Ferry Road","Wilsonville","OR","97070","US","<MISSING>","(503) 570-9300","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/wilsonville/"
"https://thebarbersonline.com","Sellwood","8112 SE 13th Ave","Portland","OR","97202","US","<MISSING>","(503) 206-6791","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/sellwood/"
"https://thebarbersonline.com","Hollywood","5110 NE Sandy Boulevard","Portland","OR","97213","US","<MISSING>","(503) 288-6275","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/hollywood/"
"https://thebarbersonline.com","Clackamas","12006 SE Sunnyside Road","Clackamas","OR","97015","US","<MISSING>","(503) 698-9600","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/clackamas/"
"https://thebarbersonline.com","Oregon City","1416 Molalla Ave","Oregon City","OR","97045","US","<MISSING>","(503) 342-6630","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/oregon-city/"
"https://thebarbersonline.com","Gresham","2245 NE Burnside Rd","Gresham","OR","97030","US","<MISSING>","(503) 328-9420","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/gresham/"
"https://thebarbersonline.com","NW 23rd","1735 NW 23rd Ave","Portland","OR","97210","US","<MISSING>","(503) 477-7135","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/nw-portland/"
"https://thebarbersonline.com","Sherwood","20649 SE Roy Rogers Rd   ","Sherwood","OR","97140","US","<MISSING>","(503) 610-1299","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/sherwood/"
"https://thebarbersonline.com","Tanasbourne Central","1891 NW 188th ","AveHillsboro","OR","97006","US","<MISSING>","(503) 530-8741","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/tanasbourne-central/"
"https://thebarbersonline.com","Milikan Pointe","14645 SW Millikan Way","Beaverton","OR","97006","US","<MISSING>","(503) 747-3824","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/milikan-pointe/"
"https://thebarbersonline.com","Peterkort","10930 SW Barnes RD","Portland","OR","97225","US","<MISSING>","(503) 350-1991","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/peterkort/"
"https://thebarbersonline.com","Tualatin","19281 SW Martinazzi Ave","Tualatin","OR","97062","US","<MISSING>","(503) 486-5592","<MISSING>","<MISSING>","<MISSING>","Monday-Friday: 9AM-8PMSat: 9AM-6PM • Sun: 10AM-5PM","https://thebarbersonline.com/location/tualatin/"
