"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.thebarrecode.com","Tuscaloosa","2700 University Blvd.","Tuscaloosa","AL","35401","US","TUSC","205-523-5096","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://www.thebarrecode.com/studios//tuscaloosa"
"https://www.thebarrecode.com","Newport Beach","2547 Eastbluff Drive","Newport Beach","CA","92660","US","OCNP","949-719-7722","<MISSING>","33.640877010929","-117.87615434856","<MISSING>","https://www.thebarrecode.com/studios//newport-beach"
"https://www.thebarrecode.com","South Bay – Sunnyvale","415 N. Mary Ave., Suite 110","Sunnyvale","CA","94085","US","SBSU","408-721-7936","<MISSING>","37.390079","-122.042109","<MISSING>","https://www.thebarrecode.com/studios//sunnyvale"
"https://www.thebarrecode.com","Denver - Downtown","2252 Larimer St.","Denver","CO","80205","US","DNDT","303-704-4901","<MISSING>","39.755459","-104.989107","<MISSING>","https://www.thebarrecode.com/studios//downtown-denver"
"https://www.thebarrecode.com","Lone Tree","7600 Park Meadows Drive","Lone Tree","CO","80124","US","LNTR","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://www.thebarrecode.com/studios//lone-tree"
"https://www.thebarrecode.com","Miami – Biscayne Corridor","2063 Biscayne Blvd. #C301","Miami","FL","33137","US","BSCO","786-814-8420","<MISSING>","25.79643","-80.18896","<MISSING>","https://www.thebarrecode.com/studios//miami"
"https://www.thebarrecode.com","Alpharetta","2500 Old Milton Parkway, Suite 125","Alpharetta","GA","30009","US","ALPH","770-337-7000","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://www.thebarrecode.com/studios//alpharetta"
"https://www.thebarrecode.com","Arlington Heights","100-102 E. Wing St.","Arlington Heights","IL","60004","US","AHTS","847-749-1158","<MISSING>","42.0838583","-87.9810972","<MISSING>","https://www.thebarrecode.com/studios//arlington-heights"
"https://www.thebarrecode.com","Chicago - Gold Coast","1165 N. Clark St.","Chicago","IL","60610","US","GOLD","312-280-6800","<MISSING>","41.903632","-87.631031","<MISSING>","https://www.thebarrecode.com/studios//gold-coast"
"https://www.thebarrecode.com","Chicago - Lakeview","959 W. Belmont Ave.","Chicago","IL","60657","US","LKVW","872-802-4402","<MISSING>","41.939744","-87.653773","<MISSING>","https://www.thebarrecode.com/studios//lakeview"
"https://www.thebarrecode.com","Indianapolis - Downtown","231 S College Avenue, Suite 300","Indianapolis","IN","46202","US","DIND","317-296-3431","<MISSING>","41.88781","-87.62606","<MISSING>","https://www.thebarrecode.com/studios/studio/michigan-avenue"
"https://www.thebarrecode.com","Indianapolis - Carmel","2168 Glebe St #200","Carmel","IN","46032","US","CRML","317-588-2808","<MISSING>","41.89005","-87.63254","<MISSING>","https://www.thebarrecode.com/studios//river-north"
"https://www.thebarrecode.com","Fishers","10080 E. 121st St., Suite 121","Fishers","IN","46037","US","FSHS","317-915-6010","<MISSING>","42.046135","-87.680291","<MISSING>","https://www.thebarrecode.com/studios//evanston"
"https://www.thebarrecode.com","Louisville - Middletown","12442 Shelbyville Rd.","Louisville","KY","40243","US","LUVL","502-749-2951","<MISSING>","41.84054","-88.01077","<MISSING>","https://www.thebarrecode.com/studios//lombard"
"https://www.thebarrecode.com","New Orleans - Lakeview","787 Harrison Ave.","New Orleans","LA","70124","US","NOLA","504-900-1770","<MISSING>","41.507797","-87.917053","<MISSING>","https://www.thebarrecode.com/studios//new-lenox"
"https://www.thebarrecode.com","Ann Arbor - Downtown (Campus)","500 E. Washington, Suite 1","Ann Arbor","MI","48104","US","A2DT","734-769-6996","<MISSING>","42.241104","-87.945566","<MISSING>","https://www.thebarrecode.com/studios//vernon-hills"
"https://www.thebarrecode.com","Ann Arbor - Ann Arbor North","2793 Plymouth Rd.","Ann Arbor","MI","48105","US","A2NO","734-436-4948","<MISSING>","39.973085","-86.198431","<MISSING>","https://www.thebarrecode.com/studios//downtown-indianapolis"
"https://www.thebarrecode.com","East Lansing","1024 Trowbridge Rd.","East Lansing","MI","48823","US","ELAN","<MISSING>","<MISSING>","39.973085","-86.198431","<MISSING>","https://www.thebarrecode.com/studios//indianapolis-carmel"
"https://www.thebarrecode.com","Charlotte","424 E. 36th Street, Unit D","Charlotte","NC","28205","US","NODA","<MISSING>","<MISSING>","39.965672","-85.988856","<MISSING>","https://www.thebarrecode.com/studios//fishers"
"https://www.thebarrecode.com","Omaha - Dundee","5002 Dodge St.","Omaha","NE","68132","US","DNDE","402-884-1667","<MISSING>","38.244661","-85.524289","<MISSING>","https://www.thebarrecode.com/studios//middletown"
"https://www.thebarrecode.com","West Omaha","16811 Burke St.","Omaha","NE","68118","US","WEOM","402-289-2200","<MISSING>","30.004814","-90.105958","<MISSING>","https://www.thebarrecode.com/studios//lakeview-nola"
"https://www.thebarrecode.com","Cincinnati","615 Main St.","Cincinnati","OH","45202","US","CINC","513-345-7163","<MISSING>","42.27992","-83.742663","<MISSING>","https://www.thebarrecode.com/studios//ann-arbor-downtown"
"https://www.thebarrecode.com","Pittsburgh - North Hills","741 Providence Blvd.","Pittsburgh","PA","15237","US","PGHN","412-364-4230","<MISSING>","42.302934","-83.70594","<MISSING>","https://www.thebarrecode.com/studios//ann-arbor-north"
"https://www.thebarrecode.com","Pittsburgh - Shadyside","804 South Aiken Ave.","Pittsburgh","PA","15232","US","PGHS","412-802-8585","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://www.thebarrecode.com/studios//east-lansing"
"https://www.thebarrecode.com","Charleston - Mount Pleasant","1440 Ben Sawyer Blvd., Suite 1500","Mount Pleasant","SC","29464","US","MTPL","843-800-5515","<MISSING>","42.71996","-84.49769","<MISSING>","https://www.thebarrecode.com/studios//heritage-hill"
"https://www.thebarrecode.com","Austin - Downtown","400 Nueces Street","Austin","TX","78701","US","DTAU","<MISSING>","<MISSING>","42.539862","-83.194353","<MISSING>","https://www.thebarrecode.com/studios//birmingham"
"https://www.thebarrecode.com","Austin - South Lamar","2300 S. Lamar Blvd.","Austin","TX","78704","US","SOLA","512-852-9120","<MISSING>","42.683185","-83.151297","<MISSING>","https://www.thebarrecode.com/studios//rochester-hills"
"https://www.thebarrecode.com","Dallas - Design District","1430 Dragon St., Suite 25","Dallas","TX","75207","US","BIGD","972-803-5144","<MISSING>","42.48334","-83.14337","<MISSING>","https://www.thebarrecode.com/studios//royal-oak"
"https://www.thebarrecode.com","Dallas - Highland Park","5757 West Lovers Ln., Suite 350","Dallas","TX","75209","US","DSHP","214-353-9900","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://www.thebarrecode.com/studios//northville"
"https://www.thebarrecode.com","Plano","4757 W. Park Blvd., Suite 112","Plano","TX","75093","US","PLNO","469-298-0482","<MISSING>","35.24415","-80.80039","<MISSING>","https://www.thebarrecode.com/studios//charlotte"
"https://www.thebarrecode.com","Spokane","11921 N. Division Street","Spokane","WA","99218","US","SPKN","509-316-0493","<MISSING>","41.259992","-95.990547","<MISSING>","https://www.thebarrecode.com/studios//dundee"
"https://www.thebarrecode.com","Tacoma","5719 North 26th St, Suite A","Tacoma","WA","98407","US","TACO","<MISSING>","<MISSING>","41.259992","-95.990547","<MISSING>","https://www.thebarrecode.com/studios//west-omaha"
"https://www.thebarrecode.com","Brookfield","18000 W. Bluemound Rd.","Brookfield","WI","53045","US","BKFD","262-505-5584","<MISSING>","39.103351","-84.510328","<MISSING>","https://www.thebarrecode.com/studios//cincinnati"
"https://www.thebarrecode.com","Madison - Downtown","316 W. Washington Ave., Suite 125","Madison","WI","53703","US","DMSN","608-467-9708","<MISSING>","40.450786","-79.935994","<MISSING>","https://www.thebarrecode.com/studios//pittsburgh-north-hills"
"https://www.thebarrecode.com","Madison - West","5102 Silvertree Run","Madison","WI","53705","US","WMSN","<MISSING>","<MISSING>","40.450786","-79.935994","<MISSING>","https://www.thebarrecode.com/studios//pittsburgh-shadyside"
"https://www.thebarrecode.com","Milwaukee - Third Ward","225 N. Water St.","Milwaukee","WI","53202","US","TDWA","414-763-1314","<MISSING>","32.792035","-79.85348","<MISSING>","https://www.thebarrecode.com/studios//mount-pleasant"
"https://www.thebarrecode.com","Chicago - Michigan Ave.","324 N. Michigan Ave.","Chicago","IL","60601","US","MICH","312-621-8770","<MISSING>","30.268138","-97.749267","<MISSING>","https://www.thebarrecode.com/studios//downtown-austin"
"https://www.thebarrecode.com","Chicago - River North","435 N. LaSalle Blvd.","Chicago","Illinois","60564","US","RINO","312-595-1600","<MISSING>","30.24786","-97.774639","<MISSING>","https://www.thebarrecode.com/studios//austin"
"https://www.thebarrecode.com","Evanston","604 Davis St.","Evanston","IL","60201","US","EVAN","224-714-2157","<MISSING>","32.791423","-96.818893","<MISSING>","https://www.thebarrecode.com/studios//dallas-design-district"
"https://www.thebarrecode.com","Lombard","228A Yorktown Center","Lombard","IL","60148","US","LOMB","630-785-3299","<MISSING>","32.851473","-96.81383","<MISSING>","https://www.thebarrecode.com/studios//dallas-highland-park"
"https://www.thebarrecode.com","New Lenox","2544 E. Lincoln Highway","New Lenox","IL","60451","US","NLNX","<MISSING>","<MISSING>","33.02706","-96.78991","<MISSING>","https://www.thebarrecode.com/studios//plano"
"https://www.thebarrecode.com","Vernon Hills","850 N Milwaukee Ave., Suite 200","Vernon Hills","IL","60061","US","VNHL","224-424-4398","<MISSING>","47.765322","-117.40643","<MISSING>","https://www.thebarrecode.com/studios//spokane"
"https://www.thebarrecode.com","Grand Rapids - Heritage Hill","547 Cherry St. SE","Grand Rapids","MI","49503","US","GRHH","<MISSING>","<MISSING>","47.271602","-122.51393","<MISSING>","https://www.thebarrecode.com/studios//tacoma"
"https://www.thebarrecode.com","Metro Detroit - Birmingham","2010 Cole Street","Birmingham","MI","48009","US","BHAM","248-220-4062","<MISSING>","43.037339","-88.137688","<MISSING>","https://www.thebarrecode.com/studios//brookfield"
"https://www.thebarrecode.com","Metro Detroit - Rochester Hills","1260 Walton Blvd.","Rochester Hills","MI","48307","US","ROCH","248-923-2392","<MISSING>","43.072849","-89.38812","<MISSING>","https://www.thebarrecode.com/studios//madison"
"https://www.thebarrecode.com","Metro Detroit - Royal Oak","855 S. Main St.","Royal Oak","MI","48067","US","ROAK","248-565-8372","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://www.thebarrecode.com/studios//west-madison"
"https://www.thebarrecode.com","Metro Detroit - Northville","20530 Haggerty Road","Northville","MI","48167","US","NVIL","<MISSING>","<MISSING>","43.033203","-87.909601","<MISSING>","https://www.thebarrecode.com/studios//milwaukee-third-ward"
