"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.tillys.com","Quail Springs Marketplace","2240 W. Memorial Road","Oklahoma City","OK","73134","US","0172","405-486-7387","<MISSING>","35.609","-97.552","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 12:00pm - 6:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","Queen Creek","21536 South Ellsworth Loop Rd.","Queen Creek","AZ","85242","US","0083","480-888-7913","<MISSING>","33.253","-111.64","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 8:00pm 10:00am - 7:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","Rainbow Arroyo Commons","7235 Arroyo Crossings Pkwy.","Las Vegas","NV","89113","US","0081","702-818-1640","<MISSING>","36.063","-115.251","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 7:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","RiverTown Crossings","3700 RiverTown Parkway","Grandville","MI","49418","US","0232","616-552-6365","<MISSING>","42.88","-85.754","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 11:00am - 6:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","Rolling Hills Plaza","2645 Pacific Coast Hwy.","Torrance","CA","90505","US","0022","310-534-1642","<MISSING>","33.792","-118.332","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 8:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","Roosevelt Field Mall","630 Old Country Rd","Garden City","NY","11530","US","0140","516-248-0115","<MISSING>","40.74","-73.614","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:30pm 10:00am - 9:30pm 10:00am - 9:30pm 10:00am - 9:30pm 10:00am - 9:30pm 10:00am - 9:30pm 11:00am - 7:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","Santa Rosa Plaza","2041 Santa Rosa Plaza","Santa Rosa","CA","95401","US","0128","707-528-2881","<MISSING>","38.441","-122.718","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 8:00pm 11:00am - 6:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","Santee Trolley Square","9880 Mission Gorge Rd.","Santee","CA","92071","US","0030","619-562-2364","<MISSING>","32.842","-116.98","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 7:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","Seminole Towne Center","239 Towne Center Circle","Sanford","FL","32771","US","0090","407-321-0711","<MISSING>","28.804","-81.341","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 12:00pm - 6:00pm","https://www.tillys.com/stores"
"https://www.tillys.com","Shops at Riverpark","90 Via del Oro","Fresno","CA","93720","US","0071","559-436-0548","<MISSING>","36.85","-119.79","Monday Tuesday Wednesday Thursday Friday Saturday Sunday 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 10:00am - 9:00pm 11:00am - 7:00pm","https://www.tillys.com/stores"
