"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.topman.com","Abbotsford","7 OAKS SHOPPING CENTRE  32900 SOUTH FRASER WAY","ABBOTSFORD","BC","<MISSING>","CA","TM8805","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Anjou","Les Galeries D'anjou, 7895 Boulevard Les Galeries D'anjou","Anjou","<MISSING>","H1M 1W6","CA","TM8481","(+00) 514-353-3300","<MISSING>","45.482856","-73.5753","<MISSING>"
"https://www.topman.com","Banff","125 BANFF AVENUE","BANFF","AB","<MISSING>","CA","TM8806","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Barrie","GEORGIAN MALL  465 BAYFIELD STREET","BARRIE","<MISSING>","L4M 4Z9","CA","TM8791","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Bayshore","BAYSHORE SHOPPING CENTRE  100 BAYSHORE DR","OTTAWA","ON","<MISSING>","CA","TM8807","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Bloor Street","2 BLOOR ST  EAST","TORONTO","ON","M4W 3H7","CA","TM8797","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Boulevard","CENTRE D'ACHATS LE BOULEVARD","4150 RUE JEAN-TALON E","QC","H1S 2V4","CA","TM8808","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Bramalea","25 Peel Centre Drive","Bramalea","<MISSING>","L6T 3R5","CA","TM8610","9057 935100","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Brossard","MAIL CHAMPLAIN  2151 BOUL. LAPINIERE","BROSSARD","QC","<MISSING>","CA","TM8809","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Burlington","BURLINGTON MALL  777 GUELPH LINE","BURLINGTON","ON","<MISSING>","CA","TM8810","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Calgary","The Bay - Calgary, 200 - 8th Avenue S.w.","Calgary","<MISSING>","T2P 1B5","CA","TM8485","(+00) 403-262-0345","<MISSING>","51.048018","-114.0641","<MISSING>"
"https://www.topman.com","Cambridge","CAMBRIDGE CENTRE  UNIT 1  355 HESPELER ROAD","CAMBRIDGE","ON","<MISSING>","CA","TM8811","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Capitale","2K 1N4  5401 BOUL. DES GALERIES","QUEBEC","QC","<MISSING>","CA","TM8812","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Carrefour Laval","Carrefour Laval, 3045 Boulevard Le Carrefour","<MISSING>","<MISSING>","H7T 1C7","CA","TM8454","(+00) 450-687-1540","<MISSING>","45.482856","-73.5753","<MISSING>"
"https://www.topman.com","Centrepoint","CENTERPOINT MALL  6500 YONGE STREET","WILLOWDALE","ON","<MISSING>","CA","TM8813","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Chinook","Chinook Centre, 6455 Macleod Trail S.w.","Calgary","<MISSING>","T2H 0L1","CA","TM8482","(+00) 403-255-6121","<MISSING>","51.048018","-114.0641","<MISSING>"
"https://www.topman.com","Coquitlam","COQUITLAM CENTRE  100 2929 BARNET HIGHWAY","COQUITLAM","BC","<MISSING>","CA","TM8814","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Dartmouth","MICMAC MALL  21 MICMAC BLVD","DARTMOUTH","NS","<MISSING>","CA","TM8815","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Dorval","LES JARDINS DORVAL  386 DORVAL AVE","DORVAL","QC","<MISSING>","CA","TM8816","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Edmonton Centre","EDMONTON CITY CENTRE  1200-10250 102 AVENUE NW","EDMONTON","AB","<MISSING>","CA","TM8817","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Eglinton","EGLINTON SQUARE  1 EGLINTON SQUARE","TORONTO","ON","<MISSING>","CA","TM8818","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Erin Mills","ERIN MILLS TOWN CENTRE  5100 ERIN MILLS PARKWAY","MISSISSAUGA","ON","<MISSING>","CA","TM8819","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Fairview","FAIRVIEW MALL  1800 SHEPPARD AVE. EAST","WILLOWDALE","ON","<MISSING>","CA","TM8820","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Fairview Kitchener","3050 Kingsway Drive","Kitchener, On","<MISSING>","N2C 2J7","CA","TM8552","5198 941111","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Gatineau","LES PROMENADES GATINEAU  1100 BOUL. MALONEY O","GATINEAU","QC","<MISSING>","CA","TM8821","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Guildford","GUILDFORD TOWN CENTRE  1400 GUILDFORD TOWN CENTRE","SURREY","BC","<MISSING>","CA","TM8822","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Kamloops","PACIFIC CENTRE  674 GRANVILLE STREET","VANCOUVER","BC","<MISSING>","CA","TM8823","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Kingston","945, Gardiners Road, Kingston","Ontario","<MISSING>","K7M 7H4","CA","TM8710","6133 843888","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Kingsway","KINGSWAY GARDEN MALL  109TH ST PRINCESS ELIZ AVE","EDMONTON","AB","<MISSING>","CA","TM8824","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Langley","WILLOWBROOK MALL  320 - 19705 FRASER HWY","LANGLEY","BC","V3A 7E9","CA","TM8787","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"https://www.topman.com","Lasalle","CARREFOUR ANGRIGNON, 7091 BOUL., NEWMAN","<MISSING>","<MISSING>","<MISSING>","CA","TM8850","<MISSING>","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
