"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.tuffy.com","TUFFY SPRINGFIELD","1764 Wabash Avenue","Springfield","IL","62704","US","<MISSING>","217-793-1990","<MISSING>","39.7725","-89.6889","Mon-Fri7:30 AM - 6:00 PMSaturday7:30 AM - 2:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Arkansas"
"https://www.tuffy.com","TUFFY BLOOMINGTON","1505 East Vernon Ave.","Bloomington","IL","61701","US","<MISSING>","309-662-0537","<MISSING>","40.4783","-88.9893","Mon-Fri7:30 AM - 6:00 PMSaturday7:30 AM - 4:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Arkansas"
"https://www.tuffy.com","TUFFY RICHMOND (AZALEA AVE.)","1005 Azalea Avenue","Richmond","VA","23227","US","<MISSING>","804-264-2700","<MISSING>","37.6247","-77.4351","Mon-Fri7:30 AM - 5:30 PMSaturday7:00 AM - 2:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Connecticut"
"https://www.tuffy.com","TUFFY RICHMOND WEST BROAD","8817 West Broad St.","Richmond","VA","23294","US","<MISSING>","804-965-0100","<MISSING>","37.4638","-77.398","Mon-Fri7:30 AM - 5:30 PMSaturday7:00 AM - 4:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Connecticut"
"https://www.tuffy.com","TUFFY RICHMOND (JEFF DAVIS HWY)","3621 Jeff Davis Highway","Richmond","VA","23234","US","<MISSING>","804-271-9800","<MISSING>","37.4373","-77.4788","Mon-Fri7:30 AM - 5:30 PMSaturday7:00 AM - 2:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Connecticut"
"https://www.tuffy.com","TUFFY RICHMOND (BRANCHWAY)","911 Branchway Rd.","Richmond","VA","23236","US","<MISSING>","804-379-3300","<MISSING>","37.4782","-77.5854","Mon-Fri7:30 AM - 5:30 PMSaturday7:00 AM - 2:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Connecticut"
"https://www.tuffy.com","TUFFY COLONIAL HEIGHTS","1115 Boulevard","Colonial Heights","VA","23834","US","<MISSING>","804-526-5000","<MISSING>","37.27","-77.4038","Mon-Fri7:30 AM - 5:30 PMSaturday7:00 AM - 2:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Connecticut"
"https://www.tuffy.com","TUFFY MENTOR","8415 Station Street","Mentor","OH","44060","US","<MISSING>","440-255-6333","<MISSING>","41.6895","-81.3421","Mon-Fri8:00 AM - 6:00 PMSaturday8:00 AM - 4:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Delaware"
"https://www.tuffy.com","TUFFY MOORESVILLE","144 Williamson Rd","Mooresville","NC","28117","US","<MISSING>","704-663-6755","<MISSING>","35.584","-80.8685","Mon-Fri7:30 AM - 6:00 PMSaturday7:30 AM - 5:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Delaware"
"https://www.tuffy.com","TUFFY CHARLOTTE","9835 Rocky River Road","Charlotte","NC","28215","US","<MISSING>","704-598-3131","<MISSING>","35.244","-80.7387","Mon-Fri7:30 AM - 6:00 PMSaturday7:30 AM - 4:00 PMSundayClosed","https://www.tuffy.com/location_search?zip_code=Delaware"
