"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://maid-rite.com/","Ankeny Maid-Rite","802 SE Oralabor Rd. Suite 132 The Junction","Ankeny","IA","50021","US","<MISSING>","515-963-0600","<MISSING>","41.703883","-93.5872299","<MISSING>"
"http://maid-rite.com/","Maid-Rite","2402 E. 53rd Street","Davenport","IA","52807","US","<MISSING>","563-424-1450","<MISSING>","41.5663793","-90.6061368","<MISSING>"
"http://maid-rite.com/","Maid-Rite","4444 First Ave. NE","Cedar Rapids","IA","52402","US","<MISSING>","319-395-0886","<MISSING>","42.0261673","-91.6295656","<MISSING>"
"http://maid-rite.com/","Maid-Rite","3708 Division","Davenport","IA","52808","US","<MISSING>","563-386-4418","<MISSING>","41.5663793","-90.6061368","<MISSING>"
"http://maid-rite.com/","Debbie's Westside Maid-Rite","1675 John F Kennedy Rd","Dubuque","IA","52002","US","<MISSING>","563-556-9562","<MISSING>","42.499745","-90.7221204","<MISSING>"
"http://maid-rite.com/","Maid-Rite","109 S. Spruce St. Amish Country Store","Lamoni","IA","50140","US","<MISSING>","641-784-8600","<MISSING>","40.6227921","-93.896965","<MISSING>"
"http://maid-rite.com/","Meyer Maid-Rite","3414 N. Port Dr.","Muscatine","IA","52761","US","<MISSING>","563-263-3244","<MISSING>","41.4606146","-91.0194826","<MISSING>"
"http://maid-rite.com/","Oskaloosa Maid-Rite","902 A Ave. W., Unit-B","Oskaloosa","IA","52577","US","<MISSING>","641-673-6327","<MISSING>","41.2956599","-92.6551473","<MISSING>"
"http://maid-rite.com/","Waterloo Maid-Rite","2808 University Ave.","Waterloo","IA","50701","US","<MISSING>","319-833-2010","<MISSING>","42.4982621","-92.3822333","<MISSING>"
"http://maid-rite.com/","Westland Mall Maid-Rite","550 S. Gear Avenue","West Burlington","IA","52655","US","<MISSING>","319-754-6790","<MISSING>","40.821086","-91.1700787","<MISSING>"
"http://maid-rite.com/","Maid-Rite","689 42","East Moline","IL","61244","US","<MISSING>","309-755-6957","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://maid-rite.com/","Milan Maid-Rite","205 West First Avenue","Milan","IL","61264","US","<MISSING>","309-787-1201","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://maid-rite.com/","Maid-Rite","507 N. 12","Quincy","IL","62301","US","<MISSING>","217-222-9767","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://maid-rite.com/","The Barn","711 Washington Street","Brainerd","MN","56401","US","<MISSING>","218-829-9297","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://maid-rite.com/","Mark Twain Dinette & Drive-In","400 North Third Street","Hannibal","MO","63401","US","<MISSING>","573-221-5300","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://maid-rite.com/","Maid-Rite","1028 Kingshighway","Rolla","MO","65402","US","<MISSING>","573-364-1434","<MISSING>","<MISSING>","<MISSING>","<MISSING>"
"http://maid-rite.com/","Piqua Maid-Rite","8855 N. County Rd. 25A","Piqua","OH","45356","US","<MISSING>","937-773-4886","<MISSING>","40.165085","-84.2269885","<MISSING>"
"http://maid-rite.com/","Wings America Maid-Rite","7005 N. Chestnut","Avoca","IA","51521","US","<MISSING>","712-343-4007","<MISSING>","41.499463","-95.3366839","<MISSING>"
"http://maid-rite.com/","Maid-Rite","116 E. 4th St.","Cedar Falls","IA","50613","US","<MISSING>","319-277-9748","<MISSING>","42.5352126","-92.445664","<MISSING>"
"http://maid-rite.com/","Maid-Rite West","621 1st Ave. SW","Cedar Rapids","IA","52405","US","<MISSING>","319-364-4415","<MISSING>","41.973986","-91.6802243","<MISSING>"
"http://maid-rite.com/","Merle Hay Mall Maid-Rite","3800 Merle Hay Rd # 988","Des Moines","IA","50310","US","<MISSING>","515-278-8173","<MISSING>","41.632124","-93.7035328","<MISSING>"
