"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://milios.com/","Milio's Sandwiches 151 Highway 1 W","151 Highway 1 West","Iowa City","IA","52246","US","<MISSING>","(319) 887-1200","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 10 pm
Thursday
10 am - 10 pm
Friday
10 am - 10 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 10 pm
Tuesday
10 am - 10 pm
DELIVERY HOURS
Wednesday
10 am - 9 pm
Thursday
10 am - 9 pm
Friday
10 am - 9 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 9 pm
Tuesday
10 am - 9 pm"
"https://milios.com/","Milio's Sandwiches 1st Ave","3521 1st Avenue SE","Cedar Rapids","IA","52402","US","<MISSING>","(319) 862-2000","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 11 pm
Thursday
10 am - 11 pm
Friday
10 am - 11 pm
Saturday
10 am - 11 pm
Sunday
10 am - 11 pm
Monday
10 am - 11 pm
Tuesday
10 am - 11 pm
DELIVERY HOURS
Wednesday
10 am - 11 pm
Thursday
10 am - 11 pm
Friday
10 am - 11 pm
Saturday
11 am - 11 pm
Sunday
11 am - 11 pm
Monday
10 am - 11 pm
Tuesday
10 am - 11 pm"
"https://milios.com/","Milio's Sandwiches Baraboo","935 8th Street","Baraboo","WI","53913","US","<MISSING>","(608) 355-9230","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 9 pm
Thursday
10 am - 9 pm
Friday
10 am - 9 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 9 pm
Tuesday
10 am - 9 pm
DELIVERY HOURS
Wednesday
11 am - 9 pm
Thursday
11 am - 9 pm
Friday
11 am - 9 pm
Saturday
11 am - 9 pm
Sunday
11 am - 9 pm
Monday
11 am - 9 pm
Tuesday
11 am - 9 pm"
"https://milios.com/","Milio's Sandwiches Blairs Ferry Rd","266 Blairs Ferry Road Ste 200","Cedar Rapids","IA","52402","US","<MISSING>","(319) 373-8585","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 10 pm
Thursday
10 am - 10 pm
Friday
10 am - 10 pm
Saturday
10 am - 10 pm
Sunday
10 am - 10 pm
Monday
10 am - 10 pm
Tuesday
10 am - 10 pm
DELIVERY HOURS
Wednesday
10 am - 10 pm
Thursday
10 am - 10 pm
Friday
10 am - 10 pm
Saturday
11 am - 10 pm
Sunday
11 am - 10 pm
Monday
10 am - 10 pm
Tuesday
10 am - 10 pm"
"https://milios.com/","Milio's Sandwiches Commerce Drive","462 Commerce Drive Ste B","Madison","WI","53719","US","<MISSING>","(608) 826-0011","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 9 pm
Thursday
10 am - 9 pm
Friday
10 am - 9 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 9 pm
Tuesday
10 am - 9 pm
DELIVERY HOURS
Wednesday
11 am - 9 pm
Thursday
11 am - 9 pm
Friday
11 am - 9 pm
Saturday
11 am - 9 pm
Sunday
11 am - 9 pm
Monday
11 am - 9 pm
Tuesday
11 am - 9 pm"
"https://milios.com/","Milio's Sandwiches Cottage Grove Rd","4601 Cottage Grove Rd","Madison","WI","53716","US","<MISSING>","(608) 222-4500","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 9 pm
Thursday
10 am - 9 pm
Friday
10 am - 9 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 9 pm
Tuesday
10 am - 9 pm
DELIVERY HOURS
Wednesday
10:30 am - 9 pm
Thursday
10:30 am - 9 pm
Friday
10:30 am - 9 pm
Saturday
11 am - 9 pm
Sunday
11 am - 9 pm
Monday
10:30 am - 9 pm
Tuesday
10:30 am - 9 pm"
"https://milios.com/","Milio's Sandwiches E Johnson St","2202 East Johnson Street","Madison","WI","53704","US","<MISSING>","(608) 241-4300","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 9 pm
Thursday
10 am - 9 pm
Friday
10 am - 9 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 9 pm
Tuesday
10 am - 9 pm
DELIVERY HOURS
Wednesday
11 am - 9 pm
Thursday
11 am - 9 pm
Friday
11 am - 9 pm
Saturday
11 am - 9 pm
Sunday
11 am - 9 pm
Monday
11 am - 9 pm
Tuesday
11 am - 9 pm"
"https://milios.com/","Milio's Sandwiches E Racine St","1604 E Racine Street","Janesville","WI","53545","US","<MISSING>","(608) 743-2700","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 9 pm
Thursday
10 am - 9 pm
Friday
10 am - 9 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 9 pm
Tuesday
10 am - 9 pm
DELIVERY HOURS
Wednesday
11 am - 9 pm
Thursday
11 am - 9 pm
Friday
11 am - 9 pm
Saturday
11 am - 9 pm
Sunday
11 am - 9 pm
Monday
11 am - 9 pm
Tuesday
11 am - 9 pm"
"https://milios.com/","Milio's Sandwiches East Campus Mall","377 East Campus Mall","Madison","WI","53715","US","<MISSING>","(608) 251-8444","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 9 pm
Thursday
10 am - 9 pm
Friday
10 am - 9 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 9 pm
Tuesday
10 am - 9 pm
DELIVERY HOURS
Wednesday
11 am - 10 pm
Thursday
11 am - 10 pm
Friday
11 am - 10 pm
Saturday
11 am - 10 pm
Sunday
11 am - 10 pm
Monday
11 am - 10 pm
Tuesday
11 am - 10 pm"
"https://milios.com/","Milio's Sandwiches East Towne Blvd","4292 East Towne Blvd","Madison","WI","53704","US","<MISSING>","(608) 245-2700","<MISSING>","<MISSING>","<MISSING>","STORE HOURS
Wednesday
10 am - 9 pm
Thursday
10 am - 9 pm
Friday
10 am - 9 pm
Saturday
10 am - 9 pm
Sunday
10 am - 9 pm
Monday
10 am - 9 pm
Tuesday
10 am - 9 pm
DELIVERY HOURS
Wednesday
11 am - 9 pm
Thursday
11 am - 9 pm
Friday
11 am - 9 pm
Saturday
11 am - 9 pm
Sunday
11 am - 9 pm
Monday
11 am - 9 pm
Tuesday
11 am - 9 pm"
