"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"http://www.phoenixfood.us/","Chinatown Los Angeles Since 1965","
301 Ord Street"," Los Angeles","CA","90012","US","<MISSING>","213.629.2812","Classic Chinese Cuisine","34.060288","-118.238701","Time:
Mon - Sun 11:00am - 1:00am"
"http://www.phoenixfood.us/","Alhambra Since 1997","
208 E. Valley Blvd."," Alhambra","CA","91801","US","<MISSING>","213.629.2812","South East Asian Cuisine","34.078521","-118.120458","Time:
Mon - Sun 11:00am - 12:00am"
"http://www.phoenixfood.us/","Alhambra Since 2002","
220 E. Valley Blvd."," Alhambra","CA","91801","US","<MISSING>","213.629.2812","Dessert","34.078512","-118.120343","Time:
Mon - Sun 11:00am - 1:00am"
"http://www.phoenixfood.us/","Arcadia Since 2003","
1108 S. Baldwin Ave. #B3"," Arcadia","CA","91007","US","<MISSING>","213.629.2812","Food Boutique","34.127226","-118.054279","Time:
Mon - Sun 11:00am - 1:00am"
"http://www.phoenixfood.us/","South Pasadena Since 2003","
456 Fair Oaks Ave."," South Pasadena","CA","91030","US","<MISSING>","213.629.2812","Food Boutique","34.119891","-118.150008","Time:
Mon - Sun 11:00am - 10:00pm"
"http://www.phoenixfood.us/","Rowland Heights Since 2004","
1709 Nogales Street #102"," Rowland Heights","CA","91748","US","<MISSING>","213.629.2812","Food Boutique","33.98724","-117.889702","Time:
Mon - Sun 11:00am - 1:00am"
"http://www.phoenixfood.us/","Alhambra Since 2006","
31 E. Valley Blvd."," Alhambra","CA","91801","US","<MISSING>","213.629.2812","Food Boutique","34.078807","-118.122316","Time:
Mon - Sun 11:00am - 1:00am"
"http://www.phoenixfood.us/","San Gabriel Since 2006","
712 W. Las Tunas Drive"," San Gabriel","CA","91776","US","<MISSING>","213.629.2812","Food Boutique","34.102395","-118.110158","Time:
Mon - Sun 11:00am - 10:00pm"
"http://www.phoenixfood.us/","Rowland Heights Since 2008","
18166 Colima Road"," Rowland Heights","CA","91748","US","<MISSING>","213.629.2812","Food Boutique","33.988288","-117.907754","Time:
Mon - Sun 11:00am - 1:00am"
"http://www.phoenixfood.us/","Rowland Heights Since 2010","
17575 Colima Road #D"," City of Industry","CA","91748","US","<MISSING>","213.629.2812","Food Boutique","33.990612","-117.921447","Time:
Mon - Sun 11:00am - 12:00am"
"http://www.phoenixfood.us/","Monterey Park Since 2010","
500 N. Atlantic Blvd. #C-120"," Monterey Park","CA","91754","US","<MISSING>","213.629.2812","Food Boutique","34.069473","-118.133963","Time:
Mon - Sun 11:00am - 1:00am"
"http://www.phoenixfood.us/","San Gabriel Since 2012","
1635 S. San Gabriel Blvd. #B"," San Gabriel","CA","91776","US","<MISSING>","213.629.2812","Dessert","34.078838","-118.092278","Time:
Mon - Sun 12:00pm - 12:00am"
"http://www.phoenixfood.us/","Temple City Since 2014","
9225 Las Tunas Drive"," Temple City","CA","91780","US","<MISSING>","213.629.2812","Kitchen","34.106108","-118.067154","Time:
Sun - Thu 11:00am - 12:00am"
"http://www.phoenixfood.us/","Garden Grove Since 2015","
13345 Euclid Street"," Garden Grove","CA","92843","US","<MISSING>","213.629.2812","Food Boutique","33.768664","-117.938099","Time:
Sun - Thu 11:00am - 11:00pm"
