"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.pizzapatron.com/","Avondale - Dysart Rd.","1440 N. Dysart Rd","Avondale","AZ","85323","US","<MISSING>","(623) 882-9494","<MISSING>","33.4479269","-112.3417401","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Glendale - Olive Ave","5814 W Olive Ave,","Glendale","AZ","85302","US","<MISSING>","(623) 435-9191","<MISSING>","33.5688881","-112.183866","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Mesa - Country Club Dr","354 N. Country Club Drive","Mesa","AZ","85201","US","<MISSING>","(480) 464-9191","<MISSING>","33.4220046","-111.8403234","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Mesa - Stapley Dr","1134 S Stapley Dr","Mesa","AZ","85204","US","<MISSING>","(480) 969-5540","<MISSING>","33.3941868","-111.805902","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Phoenix - 19th Ave","6815 North 19th Avenue","Phoenix","AZ","85015","US","<MISSING>","(602) 841-7008","<MISSING>","33.537235","-112.0987709","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Phoenix - 36th Street","1640 N. 36th St,","Phoenix","AZ","85008","US","<MISSING>","(602) 685-9191","<MISSING>","33.466738","-112.004673","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Phoenix - Central Ave","7602 S. Central Ave","Phoenix","AZ","85042","US","<MISSING>","(602) 276-9193","<MISSING>","33.3773342","-112.0737343","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Phoenix - Indian School Road","8234 West Indian School Road","Phoenix","AZ","85033","US","<MISSING>","(623) 873-2443","<MISSING>","33.4940386","-112.2369696","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Phoenix - Lower Buckeye Rd","7625 W. Lower Buckeye Road","Phoenix","AZ","85035","US","<MISSING>","(623) 643-9193","<MISSING>","33.4208324","-112.22457","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Phoenix - Southern Ave","825 West Southern Ave","Phoenix","AZ","85041","US","<MISSING>","(602) 268-0963","<MISSING>","33.3908085","-112.0839655","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Phoenix - Thomas Rd","6544 West Thomas Rd","Phoenix","AZ","85033","US","<MISSING>","(623) 846-2363","<MISSING>","33.4815091","-112.2012375","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Tucson - West Valencia","1785 W Valencia Road","Tucson","AZ","85746","US","<MISSING>","(520) 207-0446","<MISSING>","32.1337602","-111.0040888","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Coachella - Grapefruit Blvd","49225 Grapefruit Blvd","Coachella","CA","92236","US","<MISSING>","(760) 391-9900","<MISSING>","33.6906249","-116.1838068","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Cicero - South Cicero Avenue","2313 South Cicero Avenue","Cicero","IL","60804","US","<MISSING>","(708) 652-5352","<MISSING>","41.8488439","-87.7436412","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Arlington - Matlock Road","4306 Matlock Road,","Arlington","TX","76018","US","<MISSING>","(817) 557-9191","<MISSING>","32.6758234","-97.1154972","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Arlington - Pioneer Parkway","2000 East Pioneer Parkway","Arlington","TX","76010","US","<MISSING>","(817) 275-9191","<MISSING>","32.7105558","-97.0758119","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Austin - 1H-35","5717 S IH-35 Bldg C,","Austin","TX","78744","US","<MISSING>","(512) 444-9191","<MISSING>","30.1970335","-97.7633471","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Austin - Ed Bluestein Blvd.","7112 Ed Bluestein Blvd,","Austin","TX","78723","US","<MISSING>","(512) 928-9700","<MISSING>","30.3136227","-97.6637745","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Balch Springs - Lake June","12227 Lake June Road","Balch Springs","TX","75180","US","<MISSING>","(972) 289-9191","<MISSING>","32.7344664","-96.6161782","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Brownsville - Central","1304 Central Boulevard","Brownsville","TX","78520","US","<MISSING>","(956) 544-2006","<MISSING>","25.9234769","-97.511103","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Brownsville - Padre Island","7470 Padre Island Highway","Brownsville","TX","78521","US","<MISSING>","(956) 838-2525","<MISSING>","25.9441748","-97.4258409","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Brownsville - Paredes","5005 Paredes Line Rd","Brownsville","TX","78526","US","<MISSING>","(956) 667-5041","<MISSING>","25.9772906","-97.4851729","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Channelview-Sheldon","777 Sheldon Rd","Channelview","TX","77530","US","<MISSING>","(832) 376-4408","<MISSING>","29.7869151","-95.1253959","Open today 10:30am-10pm"
"https://www.pizzapatron.com/","Cockrell Hill - Jefferson","4444 W. Jefferson","Cockrell Hill","TX","75211","US","<MISSING>","(214) 339-9191","<MISSING>","32.7365523","-96.8923925","Open today 10:30am-10pm"
