location_name,phone
Gateway - Downtown St. Louis,314-246-5966
St. Louis Main Campus,800-981-9801
Westport,314-968-5955
Winghaven,636-561-2400
Scott Air Force Base,618-746-4747
Jacksonville Metro,904-268-3037
Naval Air Station Jacksonville,904-779-7124
Lakeland,863-687-9309
Melbourne,321-449-4500
Ocala,352-861-9330
Orlando,407-563-4770
St. Petersburg,727-570-9300
Joint Base Andrews NAF,301-420-2256
University System of Maryland at Southern Maryland,301-420-2256
Charleston Metro,843-760-1324
Fort Jackson,803-738-0603
Columbia,803-699-0900
Greenville Metro,864-676-9002
Myrtle Beach Metro,843-497-3677
Shaw Air Force Base,803-666-2254
Fort Stewart,912-876-8080
Hunter Army Airfield,912-354-0033
Fort Gordon,706-798-3955
Joint Base Anacostia-Bolling,202-561-4382
Irvine,949-450-9066
Los Angeles Air Force Base,310-607-8005
Colorado Springs Metro,719-590-7340
Peterson Air Force Base,719-574-7562
Fort Leavenworth,913-682-1922
McConnell Air Force Base,316-686-6841
Camp Lejeune,910-451-0951
Fort Bragg,910-436-9802
San Antonio,(210)348-8816
Fort Bliss,915-562-4400
Fort Sam Houston,210-226-3373
Lackland Air Force Base,210-674-0014
Randolph Air Force Base,210-658-0707
Memphis Naval Support Activity,901-873-1531
Fort Leonard Wood,573-329-6777
Kansas City,816-444-1000
Rolla Metro,573-368-4569
Little Rock Air Force Base,501-988-5331
Little Rock Metro,501-375-1511
Fort Sill,580-353-5766
Tinker Air Force Base,405-739-3518
Great Lakes Naval Base,847-578-0974
Luke Air Force Base,623-536-6880
Fort Belvoir,703-781-7942
Joint Base Myer/Henderson Hall,844-347-0568
Louisville Metro,502-896-1835
Hill Air Force Base,801-779-2061
