"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"http://tapoutfitness.com/","berlin","289 Berlin Turnpike","Berlin","CT","06037","US","<MISSING>","(860) 357-2202","<MISSING>","<MISSING>","<MISSING>","MON-FRI 5a-7p / Sat & Sun 8a-3p","https://berlin.tapoutfitness.com"
"http://tapoutfitness.com/","southington","235 Queen St.","Southington","CT","06489","US","<MISSING>","(860) 384-7981","<MISSING>","<MISSING>","<MISSING>","MON-FRI 5a-8p /  SAT 8a-5p / SUN 8a-11p","https://southington.tapoutfitness.com"
"http://tapoutfitness.com/","arthurave","2415 Arthur Ave","Bronx","NY","10458","US","<MISSING>","(718) 295-7500","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://arthurave.tapoutfitness.com"
"http://tapoutfitness.com/","raleigh","900 E Six Forks Rd","Raleigh","NC","27604","US","<MISSING>","(984) 269-5538","<MISSING>","<MISSING>","<MISSING>","Open 24/7","https://raleigh.tapoutfitness.com"
"http://tapoutfitness.com/","alpharetta","970 North Point Dr.","Alpharetta","GA","30022","US","<MISSING>","(678) 430-3777","<MISSING>","<MISSING>","<MISSING>","OPEN 24/7","https://alpharetta.tapoutfitness.com"
"http://tapoutfitness.com/","norcross","5770 Peachtree Industrial Blvd","Norcross","GA","30071","US","<MISSING>","(678) 359-6455","<MISSING>","<MISSING>","<MISSING>","Open 24/7","https://norcross.tapoutfitness.com"
"http://tapoutfitness.com/","sandy-springs","8887 Roswell Road","Sandy Springs","GA","30350","US","<MISSING>","(770) 824-3061","<MISSING>","<MISSING>","<MISSING>","Open 24/7","https://sandy-springs.tapoutfitness.com"
"http://tapoutfitness.com/","lawrenceville","3370 Sugarloaf Parkway Suite F-1","Lawrenceville","GA","30044","US","<MISSING>","678-915-2211","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://lawrenceville.tapoutfitness.com"
"http://tapoutfitness.com/","woodstock","9820 Highway 92","Woodstock","GA","30188","US","<MISSING>","(770) 988-5519","<MISSING>","<MISSING>","<MISSING>","Open 24/7","https://woodstock.tapoutfitness.com"
"http://tapoutfitness.com/","mandarin","4268 Oldfield Crossing Drive","Jacksonville","Florida","32223","US","<MISSING>","(904) 849 4730","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://mandarin.tapoutfitness.com"
"http://tapoutfitness.com/","miami","1334 NE 1st Avenue","Miami","FL","33132","US","<MISSING>","(305) 676 - 2885","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://miami.tapoutfitness.com"
"http://tapoutfitness.com/","pembroke-pines","350 S Flamingo Road","Pembroke Pines","FL","33027","US","<MISSING>","(954) 885-6495","<MISSING>","<MISSING>","<MISSING>","Mon-Fri 8a-9p / Sat-Sun 9a-2p","https://pembroke-pines.tapoutfitness.com"
"http://tapoutfitness.com/","coralgables","475 Biltmore Way","Coral Gables","FL","33134","US","<MISSING>","(305) 299-9666","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://coralgables.tapoutfitness.com"
"http://tapoutfitness.com/","southlake","2717 E. Southlake Blvd","Southlake","TX","76092","US","<MISSING>","(817) 329-3456","<MISSING>","<MISSING>","<MISSING>","MON, WED & FRI 5:30a-9p /  TUE & THU 8:30a-9p / SAT 9a-12:30p / SUN 10a-12:30p","https://southlake.tapoutfitness.com"
"http://tapoutfitness.com/","spring","3789 Rayford Rd, Suite B","Spring","Texas","77386","US","<MISSING>","(832) 884-0404","<MISSING>","<MISSING>","<MISSING>","MON, WED, FRI 5A-6:30P / TUE & THU 5A-7:30P / SAT 9:15A-12P / SUN CLOSED","https://spring.tapoutfitness.com"
"http://tapoutfitness.com/","downtown-fortworth","440 W. 4th St.","Fort Worth","TX","76102","US","<MISSING>","(682) 224-5304","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://downtown-fortworth.tapoutfitness.com"
"http://tapoutfitness.com/","austin","11601 W. Hwy 290, B101","Austin","TX","78737","US","<MISSING>","(512) 350-2626","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://austin.tapoutfitness.com"
"http://tapoutfitness.com/","san-antonio","903 E. Bitters, Suite 309","San Antonio","TX","78216","US","<MISSING>","(210) 530-1008","<MISSING>","<MISSING>","<MISSING>","MON-FRI 6:30a-8p / SAT 8a-3p / SUN CLOSED","https://san-antonio.tapoutfitness.com"
"http://tapoutfitness.com/","northscottsdale","14870 N. Northsight Blvd., Suite 108","Scottsdale","AZ","85260","US","<MISSING>","(480) 219-9257","<MISSING>","<MISSING>","<MISSING>","Mon-Fri 5:00AM-7:30PM / Sat-Sun 9AM-2PM","https://northscottsdale.tapoutfitness.com"
"http://tapoutfitness.com/","alameda","1526 Webster St.","Alameda","CA","94501","US","<MISSING>","(510) 872-2296","<MISSING>","<MISSING>","<MISSING>","M-F 5AM - 9PM / S-S 8AM - 4PM","https://alameda.tapoutfitness.com"
"http://tapoutfitness.com/","woodlandhills","21720 Ventura Blvd","Woodland Hills","CA","91364","US","<MISSING>","(747) 226-3033","<MISSING>","<MISSING>","<MISSING>","Mon-thur 6a-9p / Fri 6a-7p / Sat-Sun 9a-2p","https://woodlandhills.tapoutfitness.com"
