"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.hushpuppies.com","HUSH PUPPIES, MERRELL, SEBAGO","11601 108TH ST. SUITE 520","PLEASANT PRAIRIE","WI","53158","US","62048","262-857-7344","hush puppies","42.5176322","-87.9466819","<MISSING>"
"https://www.hushpuppies.com","SHOE-NUF","2954 HEMPSTEAD TPK","LEVITOWN","NY","11756-1343","US","59667","5167319696","hush puppies","40.724138","-73.5265145","<MISSING>"
"https://www.hushpuppies.com","SHOES ETC","277 S BROADWAY","HICKSVILLE","NY","11801-2900","US","58823","5169312489","hush puppies","40.7631469","-73.5181184","<MISSING>"
"https://www.hushpuppies.com","SEARS ROEBUCK 1264 636","195 NORTH BROADWAY","HICKSVILLE","NY","11801","US","57862","<MISSING>","hush puppies","40.7752986","-73.5267993","<MISSING>"
"https://www.hushpuppies.com","INCREDIBLE FEETS STORE 002","998 OLD COUNTRY ROAD","PLAINVIEW","NY","11803","US","57463","<MISSING>","hush puppies","40.77572","-73.4741389","<MISSING>"
"https://www.hushpuppies.com","EDWARD ALAN BIG & TALL","343A S OYSTER BAY RD","PLAINVIEW","NY","11803-3301","US","59245","5169333000","hush puppies","40.7849888","-73.5032695","<MISSING>"
"https://www.hushpuppies.com","INCREDIBLE FEETS OF BELLMORE 4","2975 MERRICK RD","BELLMORE","NY","11710-5727","US","57464","<MISSING>","hush puppies","40.6637182","-73.5166178","<MISSING>"
"https://www.hushpuppies.com","DXL MEN'S APPAREL","5000 SUNRISE HWY","MASSAPEQUA PARK","NY","11762","US","68417","(516) 541-4253","hush puppies","40.6773099","-73.4505308","<MISSING>"
"https://www.hushpuppies.com","MONDO NEW LINE","235 ROBBINS LN","SYOSSET","NY","11791-6005","US","59352","5168222345","hush puppies","40.7988322","-73.5175895","<MISSING>"
"https://www.hushpuppies.com","NORDSTROM 524","630 OLD COUTRY ROAD","GARDEN CITY","NY","11530","US","59771","<MISSING>","hush puppies","40.7377635","-73.6130142","<MISSING>"
