"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://mobiloil.com","Walmart","2609 7th St","Las Vegas","NM","87701","US","1330","505-425-5242","mobil oil Retailers","35.621299","-105.225611","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","2514 7TH STREET SUITE A","LAS VEGAS","NM","87701-4988","US","28296","505-426-8620","mobil oil Retailers","35.620201","-105.225389","<MISSING>"
"https://mobiloil.com","AutoZone","210 Mills Avenue","Las Vegas","NM","87701","US","17752","505-425-7676","mobil oil Retailers","35.600626","-105.231712","<MISSING>"
"https://mobiloil.com","Napa","Hwy 518 Main St","Mora","NM","87732","US","10730","505-387-2656","mobil oil Retailers","36.02779","-105.31403","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","2109 CERRILLOS ROAD","SANTA FE","NM","87505-3267","US","28365","505-438-0844","mobil oil Retailers","35.662015","-105.980209","<MISSING>"
"https://mobiloil.com","AutoZone","2505 Cerrillos Rd.","Santa Fe","NM","87505","US","17744","505-438-3374","mobil oil Retailers","35.660184","-105.983314","<MISSING>"
"https://mobiloil.com","Pep Boys","2710 Cerrillos Rd","Santa Fe","NM","87507","US","21657","505-473-3463","mobil oil Retailers","35.657266","-105.986252","<MISSING>"
"https://mobiloil.com","Napa","1125 Calle La Resolana","Sante Fe","NM","87505","US","12544","505-471-1464","mobil oil Retailers","35.654317","-105.991636","<MISSING>"
"https://mobiloil.com","Walmart","3251 Cerrillos Rd","Santa Fe","NM","87507","US","795","505-474-4727","mobil oil Retailers","35.651406","-105.998295","<MISSING>"
"https://mobiloil.com","Sam's Club","4201 RODEO ROAD","SANTA FE","NM","87505","US","22367","505-471-8825","mobil oil Retailers","35.640056","-106.007835","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","4715 AIRPORT RD","SANTA FE","NM","87507-3266","US","30821","505-473-0058","mobil oil Retailers","35.638189","-106.030176","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","1336 PASEO DEL PUEBLO SUR","TAOS","NM","87571-5975","US","27722","575-758-4616","mobil oil Retailers","36.375575","-105.593755","<MISSING>"
"https://mobiloil.com","Walmart","5701 Herrera Drive","Santa Fe","NM","87507","US","2890","505-424-9304","mobil oil Retailers","35.617195","-106.03331","<MISSING>"
"https://mobiloil.com","Napa","116 Alexander Street","Taos","NM","87571","US","14222","575-758-8895","mobil oil Retailers","36.385247","-105.589683","<MISSING>"
"https://mobiloil.com","Walmart","926 Paseo Del Pueblo Sur","Taos","NM","87571","US","837","575-758-1136","mobil oil Retailers","36.38736","-105.584553","<MISSING>"
"https://mobiloil.com","AutoZone","6421-2 Airport Rd","Santa Fe","NM","87507","US","18974","505-424-0252","mobil oil Retailers","35.636246","-106.044678","<MISSING>"
"https://mobiloil.com","AutoZone","525 Paseo Del Pueb","Taos","NM","87571","US","17759","575-737-5400","mobil oil Retailers","36.414788","-105.568031","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","950 RIVERSIDE DRIVE","ESPANOLA","NM","87532-2556","US","30621","505-753-1888","mobil oil Retailers","36.004964","-106.06524","<MISSING>"
"https://mobiloil.com","AutoZone","1331 N Riverside D","Espanola","NM","87532","US","17747","505-753-0464","mobil oil Retailers","36.012098","-106.06404","<MISSING>"
"https://mobiloil.com","Walmart","1610 No. Riverside Drive","Espanola","NM","87532","US","2470","505-747-0414","mobil oil Retailers","36.016134","-106.064553","<MISSING>"
"https://mobiloil.com","AutoZone","610 Central Ave #C","Los Alamos","NM","87544","US","17755","505-663-0903","mobil oil Retailers","35.880154","-106.293069","<MISSING>"
"https://mobiloil.com","Napa","201 Knecht St","Los Alamos","NM","87544","US","11668","505-662-9743","mobil oil Retailers","35.879162","-106.296449","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","2373 TRINITY DRIVE","LOS ALAMOS","NM","87544-3050","US","67407","505-412-6567","mobil oil Retailers","35.880391","-106.304582","<MISSING>"
"https://mobiloil.com","Napa","117 Fourth St","Santa Rosa","NM","88435","US","9698","575-472-3486","mobil oil Retailers","34.941463","-104.687006","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","17 LIBERTY SQUARE CIRCLE","EDGEWOOD","NM","87015-0000","US","67814","505-596-0054","mobil oil Retailers","35.06057","-106.187915","<MISSING>"
"https://mobiloil.com","AutoZone","1944 Old U.S. 66","Edgewood","NM","87015","US","17488","505-286-1855","mobil oil Retailers","35.059739","-106.189672","<MISSING>"
"https://mobiloil.com","Napa","1 Eunice Court","Edgewood","NM","87015","US","13815","505-286-0206","mobil oil Retailers","35.067206","-106.204338","<MISSING>"
"https://mobiloil.com","Walmart","66 State Road #344","Edgewood","NM","87015","US","3156","505-286-3043","mobil oil Retailers","35.062164","-106.20468","<MISSING>"
"https://mobiloil.com","Napa","500 Old Route 66 East","Moriarty","NM","87035","US","10390","505-832-4311","mobil oil Retailers","34.96972","-106.09214","<MISSING>"
"https://mobiloil.com","AutoZone","370 W Hwy 550","Bernalillo","NM","87004","US","17753","505-771-3617","mobil oil Retailers","35.320708","-106.549429","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","400 HIGHWAY 550 WEST","BERNALILLO","NM","87004-6339","US","30424","505-867-4338","mobil oil Retailers","35.321229","-106.552239","<MISSING>"
"https://mobiloil.com","Walmart","460 Nm Highway #528","Bernalillo","NM","87004","US","3055","505-771-4867","mobil oil Retailers","35.303157","-106.55074","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","8001 VENTURA ST NE","ALBUQUERQUE","NM","87109-6429","US","67026","505-217-3416","mobil oil Retailers","35.173117","-106.543682","<MISSING>"
"https://mobiloil.com","Walmart","11018 Montgomery Blvd NE","Albuquerque","NM","87111","US","53900","505-600-4183","mobil oil Retailers","35.130563","-106.51684","<MISSING>"
"https://mobiloil.com","AutoZone","11205 Candelaria","Albuquerque","NM","87112","US","17733","505-299-7787","mobil oil Retailers","35.116774","-106.517141","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","2220 JUAN TABO BLVD NE","ALBUQUERQUE","NM","87112-3310","US","29948","505-296-3044","mobil oil Retailers","35.108491","-106.515147","<MISSING>"
"https://mobiloil.com","AutoZone","8140 Louisiana Blvd","Albuquerque","NM","87113","US","18548","505-796-0398","mobil oil Retailers","35.174958","-106.567405","<MISSING>"
"https://mobiloil.com","Walmart","11001 Menaul Blvd NE","Albuquerque","NM","87112","US","53345","505-200-3435","mobil oil Retailers","35.108989","-106.518834","<MISSING>"
"https://mobiloil.com","AutoZone","12904 Lomas Blvd","Albuquerque","NM","87112","US","18547","505-298-1720","mobil oil Retailers","35.085939","-106.502313","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","12700 LOMAS BLVD NE","ALBUQUERQUE","NM","87123-0000","US","66971","505-355-6045","mobil oil Retailers","35.08604","-106.505702","<MISSING>"
"https://mobiloil.com","Walmart","8000 Academy Rd NE","Albuquerque","NM","87111","US","790","505-856-5274","mobil oil Retailers","35.146221","-106.553234","<MISSING>"
"https://mobiloil.com","Pep Boys","1308 Juan Tabo N E","Albuquerque","NM","87112","US","21646","505-292-7111","mobil oil Retailers","35.094581","-106.514844","<MISSING>"
"https://mobiloil.com","AutoZone","8820 Montgomery Blvd","Albuquerque","NM","87111","US","17489","505-296-3683","mobil oil Retailers","35.130334","-106.544642","<MISSING>"
"https://mobiloil.com","Napa","1700 Eubank St Ne","Albuquerque","NM","87112","US","13610","505-294-1544","mobil oil Retailers","35.100016","-106.532734","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","4750 SUNDT RD NE","RIO RANCHO","NM","87124-0000","US","67020","505-217-3094","mobil oil Retailers","35.257974","-106.641682","<MISSING>"
"https://mobiloil.com","AutoZone","1428 Eubank N E","Albuquerque","NM","87112","US","17739","505-296-6111","mobil oil Retailers","35.095606","-106.531865","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","8117 MENAUL BLVD NE","ALBUQUERQUE","NM","87110-4609","US","67888","505-355-6040","mobil oil Retailers","35.109625","-106.553668","<MISSING>"
"https://mobiloil.com","Walmart","2266 Wyoming Blvd NE","Albuquerque","NM","87112","US","3649","505-323-4131","mobil oil Retailers","35.10539","-106.550692","<MISSING>"
"https://mobiloil.com","Walmart","1115 Nm Highway 528 SE","Rio Rancho","NM","87124","US","53416","505-600-4052","mobil oil Retailers","35.251129","-106.650795","<MISSING>"
"https://mobiloil.com","Sam's Club","300 EUBANK BLVD, NE","ALBUQUERQUE","NM","87123","US","22609","505-298-5308","mobil oil Retailers","35.077237","-106.529454","<MISSING>"
"https://mobiloil.com","Walmart","400 Eubank Blvd NE","Albuquerque","NM","87123","US","800","505-293-8878","mobil oil Retailers","35.079581","-106.532177","<MISSING>"
"https://mobiloil.com","Pep Boys","5651 San Mateo Blvd N E","Albuquerque","NM","87109","US","21647","505-881-8101","mobil oil Retailers","35.143513","-106.587188","<MISSING>"
"https://mobiloil.com","Napa","5231 San Mateo Blvd","Albuquerque","NM","87109","US","11716","505-883-3942","mobil oil Retailers","35.141874","-106.586552","<MISSING>"
"https://mobiloil.com","Costco","500 EUBANK BLVD SE","ALBUQUERQUE","NM","87123","US","35092","505-332-6603","mobil oil Retailers","35.068429","-106.529921","<MISSING>"
"https://mobiloil.com","AutoZone","10121 Central NE","Albuquerque","NM","87123","US","17760","505-294-0225","mobil oil Retailers","35.072783","-106.53493","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","10030 CENTRAL AVENUE SE","ALBUQUERQUE","NM","87123-2626","US","28178","505-332-9132","mobil oil Retailers","35.071818","-106.535758","<MISSING>"
"https://mobiloil.com","AutoZone","3721 Southern Blvd","Rio Rancho","NM","87124","US","17748","505-892-2700","mobil oil Retailers","35.242184","-106.661625","<MISSING>"
"https://mobiloil.com","AutoZone","4213 San Mateo Blvd","Albuquerque","NM","87110","US","17735","505-884-8826","mobil oil Retailers","35.12845","-106.586818","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","3920 SAN MATEO BLVD NE","ALBUQUERQUE","NM","87110-1242","US","28205","505-883-1909","mobil oil Retailers","35.126397","-106.585654","<MISSING>"
"https://mobiloil.com","AutoZone","1309 S 2nd St","Raton","NM","87740","US","18554","575-445-0040","mobil oil Retailers","36.880275","-104.440009","<MISSING>"
"https://mobiloil.com","Napa","1620 Sara Road SE","Rio Rancho","NM","87124","US","12522","505-892-4375","mobil oil Retailers","35.231774","-106.65955","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","1200 SOUTH 2ND STREET","RATON","NM","87740-2202","US","67061","575-303-2348","mobil oil Retailers","36.88493","-104.4403","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","3721 HIGHWAY 528 NW","ALBUQUERQUE","NM","87114-7001","US","31357","505-890-8466","mobil oil Retailers","35.211169","-106.653148","<MISSING>"
"https://mobiloil.com","Pep Boys","1624 Alameda Blvd NW","Albuquerque","NM","87114","US","21719","505-898-2258","mobil oil Retailers","35.201496","-106.647437","<MISSING>"
"https://mobiloil.com","AutoZone","10165 Coors Blvd","Albuquerque","NM","87114","US","15917","505-792-3796","mobil oil Retailers","35.202451","-106.648431","<MISSING>"
"https://mobiloil.com","Sam's Club","10600 COORS BLVD BYPASS NW","ALBUQUERQUE","NM","87114","US","22333","505-922-0046","mobil oil Retailers","35.210274","-106.657245","<MISSING>"
"https://mobiloil.com","Sam's Club","1421 RENAISSANCE BLVD. NE","ALBUQUERQUE","NM","87107","US","22469","505-344-0051","mobil oil Retailers","35.138299","-106.613394","<MISSING>"
"https://mobiloil.com","Costco","1420 RENAISSANCE BLVD NE","ALBUQUERQUE","NM","87107","US","35063","505-342-7141","mobil oil Retailers","35.13664","-106.613754","<MISSING>"
"https://mobiloil.com","Walmart","10224 Coors Byp NW","Albuquerque","NM","87114","US","1347","505-897-1228","mobil oil Retailers","35.204142","-106.659428","<MISSING>"
"https://mobiloil.com","Walmart","4700 Cutler Ave NE","Albuquerque","NM","87110","US","53865","505-346-0702","mobil oil Retailers","35.105523","-106.591641","<MISSING>"
"https://mobiloil.com","AutoZone","2821 Carlisle Blvd","Albuquerque","NM","87110","US","18975","505-830-9484","mobil oil Retailers","35.114113","-106.604561","<MISSING>"
"https://mobiloil.com","Costco","9955 COORS BYPASS NW","ALBUQUERQUE","NM","87114","US","35108","505-922-7400","mobil oil Retailers","35.19556","-106.661894","<MISSING>"
"https://mobiloil.com","Walmart","2701 Carlisle Blvd NE","Albuquerque","NM","87110","US","814","505-884-6650","mobil oil Retailers","35.112001","-106.604284","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","6740 4TH STREET NW","LOS RANCHOS","NM","87107-6115","US","66990","505-702-8202","mobil oil Retailers","35.157483","-106.63707","<MISSING>"
"https://mobiloil.com","Napa","6714 North Fourth St NW","Albuquerque","NM","87107","US","12842","505-345-5536","mobil oil Retailers","35.156942","-106.637114","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","2007 SOUTHERN BOULEVARD","RIO RANCHO","NM","87124-3766","US","29820","505-892-3552","mobil oil Retailers","35.242059","-106.69262","<MISSING>"
"https://mobiloil.com","AutoZone","6626 4th St NW","Los Ranchos","NM","87107","US","18552","505-341-1258","mobil oil Retailers","35.154668","-106.637829","<MISSING>"
"https://mobiloil.com","AutoZone","2204 Southern Blvd","Rio Rancho","NM","87124","US","18558","505-892-4266","mobil oil Retailers","35.241585","-106.692832","<MISSING>"
"https://mobiloil.com","AutoZone","5900 Central Av SE","Albuquerque","NM","87108","US","17738","505-266-6366","mobil oil Retailers","35.076704","-106.580345","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","5820 CENTRAL AVENUE SE","ALBUQUERQUE","NM","87108-1702","US","30829","505-266-4774","mobil oil Retailers","35.076916","-106.581215","<MISSING>"
"https://mobiloil.com","Pep Boys","5600 Central Ave SE","Albuquerque","NM","87108","US","21735","505-266-0036","mobil oil Retailers","35.077068","-106.583253","<MISSING>"
"https://mobiloil.com","Walmart","901 Unser Blvd SE","Rio Rancho","NM","87124","US","3056","505-962-9227","mobil oil Retailers","35.243971","-106.696944","<MISSING>"
"https://mobiloil.com","Walmart","301 San Mateo Blvd SE","Albuquerque","NM","87108","US","797","505-268-6611","mobil oil Retailers","35.075521","-106.586384","<MISSING>"
"https://mobiloil.com","AutoZone","3526 4th St NW","Albuquerque","NM","87107","US","17730","505-345-3700","mobil oil Retailers","35.118548","-106.644624","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","416 CANDELARIA ROAD NW","ALBUQUERQUE","NM","87107-2402","US","31441","505-345-9663","mobil oil Retailers","35.119882","-106.645744","<MISSING>"
"https://mobiloil.com","Walmart","8511 Golf Course Rd NW","Alameda","NM","87114","US","53564","505-792-3676","mobil oil Retailers","35.180767","-106.687853","<MISSING>"
"https://mobiloil.com","Napa","1510 2nd Street Northwest","Albuquerque","NM","87102","US","12468","505-848-3500","mobil oil Retailers","35.098388","-106.645789","<MISSING>"
"https://mobiloil.com","AutoZone","4301 Montano NW","Albuquerque","NM","87120","US","18551","505-792-3369","mobil oil Retailers","35.150722","-106.687116","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","6541 PARADISE BLVD NW","ALBUQUERQUE","NM","87114-6158","US","30093","505-922-4911","mobil oil Retailers","35.193327","-106.726304","<MISSING>"
"https://mobiloil.com","AutoZone","507 Bridge Blvd SW","Albuquerque","NM","87102","US","18542","505-243-0415","mobil oil Retailers","35.070592","-106.655226","<MISSING>"
"https://mobiloil.com","Walmart","2550 Coors Blvd.. NW","Albuquerque","NM","87120","US","2672","505-352-1870","mobil oil Retailers","35.118562","-106.70149","<MISSING>"
"https://mobiloil.com","AutoZone","5700 Quail Rd NW","Albuquerque","NM","87120","US","18546","505-352-1236","mobil oil Retailers","35.115009","-106.704271","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","1415 BRIDGE BOULEVARD SW","ALBUQUERQUE","NM","87105-3890","US","29621","505-766-9831","mobil oil Retailers","35.067143","-106.673895","<MISSING>"
"https://mobiloil.com","Napa","932 Sunset SW","Albuquerque","NM","87105","US","14905","505-243-2871","mobil oil Retailers","35.067378","-106.674285","<MISSING>"
"https://mobiloil.com","Pep Boys","4523 Central Ave N W","Albuquerque","NM","87105","US","21648","505-836-0163","mobil oil Retailers","35.085266","-106.689423","<MISSING>"
"https://mobiloil.com","AutoZone","4909 Central Av NW","Albuquerque","NM","87105","US","17731","505-836-0100","mobil oil Retailers","35.084282","-106.693229","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","501 COORS BOULEVARD NW","ALBUQUERQUE","NM","87121-1402","US","29390","505-839-4235","mobil oil Retailers","35.091741","-106.71093","<MISSING>"
"https://mobiloil.com","Napa","912 E Route 66 Blvd","Tucumcari","NM","88401","US","12216","575-461-4040","mobil oil Retailers","35.178982","-103.715583","<MISSING>"
"https://mobiloil.com","AutoZone","2627 SW Isleta Blvd","Albuquerque","NM","87105","US","17749","505-873-9099","mobil oil Retailers","35.035419","-106.680107","<MISSING>"
"https://mobiloil.com","Walmart","1820 Unser Boulevard NW","Albuquerque","NM","87120","US","54013","505-600-4293","mobil oil Retailers","35.100781","-106.729782","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","3613 ISLETA BOULEVARD SW","ALBUQUERQUE","NM","87105-5917","US","28311","505-452-8902","mobil oil Retailers","35.024427","-106.68157","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","2712 SUNSHINE W PLAZA DR","ALBUQUERQUE","NM","87121-8604","US","30965","505-877-4709","mobil oil Retailers","35.038339","-106.712356","<MISSING>"
"https://mobiloil.com","Napa","6379 Main Street","Cuba","NM","87013","US","9983","575-289-3223","mobil oil Retailers","36.018402","-106.960639","<MISSING>"
"https://mobiloil.com","AutoZone","131 98th Street NW","Albuquerque","NM","87121","US","18556","505-352-5475","mobil oil Retailers","35.074753","-106.743703","<MISSING>"
"https://mobiloil.com","AutoZone","3251 Coors Blvd SW","Albuquerque","NM","87121","US","18973","505-873-3112","mobil oil Retailers","35.02815","-106.714479","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","9750 TOWER ROAD SW","ALBUQUERQUE","NM","87121-5496","US","28085","505-839-8310","mobil oil Retailers","35.062911","-106.741207","<MISSING>"
"https://mobiloil.com","Walmart","3500 Coors Blvd SW","Albuquerque","NM","87121","US","3607","505-877-2254","mobil oil Retailers","35.026037","-106.714047","<MISSING>"
"https://mobiloil.com","Walmart","9600 Sage Rd SW","Albuquerque","NM","87121","US","53497","505-831-3618","mobil oil Retailers","35.055854","-106.739493","<MISSING>"
"https://mobiloil.com","Walmart","2921 Toupal Dr","Trinidad","CO","81082","US","923","719-846-4477","mobil oil Retailers","37.138673","-104.520886","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","2905 TOUPAL DRIVE","TRINIDAD","CO","81082-8740","US","28088","719-845-1480","mobil oil Retailers","37.139615","-104.521203","<MISSING>"
"https://mobiloil.com","Napa","160 E Elm Street","Trinidad","CO","81082","US","11466","719-846-9203","mobil oil Retailers","37.169379","-104.505083","<MISSING>"
"https://mobiloil.com","AutoZone","2000 Freedom Rd","Trinidad","CO","81082","US","18982","719-846-4222","mobil oil Retailers","37.187809","-104.496956","<MISSING>"
"https://mobiloil.com","Napa","3507 Main Street NE","Los Lunas","NM","87031","US","15138","505-865-1006","mobil oil Retailers","34.809704","-106.699644","<MISSING>"
"https://mobiloil.com","AutoZone","2510-B Main St NE","Los Lunas","NM","87031","US","17746","505-865-0700","mobil oil Retailers","34.80846","-106.702225","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","2364 MAIN STREET NE","LOS LUNAS","NM","87031-6319","US","29893","505-865-0856","mobil oil Retailers","34.806051","-106.70457","<MISSING>"
"https://mobiloil.com","Napa","Corner Of Fuentes & Hwy 54","Logan","NM","88426","US","10546","575-487-2111","mobil oil Retailers","35.361492","-103.410823","<MISSING>"
"https://mobiloil.com","Napa","988 Highway 17","Chama","NM","87520","US","14959","575-756-2101","mobil oil Retailers","36.89878","-106.59647","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","1401 MAIN STREET SW","LOS LUNAS","NM","87031-8454","US","67236","505-866-9004","mobil oil Retailers","34.814318","-106.749219","<MISSING>"
"https://mobiloil.com","AutoZone","1840 Main St N.W.","Los Lunas","NM","87031","US","18550","505-565-3114","mobil oil Retailers","34.814605","-106.755848","<MISSING>"
"https://mobiloil.com","Walmart","2250 Main St NW","Los Lunas","NM","87031","US","3004","505-565-4611","mobil oil Retailers","34.815347","-106.764123","<MISSING>"
"https://mobiloil.com","Walmart","1 I 25 Bypass","Belen","NM","87002","US","1363","505-864-9114","mobil oil Retailers","34.695415","-106.769556","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","19335 MAIN STREET","BELEN","NM","87002-8249","US","31124","505-864-8654","mobil oil Retailers","34.679047","-106.770437","<MISSING>"
"https://mobiloil.com","Napa","519 E Reinken","Belen","NM","87002","US","10263","505-864-2246","mobil oil Retailers","34.659581","-106.762004","<MISSING>"
"https://mobiloil.com","AutoZone","300 N Main","Belen","NM","87002","US","17754","505-864-2320","mobil oil Retailers","34.663079","-106.775296","<MISSING>"
"https://mobiloil.com","Napa","2807 Adcock Blvd","Alamosa","CO","81101","US","10473","719-589-2591","mobil oil Retailers","37.4661","-105.884","<MISSING>"
"https://mobiloil.com","AutoZone","7 Craft Dr","Alamosa","CO","81101","US","18563","719-587-0124","mobil oil Retailers","37.475608","-105.894466","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","101 WEST WALKER ROAD","ALAMOSA","CO","81101-9808","US","28766","719-589-1601","mobil oil Retailers","37.476337","-105.89641","<MISSING>"
"https://mobiloil.com","Walmart","3333 Clark St","Alamosa","CO","81101","US","833","719-589-9071","mobil oil Retailers","37.480771","-105.905208","<MISSING>"
"https://mobiloil.com","Napa","373 A Second Ave","Kotzebue","AK","99752","US","10738","907-442-2400","mobil oil Retailers","66.897846","-162.598741","<MISSING>"
"https://mobiloil.com","Napa","1 Old Spline Road","Prudhoe Bay","AK","99734","US","12313","907-659-2916","mobil oil Retailers","70.105179","-149.542849","<MISSING>"
"https://mobiloil.com","Napa","108 Pine Ave","Eufaula","OK","74432","US","9518","918-689-2112","mobil oil Retailers","35.288419","-95.583029","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","314 S MAIN ST","EUFAULA","OK","74432-3254","US","29529","918-689-2223","mobil oil Retailers","35.287633","-95.582112","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","902 W GENTRY AVE","CHECOTAH","OK","74426-2027","US","29683","918-473-2111","mobil oil Retailers","35.47149","-95.530927","<MISSING>"
"https://mobiloil.com","Walmart","131 Paul Carr Dr","Checotah","OK","74426","US","323","918-473-2201","mobil oil Retailers","35.473637","-95.53496","<MISSING>"
"https://mobiloil.com","Napa","220 N Broadway","Checotah","OK","74426","US","9761","918-473-5016","mobil oil Retailers","35.472117","-95.522572","<MISSING>"
"https://mobiloil.com","Napa","101 East Main Street","Quinton","OK","74561","US","14836","918-469-3391","mobil oil Retailers","35.123524","-95.36637","<MISSING>"
"https://mobiloil.com","Walmart","605 E Main St","Henryetta","OK","74437","US","234","918-652-9676","mobil oil Retailers","35.439825","-95.974845","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","309 EAST MAIN STREET","HENRYETTA","OK","74437-4433","US","29951","918-652-2566","mobil oil Retailers","35.439495","-95.979031","<MISSING>"
"https://mobiloil.com","AutoZone","1112 Carl Albert","Mcalester","OK","74501","US","15859","918-423-8444","mobil oil Retailers","34.93845","-95.787897","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","502 E CARL ALBERT PARKWAY","MCALESTER","OK","74501-5048","US","27768","918-423-3245","mobil oil Retailers","34.931873","-95.764354","<MISSING>"
"https://mobiloil.com","Napa","126 South Hughes Ave","Morris","OK","74445","US","14742","918-733-4251","mobil oil Retailers","35.608779","-95.860577","<MISSING>"
"https://mobiloil.com","Advance Auto Parts","1100 E Carl Albert Pkwy","Mcalester","OK","74501","US","25624","<MISSING>","mobil oil Retailers","34.928822","-95.75438","<MISSING>"
"https://mobiloil.com","Napa","414 S Main","Mc Alester","OK","74501","US","12099","918-423-4026","mobil oil Retailers","34.927631","-95.770229","<MISSING>"
"https://mobiloil.com","Walmart","432 S George Nigh Expy","McAlester","OK","74501","US","146","918-423-8585","mobil oil Retailers","34.920147","-95.744282","<MISSING>"
"https://mobiloil.com","Walmart","1800 S Wood Dr","Okmulgee","OK","74447","US","117","918-756-6790","mobil oil Retailers","35.605437","-95.961853","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","220 SOUTH WOOD DRIVE","OKMULGEE","OK","74447-4748","US","30604","918-756-3533","mobil oil Retailers","35.621753","-95.960824","<MISSING>"
"https://mobiloil.com","AutoZone","104 N Wood Dr","Okmulgee","OK","74447","US","15876","918-756-1436","mobil oil Retailers","35.624111","-95.960952","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","1400 EAST MAIN STREET","STIGLER","OK","74462-2802","US","30440","918-967-2811","mobil oil Retailers","35.255894","-95.135374","<MISSING>"
"https://mobiloil.com","Napa","301 West Main","Stigler","OK","74462","US","14087","918-967-4651","mobil oil Retailers","35.254766","-95.127954","<MISSING>"
"https://mobiloil.com","Walmart","1312 E Main St","Stigler","OK","74462","US","260","918-967-4637","mobil oil Retailers","35.253862","-95.11038","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","626 HWY 2 NORTH","WILBURTON","OK","74578-3628","US","29048","918-465-3309","mobil oil Retailers","34.91898","-95.311284","<MISSING>"
"https://mobiloil.com","Napa","601 East Highway 9","Wetumka","OK","74883","US","9837","405-452-3372","mobil oil Retailers","35.232012","-96.234725","<MISSING>"
"https://mobiloil.com","Napa","501 North Main Street","Gore","OK","74435","US","9855","918-489-5525","mobil oil Retailers","35.532211","-95.114653","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","220 NORTH 32ND STREET","MUSKOGEE","OK","74401-2103","US","28433","918-686-8837","mobil oil Retailers","35.756854","-95.401974","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","301 N YORK ST","MUSKOGEE","OK","74403-4641","US","29747","918-686-0490","mobil oil Retailers","35.741856","-95.341164","<MISSING>"
"https://mobiloil.com","Advance Auto Parts","800 N York St","Muskogee","OK","74403","US","24798","<MISSING>","mobil oil Retailers","35.750607","-95.340007","<MISSING>"
"https://mobiloil.com","Napa","205 W Main St","Haskell","OK","74436","US","11737","918-482-3055","mobil oil Retailers","35.819512","-95.676429","<MISSING>"
"https://mobiloil.com","Walmart","1000 W Shawnee St","Muskogee","OK","74401","US","126","918-687-0058","mobil oil Retailers","35.770733","-95.371931","<MISSING>"
"https://mobiloil.com","AutoZone","1900 N Main St","Muskogee","OK","74401","US","15850","918-683-3141","mobil oil Retailers","35.768143","-95.357582","<MISSING>"
"https://mobiloil.com","O'Reilly Auto Parts","1907 NORTH MAIN STREET","MUSKOGEE","OK","74401-4130","US","30684","918-682-4880","mobil oil Retailers","35.768889","-95.358769","<MISSING>"
"https://mobiloil.com","Napa","102 Woody Guthrie","Okemah","OK","74859","US","9567","918-623-1544","mobil oil Retailers","35.431398","-96.298878","<MISSING>"
