"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://scoregolf.com","108 RESORT GOLF COURSE in 108 Mile Ranch, British Columbia, Canada","4816 Telqua Drive","108 Mile Ranch","British Columbia","V0K2Z0","CA","<MISSING>","250-791-5465","ScoreGolf Club","51.7420020000","-121.3384530000","<MISSING>","https://scoregolf.com/golf-course-guide/108-resort-golf-course-108-mile-ranch-british-columbia-canada"
"https://scoregolf.com","17 WING WINNIPEG GOLF CLUB in Winnipeg, Manitoba, Canada","17 Wing Suite 187","Winnipeg","Manitoba","R3J3Y5","CA","<MISSING>","204-832-8436","ScoreGolf Club","49.8354820000","-97.0620890000","<MISSING>","https://scoregolf.com/golf-course-guide/17-wing-winnipeg-golf-club-winnipeg-manitoba-canada"
"https://scoregolf.com","4 SEASONS COUNTRY CLUB in Claremont, Ontario, Canada","1900 8th Concession Road","Claremont","Ontario","L1Y 1A2","CA","<MISSING>","905-649-2436","ScoreGolf Club","43.9576570000","-79.1180230000","<MISSING>","https://scoregolf.com/golf-course-guide/4-seasons-country-club-claremont-ontario-canada"
"https://scoregolf.com","A-GEM GOLF COURSE in Cormack, Newfoundland, Canada","13 Aspen Avenue","Cormack","Newfoundland","A8A 2L7","CA","<MISSING>","709-635-7080","ScoreGolf Club","<MISSING>","<MISSING>","<MISSING>","https://scoregolf.com/golf-course-guide/a-gem-golf-course-cormack-newfoundland-canada"
"https://scoregolf.com","ABERCROMBIE GOLF CLUB in New Glasgow, Nova Scotia, Canada","RR #3 P.O. Box 516","New Glasgow","Nova Scotia","B2H5E7","CA","<MISSING>","902-752-6249","ScoreGolf Club","45.5854644000","-62.6455650000","<MISSING>","https://scoregolf.com/golf-course-guide/abercrombie-golf-club-new-glasgow-nova-scotia-canada"
"https://scoregolf.com","ABERDEEN GLEN GOLF CLUB in Prince George, British Columbia, Canada","1010 Clubhouse Drive","Prince George","British Columbia","V2K5R7","CA","<MISSING>","250-563-8901","ScoreGolf Club","53.9505700000","-122.7510720000","<MISSING>","https://scoregolf.com/golf-course-guide/aberdeen-glen-golf-club-prince-george-british-columbia-canada"
"https://scoregolf.com","ABERDEEN HILLS GOLF CLUB in Kamloops, British Columbia, Canada","1185 Links Way","Kamloops","British Columbia","V1S1S8","CA","<MISSING>","250-828-1149","ScoreGolf Club","50.6408840000","-120.3715540000","<MISSING>","https://scoregolf.com/golf-course-guide/aberdeen-hills-golf-club-kamloops-british-columbia-canada"
"https://scoregolf.com","ABITIBI GOLF CLUB in Iroquois Falls, Ontario, Canada","101 Park Street","Iroquois Falls","Ontario","P0K 1E0","CA","<MISSING>","705-258-3590","ScoreGolf Club","48.7668290000","-80.6756890000","<MISSING>","https://scoregolf.com/golf-course-guide/abitibi-golf-club-iroquois-falls-ontario-canada"
"https://scoregolf.com","ACME DISTRICT GOLF COURSE in Acme, Alberta, Canada","Box 581","Acme","Alberta","T0M0A0","CA","<MISSING>","403-546-4020","ScoreGolf Club","51.5001180000","-113.5019520000","<MISSING>","https://scoregolf.com/golf-course-guide/acme-district-golf-course-acme-alberta-canada"
"https://scoregolf.com","ACTON GOLF CLUB in Acton, Ontario, Canada","4955 Dublin Line","Acton","Ontario","L7J 2M2","CA","<MISSING>","1-888-833-8787","ScoreGolf Club","43.6436340000","-80.0827580000","<MISSING>","https://scoregolf.com/golf-course-guide/acton-golf-club-acton-ontario-canada"
