"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://shawfloors.com","AIRDRIE FLOORING Ltd.","3 Kingsview Rd SE Unit 104","Airdrie","AB","T4A 0A8","CA","<MISSING>","587-254-8720","<MISSING>","<MISSING>","<MISSING>","Mon-Thurs: 9:00 am - 6:00 pm Fri: 9:00 am - 5:00 pm Sat: 10:00 am - 3:00 pm","https://shawfloors.com/stores/dealerprofile/15006/airdrie-flooring-ltd"
"https://shawfloors.com","A & B CARPET SALES & INSTALLATIONS LTD","4643 37 St SW","Calgary","AB","T3E 3C8","CA","<MISSING>","403-249-9151","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://shawfloors.com/stores/dealerprofile/39424/a-and-b-carpet-sales-and-installations-ltd"
"https://shawfloors.com","AFTER EIGHT INTERIORS","2-4100 106 Ave SE","Calgary","AB","T2C 5B6","CA","<MISSING>","403-571-4570","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://shawfloors.com/stores/dealerprofile/28976/after-eight-interiors"
"https://shawfloors.com","ALL FLOORS DESIGN CENTRE","4950 110 Ave SE","Calgary","AB","T2C 3E2","CA","<MISSING>","403-444-5888","<MISSING>","<MISSING>","<MISSING>","Monday to Friday: 9:00 AM to 5:30 PM Saturday: 10:00 AM to 4:00 PM Sunday	Closed","https://shawfloors.com/stores/dealerprofile/14930/all-floors-design-centre"
"https://shawfloors.com","CANWEST FLOORING INC","2419 52 Ave SE Unit 1","Calgary","AB","T2C 4X7","CA","<MISSING>","403-253-4441","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://shawfloors.com/stores/dealerprofile/43812/canwest-flooring-inc"
"https://shawfloors.com","CARPET MILLS","10-727 33 St NE","Calgary","AB","T2A 6M6","CA","<MISSING>","403-248-0840","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://shawfloors.com/stores/dealerprofile/15131/carpet-mills"
"https://shawfloors.com","CARPETS FOR LESS","3504 114 Ave SE","Calgary","AB","T2Z 3V6","CA","<MISSING>","403-252-3535","<MISSING>","<MISSING>","<MISSING>","Monday to Thursday: 9 am to 6 pm Friday: 9 am to 5 pm Saturday: 10 am to 5 pm Sunday: Closed","https://shawfloors.com/stores/dealerprofile/39421/carpets-for-less"
"https://shawfloors.com","CDL CARPET & FLOOR CENTRE","11752 Sarcee Trail NW","Calgary","AB","T3R 0A1","CA","<MISSING>","403-275-3304","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://shawfloors.com/stores/dealerprofile/40177/cdl-carpet-and-floor-centre"
"https://shawfloors.com","CDL CARPET & FLOOR CENTRE","7265 11 St SE","Calgary","AB","T2H 2S1","CA","<MISSING>","403-255-1811","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://shawfloors.com/stores/dealerprofile/15011/cdl-carpet-and-floor-centre"
"https://shawfloors.com","CENTURY CARPET ONE","1115 11th Ave SW","Calgary","AB","T2R 0G5","CA","<MISSING>","587-317-5327","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://shawfloors.com/stores/dealerprofile/47714/century-carpet-one"
