"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.tranesupply.com","Trane Supply - San Antonio East","4940 Eisenhauer Rd","San Antonio","TX","78218","US","<MISSING>","(210) 399-4176","<MISSING>","29.4959377","-98.394524","M-F, 7:30am - 5pm, Saturday, Closed, Sunday, Closed","https://www.tranesupply.com/store-locator?q=78154"
"https://www.tranesupply.com","Trane Supply - San Antonio","2469 Freedom Dr","San Antonio","TX","78217","US","<MISSING>","(210) 804-2223","<MISSING>","29.5318432","-98.4509538","M-F, 7:30am - 5pm, Saturday, Closed, Sunday, Closed","https://www.tranesupply.com/store-locator?q=78154"
"https://www.tranesupply.com","Bullock Trane Service Agency, Inc","715 N Hogan Street","Spokane","WA","99202","US","<MISSING>","(509) 535-9057","<MISSING>","47.6636199","-117.3889413","<MISSING>","https://www.tranesupply.com/store-locator?q=99031"
"https://www.tranesupply.com","Gensco, Inc. - Spokane","5808 East Sharp","Spokane","WA","99212","US","<MISSING>","<MISSING>","<MISSING>","47.6680514","-117.3269617","<MISSING>","https://www.tranesupply.com/store-locator?q=99031"
"https://www.tranesupply.com","Trane Supply - Albuquerque","5501 San Diego Ave NE","Albuquerque","NM","87113","US","<MISSING>","(505) 883-0630","<MISSING>","35.1936299","-106.5835443","M-F, 7am - 5pm, Saturday, Closed, Sunday, Closed","https://www.tranesupply.com/store-locator?q=87016"
"https://www.tranesupply.com","Gustave A. Larson Company - Rockford","3016 Eastrock Dr","Rockford","IL","61109","US","<MISSING>","<MISSING>","<MISSING>","42.2322551","-89.0116846","<MISSING>","https://www.tranesupply.com/store-locator?q=61027"
"https://www.tranesupply.com","Ferguson - Ohio HVAC - Cleveland","4620 Hinckley Industrial Pkwy","Cleveland","OH","44109","US","<MISSING>","<MISSING>","<MISSING>","41.4274961","-81.6809754","<MISSING>","https://www.tranesupply.com/store-locator?q=44140"
"https://www.tranesupply.com","Trane Supply - Valley View","6050 Towpath Dr","Valley View","OH","44125","US","<MISSING>","(216) 539-1551","<MISSING>","41.398267","-81.6200114","M-F, 7am - 5pm, Saturday, Closed, Sunday, Closed","https://www.tranesupply.com/store-locator?q=44140"
"https://www.tranesupply.com","Trane Supply - Cleveland","6050 TowPath Drive","Valley View","OH","44125","US","<MISSING>","(216) 539-1551","<MISSING>","41.398267","-81.6200114","<MISSING>","https://www.tranesupply.com/store-locator?q=44140"
"https://www.tranesupply.com","Ferguson - Ohio HVAC","10040 Aurora Hudson Rd","Streetsboro","OH","44241","US","<MISSING>","<MISSING>","<MISSING>","41.2637914","-81.376243","<MISSING>","https://www.tranesupply.com/store-locator?q=44140"
