locator_domain,location_name,street_address,city,state,zip,country_code,store_number,phone,location_type,latitude,longitude,hours_of_operation,page_url
http://weingartenrealty.propertycapsule.com/,Fountain Plaza,McDowell Rd at 77th St,Scottsdale,AZ,85257,US,<MISSING>,<MISSING>,<MISSING>,33.4672,-111.9131,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/scottsdale/arizona+/fountainplaza/overview
http://weingartenrealty.propertycapsule.com/,Lakeside Marketplace,Cobb Pkwy near Mars Hill Rd,Acworth,GA,30101,US,<MISSING>,<MISSING>,<MISSING>,34.038027,-84.684342,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Acworth-GA
http://weingartenrealty.propertycapsule.com/,North Towne Plaza,Wyoming Blvd at Academy Rd,Albuquerque,NM,87109,US,<MISSING>,<MISSING>,<MISSING>,35.14703,-106.555651,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Albuquerque-NM
http://weingartenrealty.propertycapsule.com/,West Alex,King St at North Beauregard St,Alexandria,VA,22206,US,<MISSING>,<MISSING>,<MISSING>,38.840986,-77.107764,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/alexandria/virginia+/westalex/overview
http://weingartenrealty.propertycapsule.com/,Mansell Crossing,N Point Pkwy at Mansell Rd,Alpharetta,GA,30022,US,<MISSING>,<MISSING>,<MISSING>,34.04433,-84.30177,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Alpharetta-GA
http://weingartenrealty.propertycapsule.com/,Centro Arlington,Columbia Pike at George Mason Dr,Arlington,VA,22204,US,<MISSING>,<MISSING>,<MISSING>,38.859105,-77.102493,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Arlington-VA
http://weingartenrealty.propertycapsule.com/,Publix at Princeton Lakes,Princeton Lakes Pkwy at Camp Creek Pkwy,Atlanta,GA,30344,US,<MISSING>,<MISSING>,<MISSING>,33.655575,-84.5108,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/atlanta/georgia/publixatprincetonlakes/overview
http://weingartenrealty.propertycapsule.com/,Aurora City Place,Alameda Ave at I-225,Aurora,CO,80012,US,<MISSING>,<MISSING>,<MISSING>,39.714656,-104.823566,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Aurora-CO
http://weingartenrealty.propertycapsule.com/,Mueller Regional Retail Center,I-35 at E 51st St,Austin,TX,78723,US,<MISSING>,<MISSING>,<MISSING>,30.305707,-97.710024,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Austin-TX
http://weingartenrealty.propertycapsule.com/,North Park Plaza,Eastex Fwy at Dowlen Rd,Beaumont,TX,77708,US,<MISSING>,<MISSING>,<MISSING>,30.126892,-94.154595,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Beaumont-TX
http://weingartenrealty.propertycapsule.com/,Centerwood Plaza,Lakewood Blvd at Alondra Blvd,Bellflower,CA,90706,US,<MISSING>,<MISSING>,<MISSING>,33.888444,-118.141834,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Bellflower-CA
http://weingartenrealty.propertycapsule.com/,Southampton Center,Southampton Rd at I-780,Benicia,CA,94510,US,<MISSING>,<MISSING>,<MISSING>,38.06622,-122.166681,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Benicia-CA
http://weingartenrealty.propertycapsule.com/,Boca Lyons Plaza,Glades Rd at Lyons Rd,Boca Raton,FL,33434,US,<MISSING>,<MISSING>,<MISSING>,26.366844,-80.188053,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Boca+Raton-FL
http://weingartenrealty.propertycapsule.com/,North Towne Plaza,US 77 at FM 802,Brownsville,TX,78520,US,<MISSING>,<MISSING>,<MISSING>,25.951871,-97.509708,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Brownsville-TX
http://weingartenrealty.propertycapsule.com/,Northwoods Shopping Center,Harrison Ave at Maynard Rd,Cary,NC,27513,US,<MISSING>,<MISSING>,<MISSING>,35.801696,-78.784158,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/cary/north+carolina/northwoods/overview
http://weingartenrealty.propertycapsule.com/,580 Market Place,E Castro Valley Blvd at I-580,Castro Valley,CA,94552,US,<MISSING>,<MISSING>,<MISSING>,37.694934,-122.051529,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Castro+Valley-CA
http://weingartenrealty.propertycapsule.com/,Raintree Ranch Center,W Ray Rd at Loop 101,Chandler,AZ,85224,US,<MISSING>,<MISSING>,<MISSING>,33.319226,-111.891971,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Chandler-AZ
http://weingartenrealty.propertycapsule.com/,Galleria Shopping Center,Galleria Blvd at Sardis Rd N,Charlotte,NC,28270,US,<MISSING>,<MISSING>,<MISSING>,35.138874,-80.733161,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Charlotte-NC
http://weingartenrealty.propertycapsule.com/,Chino Hills Marketplace,Chino Hills Pkwy at Pipeline Ave,Chino Hills,CA,91709,US,<MISSING>,<MISSING>,<MISSING>,33.983688,-117.713453,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Chino+Hills-CA
http://weingartenrealty.propertycapsule.com/,Sunset Point 19,US 19 at Sunset Point Rd,Clearwater,FL,33765,US,<MISSING>,<MISSING>,<MISSING>,27.988755,-82.731069,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/clearwater/florida/sunsetpoint19/overview
http://weingartenrealty.propertycapsule.com/,Clermont Landing,US 27 at Steve's Rd,Clermont,FL,34711,US,<MISSING>,<MISSING>,<MISSING>,28.537585,-81.735047,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Clermont-FL
http://weingartenrealty.propertycapsule.com/,Rock Prairie Marketplace,Rock Prairie Rd at SH 6,College Station,TX,77845,US,<MISSING>,<MISSING>,<MISSING>,30.584938,-96.283305,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/College+Station-TX
http://weingartenrealty.propertycapsule.com/,Embassy Lakes Shopping Center,Hiatus Rd at Sheridan St,Cooper City,FL,33026,US,<MISSING>,<MISSING>,<MISSING>,26.031345,-80.295644,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Cooper+City-FL
http://weingartenrealty.propertycapsule.com/,Covington Esplanade,SE 272nd St at 185th Ave,Covington,WA,98042,US,<MISSING>,<MISSING>,<MISSING>,47.358822,-122.097071,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Covington-WA
http://weingartenrealty.propertycapsule.com/,North Decatur Station,N Decatur Rd at Church St,Decatur,GA,30030,US,<MISSING>,<MISSING>,<MISSING>,33.792561,-84.284275,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Decatur-GA
http://weingartenrealty.propertycapsule.com/,Shoppes at Deerfield,W Hillsboro Blvd at Powerline Rd,Deerfield Beach,FL,33442,US,<MISSING>,<MISSING>,<MISSING>,26.316613,-80.156288,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Deerfield+Beach-FL
http://weingartenrealty.propertycapsule.com/,Lowry Town Center,Quebec St at E 2nd Ave,Denver,CO,80230,US,<MISSING>,<MISSING>,<MISSING>,39.720128,-104.902227,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Denver-CO
http://weingartenrealty.propertycapsule.com/,Hope Valley Commons,SH 54 at SH 751,Durham,NC,27707,US,<MISSING>,<MISSING>,<MISSING>,35.918398,-78.95852,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/durham/north+carolina/hopevalleycommons/overview
http://weingartenrealty.propertycapsule.com/,Edgewater Marketplace,Sheridan Blvd at W 17th Ave,Edgewater,CO,80214,US,<MISSING>,<MISSING>,<MISSING>,39.744653,-105.054601,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Edgewater-CO
http://weingartenrealty.propertycapsule.com/,El Camino Promenade,El Camino Real at Via Molena,Encinitas,CA,92024,US,<MISSING>,<MISSING>,<MISSING>,33.049771,-117.261211,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Encinitas-CA
http://weingartenrealty.propertycapsule.com/,Overton Park Plaza,SW Loop 820 at S Hulen St,Fort Worth,TX,76109,US,<MISSING>,<MISSING>,<MISSING>,32.682852,-97.394799,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Fort+Worth-TX
http://weingartenrealty.propertycapsule.com/,Freedom Centre,Freedom Blvd at Airport Blvd,Freedom,CA,95019,US,<MISSING>,<MISSING>,<MISSING>,36.938773,-121.775221,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Freedom-CA
http://weingartenrealty.propertycapsule.com/,Gateway Plaza,Paseo Padre Pkwy at Mowry Ave,Fremont,CA,94538,US,<MISSING>,<MISSING>,<MISSING>,37.553824,-121.979849,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Fremont-CA
http://weingartenrealty.propertycapsule.com/,Galveston Place,61st St at Central City Blvd,Galveston,TX,77551,US,<MISSING>,<MISSING>,<MISSING>,29.269951,-94.828774,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Galveston-TX
http://weingartenrealty.propertycapsule.com/,Grayson Commons,Grayson Hwy at Rosebud Rd,Grayson,GA,30017,US,<MISSING>,<MISSING>,<MISSING>,33.897617,-83.961452,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Grayson-GA
http://weingartenrealty.propertycapsule.com/,Surf City Crossing,SH 210 at US 17,Hampstead,NC,28443,US,<MISSING>,<MISSING>,<MISSING>,34.451024,-77.604898,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Hampstead-NC
http://weingartenrealty.propertycapsule.com/,Clackamas Square,SE 82nd Ave at SE Causey Ave,Happy Valley,OR,97086,US,<MISSING>,<MISSING>,<MISSING>,45.442007,-122.577655,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Happy+Valley-OR
http://weingartenrealty.propertycapsule.com/,Hollywood Hills Plaza,Hollywood Blvd at North Park Rd,Hollywood,FL,33021,US,<MISSING>,<MISSING>,<MISSING>,26.013142,-80.173615,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Hollywood-FL
http://weingartenrealty.propertycapsule.com/,York Plaza,Little York & I-45,Houston,TX,77076,US,<MISSING>,<MISSING>,<MISSING>,29.872011,-95.40471,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/houston/texas/yorkplazaland/overview
http://weingartenrealty.propertycapsule.com/,Kernan Village,Atlantic Blvd at Kernan Blvd,Jacksonville,FL,32225,US,<MISSING>,<MISSING>,<MISSING>,30.317892,-81.491296,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/jacksonville/florida/kernanvillage/overview
http://weingartenrealty.propertycapsule.com/,TJ Maxx Plaza,SW 117th Ave at Sunset Dr,Kendall,FL,33183,US,<MISSING>,<MISSING>,<MISSING>,25.698366,-80.383063,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Kendall-FL
http://weingartenrealty.propertycapsule.com/,Kings Crossing,Kingwood Dr at W Lake Houston Pkwy,Kingwood,TX,77345,US,<MISSING>,<MISSING>,<MISSING>,30.049042,-95.181739,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Kingwood-TX
http://weingartenrealty.propertycapsule.com/,Plantation Centre,Del Mar Blvd at McPherson Rd,Laredo,TX,78045,US,<MISSING>,<MISSING>,<MISSING>,27.575108,-99.47263,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/laredo/texas/plantationcentre/overview
http://weingartenrealty.propertycapsule.com/,Largo Mall,Ulmerton Rd at Seminole Blvd,Largo,FL,33771,US,<MISSING>,<MISSING>,<MISSING>,27.891925,-82.783833,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Largo-FL
http://weingartenrealty.propertycapsule.com/,Rancho Towne & Country,Rancho Dr at Charleston Blvd,Las Vegas,NV,89106,US,<MISSING>,<MISSING>,<MISSING>,36.159591,-115.174003,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/las+vegas/nevada/ranchotownecountry/overview
http://weingartenrealty.propertycapsule.com/,League City Plaza,I-45 at FM 518,League City,TX,77573,US,<MISSING>,<MISSING>,<MISSING>,29.501952,-95.111129,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/League+City-TX
http://weingartenrealty.propertycapsule.com/,The Westside Center,W Pico Blvd at Westwood Blvd,Los Angeles,CA,90064,US,<MISSING>,<MISSING>,<MISSING>,34.040541,-118.428452,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/los+angeles/california+/thewestsidecenter/overview
http://weingartenrealty.propertycapsule.com/,Festival at Jefferson Court,Outer Loop at Jefferson Blvd,Louisville,KY,40219,US,<MISSING>,<MISSING>,<MISSING>,38.139071,-85.677679,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Louisville-KY
http://weingartenrealty.propertycapsule.com/,Gladden Farms Marketplace,Tangerine Farms Rd at Lon Adams Rd,Marana,AZ,85653,US,<MISSING>,<MISSING>,<MISSING>,32.428088,-111.207878,<MISSING>,http://weingartenrealty.propertycapsule.com/cre/commercial-real-estate-listings/Marana-AZ
