"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","service","latitude","longitude","hours_of_operation","page_url"
"https://www.altamed.org/","AltaMed Medical and Dental Group - Anaheim Lincoln","1814 West Lincoln Ave.","Anaheim","CA","92801","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Senior Care, Dentist, Pharmacy","<MISSING>","<MISSING>","Dental M/W/F 8 am - 5 pm T/Th 9 am - 5 pm Sat 8 am - 4:30 pm Medical M/W/F 8 am - 5 pm T/Th 9 am - 5 pm Pharmacy M-F 9 am - 12:30 pm M-F 1:30 pm - 6 pm","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Medical Group - Anaheim Lincoln West","1820 West Lincoln Ave.","Anaheim","CA","92801","US","<MISSING>","(888) 499-9303","AltaMed Location","<MISSING>","<MISSING>","<MISSING>","<MISSING>","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Urgent Care - Anaheim","1325 N. Anaheim Blvd.","Anaheim","CA","92801","US","<MISSING>","(888) 499-9303","AltaMed Location","Urgent Care","<MISSING>","<MISSING>","Medical M-F 1 pm - 9 pm Sat 9 am - 6 pm","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Medical and Dental Group  Anaheim","1325 N. Anaheim Blvd.","Anaheim","CA","92801","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Dentist","<MISSING>","<MISSING>","Dental M/W/F 8 am - 5 pm T/Th 9 am - 5 pm Sat 8 am - 4:30 pm Medical M/W/F 8 am - 5 pm T/Th 9 am - 5 pm","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Medical and Dental Group - Goodrich","972 Goodrich Blvd.","Commerce","CA","90022","US","<MISSING>","(888) 499-9303","AltaMed Location","Pediatrics, Urgent Care, Pharmacy, Women's Health, Dentist","<MISSING>","<MISSING>","Dental M/W/F 8 am - 5 pm T/Th 9 am - 5 pm Medical M/W/F 8 am - 5 pm T/Th 9 am - 5 pm Urgent Care M-F 9 am - 9 pm Sat 9 am - 6 pm Sun 11 am - 6 pm Pharmacy M-F 9 am - 12:30 pm M-F 1:30 pm - 7 pm","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Dvl - El Monte HIV/aids","10418 Valley Blvd.","El Monte","CA","91731","US","<MISSING>","(888) 499-9303","AltaMed Location","HIV Care","<MISSING>","<MISSING>","Medical M 8 am - 12 pm (2nd and 4th)","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Medical El Monte and Dental Group","10418 Valley Blvd.","El Monte","CA","91731","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Pediatrics, HIV Care, Women's Health, Dentist","<MISSING>","<MISSING>","Dental M/T/Th/F 8 am - 7 pm W 8 am - 5 pm Sat 8 am - 4:30 pm Medical M/W/F 8 am - 9 pm T/Th 9 am - 9 pm Sat 8 am - 5 pm","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Medical Group - Garden Grove","12751 Harbor Blvd.","Garden Grove","CA","92840","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Pediatrics, Senior Care, Pharmacy, Women's Health","<MISSING>","<MISSING>","Medical M/W/F 8 am - 9 pm T/Th 9 am - 9 pm Sat 8 am - 6 pm Sun 10 am - 6 pm Pharmacy M-F 9 am - 12:30 pm M-F 1:30 pm - 6 pm","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Medical and Dental Group - Huntington Beach","8041 Newman Ave.","Huntington Beach","CA","92647","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Pediatrics, Senior Care, Women's Health, Dentist","<MISSING>","<MISSING>","Dental M/W/F 8 am - 1 pm 2 pm - 5 pm T/Th 9 am -  1 pm 2 pm - 5 pm Sat 8 am - 1 pm 2 pm - 5 pm Medical M/W/F 8 am - 9 pm T/Th 9 am - 9 pm Sat 8 am - 6 pm","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Medical Huntington Park","1900 E. Slauson Ave.","Huntington Park","CA","90255","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Pharmacy","<MISSING>","<MISSING>","Medical M/W/F 8 am - 5 pm T/Th 9 am - 5 pm Pharmacy M-F 8:30 am - 5:30 pm","https://www.altamed.org/find/facility?page=1"
"https://www.altamed.org/","AltaMed Dvl Commerce HIV/aids","5427 E. Whittier Blvd.","Los Angeles","CA","90022","US","<MISSING>","(888) 499-9303","AltaMed Location","HIV Care, Pharmacy","<MISSING>","<MISSING>","Medical M/W 8 am - 7 pm T/Th 9 am - 5 pm F 8 am - 5 pm Pharmacy M-F 9 am - 7:45 pm Sat 9 am - 12:45 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed General Pediatrics Grou Westlake, 3rd Street","2100 W. 3rd St.","Los Angeles","CA","90057","US","<MISSING>","(213) 413-8742","AltaMed Location","Pediatrics","<MISSING>","<MISSING>","Medical M-F 9 am - 5 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed Dental Group Westlake, 3rd Street","2100 W. 3rd St.","Los Angeles","CA","90057","US","<MISSING>","(888) 499-9303","AltaMed Location","Dentist","<MISSING>","<MISSING>","Dental M/W/F 8 am - 5 pm T/Th 9 am - 5 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed Medical Group - Ramona Gardens","1424 Crusado Lane","Los Angeles","CA","90033","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care","<MISSING>","<MISSING>","Medical M 8 am - 6:30 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed Medical Group - Westlake, 3rd Street","2100 W. 3rd St.","Los Angeles","CA","90057","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Senior Care, Women's Health","<MISSING>","<MISSING>","Medical M/W/F 8 am - 5 pm T/Th 9 am - 5 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed Medical and Dental Group - Boyle Heights","3945 Whittier Blvd.","Los Angeles","CA","90023","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Pediatrics, Senior Care, Pharmacy, Women's Health, Dentist","<MISSING>","<MISSING>","Dental M/W/F 8 am - 5 pm T/Th 9 am - 5 pm Sat 8 am - 4:30 pm Medical M/W/F 8 am - 7 pm T/Th 9 am - 7 pm Sat 8 am - 1 pm Pharmacy M-F 9 am - 6 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed Medical Group - Estrada Courts","1305 South Concord St.","Los Angeles","CA","90023","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care","<MISSING>","<MISSING>","Medical W 8 am - 6:30 pm Th 2:30 pm - 6:30 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed Medical Group - William Mead","268 East Bloom St.","Los Angeles","CA","90012","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care","<MISSING>","<MISSING>","Medical Th 9 am - 12:30 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed Med Group East Los Angeles 1st St.","2219 East 1st Street","Los Angeles","CA","90033","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Pediatrics, Dentist","<MISSING>","<MISSING>","Dental M/W 8 am - 7 pm T/Th 9 am - 7 pm F 8 am - 5 pm Sat 8 am - 4:30 pm Medical M/W/F 8 am - 5 pm T/Th 9 am - 5 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed Medical Group - Commerce","5427 E. Whittier Blvd.","Los Angeles","CA","90022","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Senior Care, Pharmacy","<MISSING>","<MISSING>","Medical M/W 8 am - 7 pm T/Th 9 am - 7 pm F 8 am - 6 pm Sat 8 am - 1 pm","https://www.altamed.org/find/facility?page=2"
"https://www.altamed.org/","AltaMed General Pediatrics At Children's Hospital","4650 W. Sunset Blvd.","Los Angeles","CA","90027","US","<MISSING>","(323) 669-2113","AltaMed Location","Pediatrics, Urgent Care","<MISSING>","<MISSING>","Medical M-Th 8 am - 8:30 pm F 9 am - 8:30 pm Sat 9 am - 6 pm Sun 10 am - 6 pm Urgent Care M-Th 8 am - 8:30 pm F 9 am - 8:30 pm Sat 9 am - 6 pm Sun 10 am - 6 pm","https://www.altamed.org/find/facility?page=3"
"https://www.altamed.org/","AltaMed Medical Group - Orange","4010 East Chapman Ave.","Orange","CA","92869","US","<MISSING>","(888) 499-9303","AltaMed Location","Primary Care, Pediatrics, Senior Care, Women's Health","<MISSING>","<MISSING>","Medical M/W 8 am - 7 pm T/Th 9 am - 7 pm F 8 am - 5 pm Sat 8 am - 1 pm","https://www.altamed.org/find/facility?page=3"
