"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.aspirus.org","Divine Savior Wellness Center","2815 New Pinery Road","Portage","WI","53901","US","494","<MISSING>","Therapy & Rehab","<MISSING>","<MISSING>","<MISSING>","https://www.aspirus.org/find-a-location/divine-savior-wellness-center-494"
"https://www.aspirus.org","Aspirus Antigo Clinic","110 E. 5th Avenue","Antigo","WI","54409","US","287","715-623-2351","Clinics - Specialty Care","45.1416889","-89.1396133","Monday-Friday 8 am - 5 pm","https://www.aspirus.org/find-a-location/aspirus-antigo-clinic-287"
"https://www.aspirus.org","Aspirus At Home - Medical Equipment","5450 West Stewart Avenue","Wausau","WI","54401","US","217","715-847-2545","Home Medical Equipment Stores","44.9562506","-89.7049","Monday-Friday 8:30 am - 5 pm","https://www.aspirus.org/find-a-location/aspirus-at-home-medical-equipment-217"
"https://www.aspirus.org","Aspirus At Home - Michigan","1101 Elevation Street","Hancock","MI","49930","US","449","906-337-5700","Hospices","47.2466876","-88.4537504","Monday - Friday 8:00 am - 4:30 pm","https://www.aspirus.org/find-a-location/aspirus-at-home-michigan-449"
"https://www.aspirus.org","Aspirus Athens Clinic","729 Pine Street","Athens","WI","54411","US","53","715-257-1687","Clinics - Primary Care","45.0287229","-90.079465","Business  Monday-Friday 8 am - 5 pm Provider  Monday-Friday 8:30 am - 5 pm","https://www.aspirus.org/find-a-location/aspirus-athens-clinic-53"
"https://www.aspirus.org","Aspirus Birnamwood Clinic","375 Main Street","Birnamwood","WI","54414","US","178","715-449-2539","Clinics - Primary Care","44.9305979","-89.2093835","Monday-Friday 8 am - 5 pm","https://www.aspirus.org/find-a-location/aspirus-birnamwood-clinic-178"
"https://www.aspirus.org","Aspirus Bruce Crossing Clinic","13833 U.S. Highway 45","Bruce Crossing","MI","49912","US","54","906-827-3201","Clinics - Primary Care","46.535465","-89.1786352","Monday - Friday 8:30 am - 5 pm","https://www.aspirus.org/find-a-location/aspirus-bruce-crossing-clinic-54"
"https://www.aspirus.org","Aspirus Business Health - Medford","103 South Gibson Street","Medford","WI","54451","US","31","715-748-8128","Therapy & Rehab","45.1360585","-90.3545558","Monday-Friday 8 am - 4:30 pm","https://www.aspirus.org/find-a-location/aspirus-business-health-medford-31"
"https://www.aspirus.org","Aspirus Business Health - Wausau","425 Wind Ridge Drive","Wausau","WI","54401","US","32","715-847-2812","Occupational Health Clinics","44.9686703","-89.6609737","Monday-Friday 8 am - 4:30 pm","https://www.aspirus.org/find-a-location/aspirus-business-health-wausau-32"
"https://www.aspirus.org","Aspirus Cardiology - Antigo","112 East Fifth Ave.","Antigo","WI","54409","US","43","800-441-4013","Occupational Health Clinics","45.1417251","-89.139442","<MISSING>","https://www.aspirus.org/find-a-location/aspirus-cardiology-antigo-43"
"https://www.aspirus.org","Aspirus Cardiology - Iron River","814 S Ice Lake Road","Iron River","MI","49935","US","44","800-441-4013","Clinics - Specialty Care","46.0997441","-88.6192244","<MISSING>","https://www.aspirus.org/find-a-location/aspirus-cardiology-iron-river-44"
"https://www.aspirus.org","Aspirus Cardiology - Ironwood","N10561 Grand View Lane","Ironwood","MI","49938","US","45","800-441-4013","Sleep Centers","46.4782891","-90.1057004","<MISSING>","https://www.aspirus.org/find-a-location/aspirus-cardiology-ironwood-45"
