"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"https://www.audiusa.com","Audi Burlington","62 Cambridge St","Burlington","MA","01803","US","401A14","(781) 272 8880","audi SVC","42.4906","-71.1916","Monday openTime 07:00 closeTime 18:00 Tuesday openTime 07:00 closeTime 18:00 Wednesday openTime 07:00 closeTime 18:00 Thursday openTime 07:00 closeTime 18:00 Friday openTime 07:00 closeTime 18:00 Saturday openTime 07:30 closeTime 16:00 "
"https://www.audiusa.com","Audi Westwood","375 Providence Highway","Westwood","MA","02090","US","401A16","(781) 234 2000","audi SVC","42.215","-71.1823","Monday openTime 07:00 closeTime 19:00 Tuesday openTime 07:00 closeTime 19:00 Wednesday openTime 07:00 closeTime 19:00 Thursday openTime 07:00 closeTime 19:00 Friday openTime 07:00 closeTime 19:00 Saturday openTime 07:00 closeTime 16:00 "
"https://www.audiusa.com","Audi West Springfield","434 Memorial Ave","West Springfield","MA","01089","US","401A17","(413) 214 6777","audi PRIM","42.0963","-72.604","<MISSING>"
"https://www.audiusa.com","Mattie Audi","80 William S Canning Blvd","Fall River","MA","02721","US","401A19","(508) 678 5555","audi SALES","41.6764","-71.1616","Monday openTime 08:45 closeTime 20:00 Tuesday openTime 08:45 closeTime 20:00 Wednesday openTime 08:45 closeTime 20:00 Thursday openTime 08:45 closeTime 20:00 Friday openTime 08:45 closeTime 18:00 Saturday openTime 08:30 closeTime 17:00 "
"https://www.audiusa.com","Flynn Audi","600 Merrill Rd","Pittsfield","MA","01201","US","401A20","(413) 443 4702","audi SVC","42.4642","-73.2055","Monday openTime 07:30 closeTime 17:00 Tuesday openTime 07:30 closeTime 17:00 Wednesday openTime 07:30 closeTime 17:00 Thursday openTime 07:30 closeTime 17:00 Friday openTime 07:30 closeTime 17:00 "
"https://www.audiusa.com","Audi Natick","549 Worcester St","Natick","MA","01760","US","401A23","(508) 651 0388","audi SALES","42.302","-71.3465","Monday openTime 09:00 closeTime 20:00 Tuesday openTime 09:00 closeTime 20:00 Wednesday openTime 09:00 closeTime 20:00 Thursday openTime 09:00 closeTime 20:00 Friday openTime 09:00 closeTime 19:00 Saturday openTime 09:00 closeTime 18:00 "
"https://www.audiusa.com","Audi Peabody","252 Andover St","Peabody","MA","01960","US","401A26","(866) 225 5472","audi PARTS","42.5475","-70.9504","Monday openTime 07:00 closeTime 18:00 Tuesday openTime 07:00 closeTime 18:00 Wednesday openTime 07:00 closeTime 18:00 Thursday openTime 07:00 closeTime 18:00 Friday openTime 07:00 closeTime 18:00 Saturday openTime 07:00 closeTime 18:00 "
"https://www.audiusa.com","Audi Norwell","59 Pond St","Norwell","MA","02061","US","401A27","(781) 261 5000","audi PARTS","42.1703","-70.8855","Monday openTime 07:00 closeTime 19:00 Tuesday openTime 07:00 closeTime 19:00 Wednesday openTime 07:00 closeTime 19:00 Thursday openTime 07:00 closeTime 19:00 Friday openTime 07:00 closeTime 18:00 Saturday openTime 08:00 closeTime 17:00 "
"https://www.audiusa.com","Audi Brookline","308 Boylston St","Brookline","MA","02445","US","401A28","(617) 734 2020","audi SALES","42.33","-71.1249","Monday openTime 08:30 closeTime 20:00 Tuesday openTime 08:30 closeTime 20:00 Wednesday openTime 08:30 closeTime 20:00 Thursday openTime 08:30 closeTime 20:00 Friday openTime 08:30 closeTime 18:00 Saturday openTime 08:30 closeTime 18:00 "
"https://www.audiusa.com","Audi Shrewsbury","780 Boston Turnpike Road","Shrewsbury","MA","01545","US","401A29","(508) 581 5800","audi PARTS","42.2775","-71.6929","Monday openTime 07:00 closeTime 19:00 Tuesday openTime 07:00 closeTime 19:00 Wednesday openTime 07:00 closeTime 19:00 Thursday openTime 07:00 closeTime 19:00 Friday openTime 07:00 closeTime 18:00 Saturday openTime 07:30 closeTime 16:00 "
"https://www.audiusa.com","Audi Cape Cod","25 Falmouth Rd.","Hyannis","MA","02601","US","401A31","(508) 815 5600","audi SALES","41.6646","-70.2888","Monday openTime 08:00 closeTime 19:00 Tuesday openTime 08:00 closeTime 19:00 Wednesday openTime 08:00 closeTime 19:00 Thursday openTime 08:00 closeTime 19:00 Friday openTime 08:00 closeTime 18:00 Saturday openTime 08:00 closeTime 17:00 "
