"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.avera.org","Avera McKennan Hospital & University Health Center","1325 S Cliff Avenue PO Box 5045","Sioux Falls","SD","57105","US","<MISSING>","+1-605-322-8000","<MISSING>","43.534134","-96.715065","<MISSING>","https://www.avera.org/locations/profile/?id=103"
"https://www.avera.org","Avera St. Luke's Hospital","305 South State Street","Aberdeen","SD","57401","US","<MISSING>","+1-605-622-5000","<MISSING>","45.4621048","-98.4792828","<MISSING>","https://www.avera.org/locations/profile/?id=126"
"https://www.avera.org","Avera Queen of Peace Hospital","525 N Foster St","Mitchell","SD","57301","US","<MISSING>","+1-605-995-2000","<MISSING>","43.713996","-98.0073656","<MISSING>","https://www.avera.org/locations/profile/?id=110"
"https://www.avera.org","Avera McKennan Fitness Center","3400 S. Southeastern Ave.","Sioux Falls","SD","57103","US","364","+1-605-322-5300","<MISSING>","43.5144385","-96.6893505","<MISSING>","https://www.avera.org/locations/profile/avera-mckennan-fitness-center/"
"https://www.avera.org","Avera Sacred Heart Hospital","501 Summit","Yankton","SD","57078","US","<MISSING>","+1-605-668-8000","<MISSING>","42.8724751","-97.4068788","<MISSING>","https://www.avera.org/locations/profile/?id=113"
"https://www.avera.org","Avera St. Anthony's Hospital","300 N 2nd St PO Box 270","O'Neill","NE","68763","US","120","+1-402-336-2611","<MISSING>","42.4600393","-98.6511027","<MISSING>","https://www.avera.org/locations/profile/avera-st-anthonys-hospital/"
"https://www.avera.org","Avera Marshall Regional Medical Center","300 S. Bruce Street","Marshall","MN","56258","US","<MISSING>","+1-507-532-9661","<MISSING>","44.4488643","-95.7762133","<MISSING>","https://www.avera.org/locations/profile/?id=326"
"https://www.avera.org","Avera St. Benedict Health Center","401 W Glynn Drive","Parkston","SD","57366","US","361","+1-605-928-3311","<MISSING>","43.398951","-97.9901131","<MISSING>","https://www.avera.org/locations/profile/avera-st-benedict-health-center/"
"https://www.avera.org","Avera Medical Group McGreevy 7th Avenue","1200 S 7th Ave","Sioux Falls","SD","57105","US","204","+1-605-336-2140","<MISSING>","43.5356451","-96.7162908","Monday - 8:00AM-5:00PM Tuesday - 8:00AM-5:00PM Wednesday - 8:00AM-5:00PM Thursday - 8:00AM-5:00PM Friday - 8:00AM-5:00PM","https://www.avera.org/locations/profile/avera-medical-group-mcgreevy-7th-avenue-sioux-falls/"
"https://www.avera.org","Avera Medical Group Brookings","400 22nd Avenue","Brookings","SD","57006-2497","US","325","+1-605-697-9500","<MISSING>","44.3024849","-96.7682512","Monday - 8:00AM-5:00PM Tuesday - 8:00AM-5:00PM Wednesday - 8:00AM-5:00PM Thursday - 8:00AM-5:00PM Friday - 8:00AM-5:00PM","https://www.avera.org/locations/profile/avera-medical-group-brookings/"
