"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.baystatehealth.org","Baystate Adolescent Medicine","50 Wason Ave","Springfield","MA","01107","US","<MISSING>","413-794-0811","urgent care","42.1242469","-72.610784","Monday-Friday: 8 a.m.-5 p.m.","https://www.baystatehealth.org/locations/childrens-specialty-center/adolescent-medicine"
"https://www.baystatehealth.org","Baystate Behavioral Health - Adult Outpatient","3300 Main Street","Springfield","MA","01107","US","<MISSING>","413-794-7035","urgent care","42.1242469","-72.610784","Monday-Friday: 8 a.m.-5 p.m.","https://www.baystatehealth.org/locations/tolosky-center/behavioral-health-adult-outpatient"
"https://www.baystatehealth.org","Baystate Behavioral Health - Adult Partial Hospitalization Program - Springfield","140 High Street","Springfield","MA","01119","US","<MISSING>","413-794-5555","urgent care","42.1242469","-72.610784","Monday-Friday: 9 a.m.-3 p.m.","https://www.baystatehealth.org/locations/behavioral-health-adult-partial-hospitalization-program-springfield"
"https://www.baystatehealth.org","Baystate Behavioral Health - Child Outpatient","3300 Main Street","Springfield","MA","01199","US","<MISSING>","413-794-1038","urgent care","42.1242469","-72.610784","Monday-Friday: 8 a.m.-5 p.m.","https://www.baystatehealth.org/locations/tolosky-center/pediatric-behavioral-health"
"https://www.baystatehealth.org","Baystate Behavioral Health - Child Partial Hospitalization Program","150 Lower Westfield Road","Holyoke","MA","01040","US","<MISSING>","413-794-5555","urgent care","42.1242469","-72.610784","Monday-Friday: 9 a.m.-3 p.m.","https://www.baystatehealth.org/locations/behavioral-health-child-partial-hospitalization-program"
"https://www.baystatehealth.org","Baystate Behavioral Health - Griswold Center","40 Wright Street","Palmer","MA","01069","US","<MISSING>","413-370-5285","urgent care","42.1242469","-72.610784","Monday-Thursday: 7:45 a.m.-7 p.m. Friday: 7:45 a.m.-6 p.m.","https://www.baystatehealth.org/locations/behavioral-health-palmer"
"https://www.baystatehealth.org","Baystate Behavioral Health - Neuropsychology","3300 Main Street","Springfield","MA","01199","US","<MISSING>","413-794-1039","urgent care","42.1242469","-72.610784","Monday-Friday: 8 a.m.-5 p.m.","https://www.baystatehealth.org/locations/baystate-behavioral-health-neuropsychology"
"https://www.baystatehealth.org","Baystate Breast And Wellness Center","100 Wason Avenue","Springfield","MA","01107","US","<MISSING>","413-794-8899","radiology","42.1251412","-72.6135977","Monday-Friday: 7 a.m.-5 pm Saturday: 7:30 a.m.-12 p.m.","https://www.baystatehealth.org/locations/breast-and-wellness-center"
"https://www.baystatehealth.org","Baystate Brightwood Health Center","380 Plainfield Street","Springfield","MA","01199","US","<MISSING>","413-794-4458","primary care","42.1172354","-72.6144394","Monday and Friday:8 a.m.-5 p.m. Tuesday, Wednesday, and Thursday:  8 a.m.-8 p.m.","https://www.baystatehealth.org/locations/brightwood-health-center-centro-de-salud"
"https://www.baystatehealth.org","Baystate Cardiac Surgery","759 Chestnut Street","Springfield","MA","01199","US","<MISSING>","413-794-5550","primary care","42.1172354","-72.6144394","9 a.m. to 5 p.m. daily","https://www.baystatehealth.org/locations/baystate-medical-center/cardiac-surgery"
"https://www.baystatehealth.org","Baystate Cardiology - Longmeadow","21 Dwight Road","Longmeadow","MA","01106","US","<MISSING>","413-794-2273","primary care","42.1172354","-72.6144394","Monday-Friday: 8 a.m.-5 p.m.","https://www.baystatehealth.org/locations/health-and-wellness-center-longmeadow/cardiology-longmeadow"
"https://www.baystatehealth.org","Baystate Cardiology - Northampton","325B King Street","Northampton","MA","01060","US","<MISSING>","413-794-2273","primary care","42.1172354","-72.6144394","Monday-Friday: 8 a.m.-5 p.m.","https://www.baystatehealth.org/locations/cardiology-northampton"
"https://www.baystatehealth.org","Baystate Cardiology - Palmer","40 Wright Street","Palmer","MA","01069","US","<MISSING>","413-370-7880","primary care","42.1172354","-72.6144394","<MISSING>","https://www.baystatehealth.org/locations/cardiology-palmer"
