"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.circlek.com","GREAT NECK","595 NORTHERN BLVD","GREAT NECK","NY","11021","US","2656141","516) 482-1534","On the Run","40.781995","-73.717503","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/great-neck/595-northern-blvd/2656141"
"https://www.circlek.com","HICKSVILLE","125 BLOOMINGDALE RD","HICKSVILLE","NY","11801","US","2655950","516)-342-6854","Circle K","40.743488","-73.505694","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/hicksville/125-bloomingdale-rd/2655950"
"https://www.circlek.com","LONG BEACH","203 E PARK AVE","LONG BEACH","NY","11561","US","2656131","516) 889-9740","Circle K","40.588929","-73.657688","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/long-beach/203-e-park-ave/2656131"
"https://www.circlek.com","NEW YORK","2165 AMSTERDAM AVE","NEW YORK","NY","10032","US","2656008","212) 568-5618","On the Run","40.838903","-73.937089","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/new-york/2165-amsterdam-ave/2656008"
"https://www.circlek.com","STAMFORD","406 W MAIN ST","STAMFORD","<MISSING>","<MISSING>","US","2654231","<MISSING>","Circle K","41.047874","-73.554771","<MISSING>","https://www.circlek.com/store-locator/US/stamford/406-w-main-st/2654231"
"https://www.circlek.com","St-John's","108 GEORGE ST. WEST","St-John's","NL","A1C 1M7","CA","2533","709-722-4642","Circle K","40.697440","-73.979440","Thursday 1:00 AM to 1:00 AM Friday 1:00 AM to 1:00 AM Saturday 1:00 AM to 1:00 AM Sunday 1:00 AM to 1:00 AM Monday 1:00 AM to 1:00 AM Tuesday 1:00 AM to 1:00 AM Wednesday 1:00 AM to 1:00 AM","https://www.circlek.com/store-locator/Canada/st-john-s/108-george-st-west/2533"
"https://www.circlek.com","HASBROUCK HEIGHTS","133 STATE RTE 17 S","HASBROUCK HEIGHTS","NJ","07604","US","2655669","201-393-0583","Circle K","40.854509","-74.072213","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/hasbrouck-heights/133-state-rte-17-s/2655669"
"https://www.circlek.com","ORADELL","444 KINDERKAMACK RD","ORADELL","NJ","07649","US","2655848","201-632-5158","Circle K","40.955514","-74.031147","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/oradell/444-kinderkamack-rd/2655848"
"https://www.circlek.com","GARFIELD","99 RIVER DR","GARFIELD","NJ","07026","US","2654039","973-777-4097","Circle K","40.863708","-74.106471","Thursday 5:00 AM to 11:00 PM Friday 5:00 AM to 11:00 PM Saturday 5:00 AM to 11:00 PM Sunday 5:00 AM to 11:00 PM Monday 5:00 AM to 11:00 PM Tuesday 5:00 AM to 11:00 PM Wednesday 5:00 AM to 11:00 PM","https://www.circlek.com/store-locator/US/garfield/99-river-dr/2654039"
"https://www.circlek.com","BAYONNE","640-650 AVENUE E","BAYONNE","NJ","07002","US","2655849","551-265-7874","Circle K","40.675758","-74.104499","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/bayonne/640-650-avenue-e/2655849"
"https://www.circlek.com","ELIZABETH","300-310 ELIZABETH AVE","ELIZABETH","<MISSING>","<MISSING>","US","2654219","<MISSING>","Circle K","40.650508","-74.195019","<MISSING>","https://www.circlek.com/store-locator/US/elizabeth/300-310-elizabeth-ave/2654219"
"https://www.circlek.com","ELIZABETH","508 BRUNSWICK AVE","ELIZABETH","NJ","07202","US","2655635","908) 352-5534","Circle K","40.64408","-74.21205","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/elizabeth/508-brunswick-ave/2655635"
"https://www.circlek.com","LINDEN","801 EDGAR RD #889","LINDEN","<MISSING>","<MISSING>","US","2655638","<MISSING>","Circle K","40.648898","-74.223624","<MISSING>","https://www.circlek.com/store-locator/US/linden/801-edgar-rd-889/2655638"
"https://www.circlek.com","HIGHLANDS","102 BAY AVE","HIGHLANDS","NJ","07732","US","2655758","732) 708-9274","Circle K","40.400421","-73.984701","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/highlands/102-bay-ave/2655758"
"https://www.circlek.com","WAYNE","1150 HAMBURG TPKE","WAYNE","NJ","07470","US","2655767","973) 686-1603","Circle K","40.960838","-74.241091","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/wayne/1150-hamburg-tpke/2655767"
"https://www.circlek.com","FAIRFIELD","2120 BLACK ROCK TPKE","FAIRFIELD","CT","06825","US","2656057","203) 336-1266","On the Run","41.1818491","-73.2512245","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/fairfield/2120-black-rock-tpke/2656057"
"https://www.circlek.com","WAYNE","1431 RTE 23 S","WAYNE","NJ","07470","US","2656046","973) 694-4869","Circle K","40.932777","-74.269798","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/wayne/1431-rte-23-s/2656046"
"https://www.circlek.com","KEANSBURG","120 CARR AVE","KEANSBURG","NJ","07734","US","2655759","732) 495-1367","Circle K","40.450933","-74.134259","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/keansburg/120-carr-ave/2655759"
"https://www.circlek.com","CLARK","226 WESTFIELD AVE","CLARK","NJ","07066","US","2655915","917-957-3768","Circle K","40.622312","-74.304854","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/clark/226-westfield-ave/2655915"
"https://www.circlek.com","COLONIA","78 GARDEN STATE PKWY N","COLONIA","NJ","07067","US","2655634","732) 388-4199","Circle K","40.587990","-74.321960","Thursday Open 24h Friday Open 24h Saturday Open 24h Sunday Open 24h Monday Open 24h Tuesday Open 24h Wednesday Open 24h","https://www.circlek.com/store-locator/US/colonia/78-garden-state-pkwy-n/2655634"
