"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.signaturestyle.com","Head Start - WHITESTONE CENTER","9200 Highway 119 Ste 800","Alabaster","AL","35007","US","Locations","(205) 621-7767","Salons","33.213506","-86.825419","Monday-Friday 9:00 AM - 5:00 PM Saturday 9:00 AM - 5:00 PM Sunday Closed","https://www.signaturestyle.com/locations/al/alabaster/head-start-whitestone-center-haircuts-60204.html"
"https://www.signaturestyle.com","Cost Cutters - INSIDE WALMART #661","1011 Us Highway 72 E","Athens","AL","35611","US","Locations","(256) 771-1640","Salons","34.788261","-86.958818","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 11:00 AM - 5:00 PM","https://www.signaturestyle.com/locations/al/athens/cost-cutters-inside-walmart-661-haircuts-15988.html"
"https://www.signaturestyle.com","Cost Cutters - LOCATED INSIDE WALMART #661","1011 Us Highway 72 E","Athens","AL","35611","US","Locations","(256) 771-1640","Salons","34.788261","-86.958818","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 11:00 AM - 5:00 PM","https://www.signaturestyle.com/locations/al/athens/cost-cutters-located-inside-walmart-661-haircuts-15988.html"
"https://www.signaturestyle.com","HairMasters - SHOPPES AT CARY CREEK","2900 E University Dr Ste 100","Auburn","AL","36830","US","Locations","(334) 887-3362","Salons","32.638041","-85.479728","Monday-Friday 10:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 1:00 PM - 5:00 PM","https://www.signaturestyle.com/locations/al/auburn/hairmasters-shoppes-at-cary-creek-haircuts-60922.html"
"https://www.signaturestyle.com","Head Start - COLONIAL PROMENADE","1628 Highway 11 Ste 104","Birmingham","AL","35235","US","Locations","(205) 655-4446","Salons","33.603909","-86.639761","Monday-Friday 9:00 AM - 8:00 PM Saturday 9:00 AM - 6:00 PM Sunday 1:00 PM - 6:00 PM","https://www.signaturestyle.com/locations/al/birmingham/head-start-colonial-promenade-haircuts-60272.html"
"https://www.signaturestyle.com","Head Start - EDGEMONT TOWN CENTER","429 Greensprings Hwy Ste 154","Birmingham","AL","35209","US","Locations","(205) 941-1850","Salons","33.464384","-86.819028","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 1:00 PM - 6:00 PM","https://www.signaturestyle.com/locations/al/birmingham/head-start-edgemont-town-center-haircuts-60203.html"
"https://www.signaturestyle.com","Head Start - SOUTHGATE VILLAGE SHOPPING CTR","1930 Montgomery Hwy S","Birmingham","AL","35244","US","Locations","(205) 987-9988","Salons","33.347452","-86.796737","Monday-Friday 9:00 AM - 6:00 PM Saturday 9:00 AM - 5:00 PM Sunday Closed","https://www.signaturestyle.com/locations/al/birmingham/head-start-southgate-village-shopping-ctr-haircuts-60290.html"
"https://www.signaturestyle.com","Head Start - THE VILLAGE ON MONTEVALLO","4500 Montevallo Rd Ste A-109","Birmingham","AL","35210","US","Locations","(205) 951-2875","Salons","33.520934","-86.727467","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 1:00 PM - 6:00 PM","https://www.signaturestyle.com/locations/al/birmingham/head-start-the-village-on-montevallo-haircuts-60216.html"
"https://www.signaturestyle.com","Head Start - DECATUR CROSSING","1241 Pt Millard Pkwy Se # 410","Decatur","AL","35601","US","Locations","(256) 584-6496","Salons","34.560108","-86.971494","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 1:00 PM - 6:00 PM","https://www.signaturestyle.com/locations/al/decatur/head-start-decatur-crossing-haircuts-60210.html"
"https://www.signaturestyle.com","Cost Cutters - NORTHSIDE MALL","3525 Ross Clark Cir Ste 203","Dothan","AL","36303","US","Locations","(334) 792-0144","Salons","31.248959","-85.428567","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 1:00 PM - 5:00 PM","https://www.signaturestyle.com/locations/al/dothan/cost-cutters-northside-mall-haircuts-62023.html"
"https://www.signaturestyle.com","Cost Cutters - COX CREEK CENTER","392 Cox Creek Pkwy","Florence","AL","35630","US","Locations","(256) 764-1933","Salons","34.842207","-87.637412","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 12:00 PM - 5:00 PM","https://www.signaturestyle.com/locations/al/florence/cost-cutters-cox-creek-center-haircuts-16067.html"
"https://www.signaturestyle.com","Cost Cutters - INSIDE WALMART #766","3100 Hough Rd","Florence","AL","35630","US","Locations","(256) 718-0762","Salons","34.834194","-87.62563","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 11:00 AM - 5:00 PM","https://www.signaturestyle.com/locations/al/florence/cost-cutters-inside-walmart-766-haircuts-15995.html"
"https://www.signaturestyle.com","Cost Cutters - LOCATED INSIDE WALMART #766","3100 Hough Rd","Florence","AL","35630","US","Locations","(256) 718-0762","Salons","34.834194","-87.62563","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 11:00 AM - 5:00 PM","https://www.signaturestyle.com/locations/al/florence/cost-cutters-located-inside-walmart-766-haircuts-15995.html"
"https://www.signaturestyle.com","Cost Cutters - INSIDE WALMART #691","2001 Glenn Blvd Sw","Fort Payne","AL","35968","US","Locations","(256) 997-0105","Salons","34.440054","-85.76152","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 11:00 AM - 5:00 PM","https://www.signaturestyle.com/locations/al/fort-payne/cost-cutters-inside-walmart-691-haircuts-16001.html"
"https://www.signaturestyle.com","Cost Cutters - LOCATED INSIDE WALMART #691","2001 Glenn Blvd Sw","Fort Payne","AL","35968","US","Locations","(256) 997-0105","Salons","34.440054","-85.76152","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 11:00 AM - 5:00 PM","https://www.signaturestyle.com/locations/al/fort-payne/cost-cutters-located-inside-walmart-691-haircuts-16001.html"
"https://www.signaturestyle.com","Head Start - CROWS CORNER","4730 D Highway 17","Helena","AL","35080","US","Locations","(205) 620-9382","Salons","33.280518","-86.854154","Monday-Friday 9:00 AM - 7:00 PM Saturday 9:00 AM - 6:00 PM Sunday 1:00 PM - 6:00 PM","https://www.signaturestyle.com/locations/al/helena/head-start-crows-corner-haircuts-60238.html"
"https://www.signaturestyle.com","Cost Cutters - INSIDE WALMART #434","11610 Memorial Pkwy S","Huntsville","AL","35803","US","Locations","(256) 881-9932","Salons","34.615932","-86.570145","Monday-Friday 9:00 AM - 7:00 PM Saturday 8:00 AM - 6:00 PM Sunday 12:00 PM - 4:00 PM","https://www.signaturestyle.com/locations/al/huntsville/cost-cutters-inside-walmart-434-haircuts-16004.html"
