"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.extendedstayamerica.com","Birmingham - Wildwood","40 State Farm Pkwy.","Birmingham","AL","35209","US","410","+1.205.290.0102","Extended Stay America","33.454629","-86.819375","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/al/birmingham/wildwood"
"https://www.extendedstayamerica.com","Birmingham - Inverness","101 Cahaba Park Cir.","Birmingham","AL","35242","US","409","+1.205.408.0107","Extended Stay America","33.430354","-86.705946","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/al/birmingham/inverness"
"https://www.extendedstayamerica.com","Birmingham - Perimeter Park South","12 Perimeter Park S.","Birmingham","AL","35243","US","46","+1.205.967.3800","Extended Stay America","33.4357","-86.7239","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/al/birmingham/perimeter-park"
"https://www.extendedstayamerica.com","Montgomery - Carmichael Rd.","5115 Carmichael Rd.","Montgomery","AL","36106","US","411","+1.334.273.0075","Extended Stay America","32.3599","-86.2174","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/al/montgomery/carmichael-rd"
"https://www.extendedstayamerica.com","Montgomery - Eastern Blvd.","2491 Eastern Blvd.","Montgomery","AL","36117","US","547","+1.334.279.1204","Extended Stay America","32.347972","-86.221004","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/al/montgomery/eastern-blvd"
"https://www.extendedstayamerica.com","Huntsville - U.S. Space and Rocket Center","4751 Governor's House Dr.","Huntsville","AL","35805","US","548","+1.256.830.9110","Extended Stay America","34.7125","-86.6215","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/al/huntsville/us-space-and-rocket-center"
"https://www.extendedstayamerica.com","Chattanooga - Airport","6240 Airpark Dr.","Chattanooga","TN","37421","US","821","+1.423.892.1315","Extended Stay America","35.0344","-85.185491","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/tn/chattanooga/airport"
"https://www.extendedstayamerica.com","Nashville - Franklin - Cool Springs","680 Bakers Bridge Ave.","Franklin","TN","37067","US","80","+1.615.771.7600","Extended Stay America","35.9605","-86.8084","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/tn/nashville/franklin-cool-springs"
"https://www.extendedstayamerica.com","Nashville - Airport - Music City","727 McGavock Pike","Nashville","TN","37214","US","77","+1.615.316.9020","Extended Stay America","36.1487","-86.6838","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/tn/nashville/airport-music-city"
"https://www.extendedstayamerica.com","Nashville - Brentwood","9025 Church St. E.","Brentwood","TN","37027","US","481","+1.615.373.4272","Extended Stay America","36.033517","-86.7809","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/tn/nashville/brentwood"
"https://www.extendedstayamerica.com","Nashville - Brentwood - South","9020 Church St. E.","Brentwood","TN","37027","US","824","<MISSING>","Extended Stay America","36.033541","-86.781242","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/tn/nashville/brentwood-south"
"https://www.extendedstayamerica.com","Nashville - Vanderbilt","3311 West End Ave.","Nashville","TN","37203","US","818","+1.615.383.7490","Extended Stay America","36.140805","-86.8176","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/tn/nashville/vanderbilt"
"https://www.extendedstayamerica.com","Nashville - Airport - Elm Hill Pike","2511 Elm Hill Pike","Nashville","TN","37214","US","479","<MISSING>","Extended Stay America","36.152174","-86.680804","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/tn/nashville/airport-elm-hill-pike"
"https://www.extendedstayamerica.com","Nashville - Airport","2525 Elm Hill Pike","Nashville","TN","37214","US","817","+1.615.883.7667","Extended Stay America","36.152109","-86.680244","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/tn/nashville/airport"
"https://www.extendedstayamerica.com","Mobile - Spring Hill","508 Spring Hill Plaza Ct.","Mobile","AL","36608","US","549","+1.251.344.2514","Extended Stay America","30.70416","-88.1244","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/al/mobile/spring-hill"
"https://www.extendedstayamerica.com","Pensacola - University Mall","809 Bloodworth Ln.","Pensacola","FL","32504","US","630","+1.850.473.9323","Extended Stay America","30.499663","-87.2214","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/fl/pensacola/university-mall"
"https://www.extendedstayamerica.com","Columbus - Bradley Park","1721 Rollins Way","Columbus","GA","31904","US","632","+1.706.653.9938","Extended Stay America","32.536","-84.9697","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/ga/columbus/bradley-park"
"https://www.extendedstayamerica.com","Columbus - Airport","5020 Armour Rd.","Columbus","GA","31904","US","639","+1.706.653.0131","Extended Stay America","32.513384","-84.9537","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/ga/columbus/airport"
"https://www.extendedstayamerica.com","Anchorage - Midtown","700 East 34th Avenue","Anchorage","AK","99503","US","960","+1.907.646.4208","Extended Stay America","61.1895","-149.8709","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/ak/anchorage/midtown"
"https://www.extendedstayamerica.com","Anchorage - Downtown","108 East 8th Avenue","Anchorage","AK","99501","US","965","+1.907.868.1605","Extended Stay America","61.2146","-149.8831","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/ak/anchorage/downtown"
"https://www.extendedstayamerica.com","Fairbanks - Old Airport Way","4580  Old Airport Way","Fairbanks","AK","99709","US","964","+1.907.457.2288","Extended Stay America","64.8354","-147.8226","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/ak/fairbanks/old-airport-way"
"https://www.extendedstayamerica.com","Juneau - Shell Simmons Drive","1800 Shell Simmons Drive","Juneau","AK","99801","US","963","+1.907.790.6435","Extended Stay America","58.3629","-134.581","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/ak/juneau/shell-simmons-drive"
"https://www.extendedstayamerica.com","Phoenix - Chandler Downtown","2055 W Chandler Blvd","Chandler","AZ","85224","US","988","480.681.1002","Extended Stay America","33.305917","-111.876971","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/chandler-downtown"
"https://www.extendedstayamerica.com","Phoenix - Airport - Tempe","2165 W. 15th","Tempe","AZ","85281","US","122","+1.480.557.8880","Extended Stay America","33.4122","-111.972345","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/airport-tempe"
"https://www.extendedstayamerica.com","Phoenix - Biltmore","5235 N. 16th St.","Phoenix","AZ","85016","US","956","+1.602.265.6800","Extended Stay America","33.513949","-112.047484","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/biltmore"
"https://www.extendedstayamerica.com","Phoenix - Airport - E. Oak St.","4357 East Oak Street","Phoenix","AZ","85008","US","892","+1.602.225.2998","Extended Stay America","33.472998","-111.98797","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/airport-e-oak-st"
"https://www.extendedstayamerica.com","Phoenix - Airport","3421 E. Elwood St.","Phoenix","AZ","85040","US","555","+1.602.438.2900","Extended Stay America","33.4145","-112.00677","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/airport"
"https://www.extendedstayamerica.com","Phoenix - Midtown","217 West Osborn Road","Phoenix","AZ","85013","US","895","<MISSING>","Extended Stay America","33.487448","-112.0768","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/midtown"
"https://www.extendedstayamerica.com","Phoenix - Chandler","14245 S. 50th St.","Phoenix","AZ","85044","US","552","<MISSING>","Extended Stay America","33.3192","-111.976088","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/chandler"
"https://www.extendedstayamerica.com","Phoenix - Scottsdale","10660 N. 69th St.","Scottsdale","AZ","85254","US","941","+1.480.483.1333","Extended Stay America","33.583275","-111.932443","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/scottsdale"
"https://www.extendedstayamerica.com","Phoenix - Scottsdale - Old Town","3560 N. Marshall Way","Scottsdale","AZ","85251","US","106","+1.480.994.0297","Extended Stay America","33.489162","-111.928236","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/scottsdale-old-town"
"https://www.extendedstayamerica.com","Phoenix - Deer Valley","20827 N. 27th Ave.","Phoenix","AZ","85027","US","554","+1.623.879.6609","Extended Stay America","33.6754","-112.1172","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/deer-valley"
"https://www.extendedstayamerica.com","Phoenix - Scottsdale - North","15501 N. Scottsdale Rd.","Scottsdale","AZ","85254","US","553","+1.480.607.3767","Extended Stay America","33.626664","-111.925484","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/scottsdale-north"
"https://www.extendedstayamerica.com","Phoenix - Mesa","455 W. Baseline Rd.","Mesa","AZ","85210","US","556","+1.480.632.0201","Extended Stay America","33.378677","-111.842374","Open 24 hours a day, seven days a week","https://www.extendedstayamerica.com/hotels/az/phoenix/mesa"
