"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://factory.jcrew.com/","Pleasant Prairie Premium","Lakeside Market Place, 11211 120th Ave","Pleasant Prairie","WI","53158","US","514","262 857 9093","<MISSING>","42.5177626","-87.9497607","Sun 10:00AM - 7:00PM Mon – Sat 10:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-pleasant-prairie-premium"
"https://factory.jcrew.com/","Williamsburg Premium Outlets","5715 E090 Richmond Rd","Williamsburg","VA","23188","US","515","757 565 4444","<MISSING>","37.3210839","-76.7375873","Sun 10:00AM - 7:00PM Mon – Sat 10:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-williamsburg-premium-outlets"
"https://factory.jcrew.com/","Tanger Outlets: Hilton Head","1252 Fording Island Road Suite 360","Bluffton","SC","29910","US","516","843 836 1911","<MISSING>","32.2484338","-80.8346943","Sun 10:00AM - 7:00PM Mon – Sat 9:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-tanger-outlets-hilton-head"
"https://factory.jcrew.com/","Settlers Green Outlet Village","2 Common Court Unit #C18","North Conway","NH","03860","US","517","603 356 9228","<MISSING>","44.0230638","-71.1139274","Sun – Thu 10:00AM - 6:00PM Fri – Sat 10:00AM - 8:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-settlers-green-outlet-village"
"https://factory.jcrew.com/","FreeportUSA","8 Bow Street","Freeport","ME","04032","US","518","207 865 3180","<MISSING>","43.856859","-70.102285","Sun – Sat 10:00AM - 6:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-freeportusa"
"https://factory.jcrew.com/","Birch Run Premium Outlets","12154 Beyer Rd #260","Birch Run","MI","48415","US","519","989 624 4881","<MISSING>","43.2476331","-83.778864","Sun – Thu 10:00AM - 7:00PM Fri – Sat 10:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-birch-run-premium-outlets"
"https://factory.jcrew.com/","Kittery Outlet Village","294 US Route One Space K130","Kittery","ME","03904","US","520","207 439 5810","<MISSING>","43.1139413","-70.7304129","Sun 10:00AM - 6:00PM Mon – Thu 9:00AM - 6:00PM Fri – Sat 9:00AM - 8:00PM","https://stores.factory.jcrew.com//en/kittery-outlet-village"
"https://factory.jcrew.com/","Outlets at Silverthorne","167 B Wildernest Road #29","Silverthorne","CO","80498","US","521","970 262 1612","<MISSING>","39.627878","-106.0721107","Sun 10:00AM - 6:00PM Mon – Sat 10:00AM - 8:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-outlets-at-silverthorne"
"https://factory.jcrew.com/","Tanger Outlets: Foley","2601 S  McKenzie St Suite 434","Foley","AL","36535","US","522","251 943 7703","<MISSING>","30.3757092","-87.6799999","Sun 11:00AM - 6:00PM Mon – Sat 9:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-tanger-outlets-foley"
"https://factory.jcrew.com/","Lighthouse Pl Premium Outlets","701 Lighthouse Place","Michigan City","IN","46360","US","523","219 873 9292","<MISSING>","41.7157793","-86.9056755","Sun – Thu 9:00AM - 6:00PM Fri – Sat 9:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-lighthouse-pl-premium-outlets"
"https://factory.jcrew.com/","Manchester Designer Outlets","341 Depot Street","Manchester Center","VT","05255","US","524","802 362 2950","<MISSING>","43.1745012","-73.0513607","Sun 10:00AM - 5:00PM Mon – Sat 10:00AM - 6:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-manchester-designer-outlets"
"https://factory.jcrew.com/","Silver Sands Premium Outlets","10406 Emerald Coast Pkwy W #15","Destin","FL","32550","US","525","850 654 5565","<MISSING>","30.3871161","-86.4445897","Sun 10:00AM - 6:00PM Mon – Sat 10:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-silver-sands-premium-outlets"
"https://factory.jcrew.com/","Tanger Outlets: Lancaster","311 Stanley K Tanger Blvd Suite 111","Lancaster","PA","17602","US","526","717 295 1050","<MISSING>","40.0271454","-76.2227593","Sun 10:00AM - 7:00PM Mon – Sat 9:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-tanger-outlets-lancaster"
"https://factory.jcrew.com/","Woodbury Common Premium","460 Dune Road ","Central Valley","NY","10917","US","527","845 928 4400","<MISSING>","41.3158608","-74.1271786","Sun – Sat 10:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-woodbury-common-premium"
"https://factory.jcrew.com/","The Crossings Premium Outlets","1000 Premium Outlets Drive Suite E 04","Tannersville","PA","18372","US","528","570 620 2090","<MISSING>","41.0478287","-75.3122875","Sun – Thu 10:00AM - 7:00PM Fri – Sat 10:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-the-crossings-premium-outlets"
"https://factory.jcrew.com/","San Marcos Premium Outlets","3939 IH 35 South Suite 1330","San Marcos","TX","78666","US","529","512 353 3347","<MISSING>","29.8908704","-97.9131294","Sun 10:00AM - 7:00PM Mon – Sat 10:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-san-marcos-premium-outlets"
"https://factory.jcrew.com/","Gilroy Premium Outlets","681 Leavesley Rd Space B210","Gilroy","CA","95020","US","530","408 848 1633","<MISSING>","37.0261529","-121.564868","Sun 10:00AM - 7:00PM Mon – Sat 10:00AM - 9:00PM","https://stores.factory.jcrew.com//en/j-crew-factory-gilroy-premium-outlets"
