"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"http://foodsco.net/","Natomas Gardens Shopping Center","3625 Northgate Blvd","Sacramento","CA","95834","US","00355","9169278560","FoodsCo","38.6310338","-121.47723189999999","Sun = 7:00 AM - 11:00 PM  Mon = 7:00 AM - 11:00 PM  Tue = 7:00 AM - 11:00 PM  Wed = 7:00 AM - 11:00 PM  Thu = 7:00 AM - 11:00 PM  Fri = 7:00 AM - 11:00 PM  Sat = 7:00 AM - 11:00 PM","https://www.foodsco.net/stores/details/704/00355"
"http://foodsco.net/","Stockton Blvd (FC)","5330 Stockton Blvd","Sacramento","CA","95820","US","00501","9164510806","FoodsCo","38.5271212","-121.4446516","Sun = 7:00 AM - 11:00 PM  Mon = 7:00 AM - 11:00 PM  Tue = 7:00 AM - 11:00 PM  Wed = 7:00 AM - 11:00 PM  Thu = 7:00 AM - 11:00 PM  Fri = 7:00 AM - 11:00 PM  Sat = 7:00 AM - 11:00 PM","https://www.foodsco.net/stores/details/704/00501"
"http://foodsco.net/","Gerber Road (FC)","8122 Gerber Rd","Sacramento","CA","95828","US","00371","9166895959","FoodsCo","38.4803977","-121.4076068","Sun = 7:00 AM - 11:00 PM  Mon = 7:00 AM - 11:00 PM  Tue = 7:00 AM - 11:00 PM  Wed = 7:00 AM - 11:00 PM  Thu = 7:00 AM - 11:00 PM  Fri = 7:00 AM - 11:00 PM  Sat = 7:00 AM - 11:00 PM","https://www.foodsco.net/stores/details/704/00371"
"http://foodsco.net/","Collage Square Marketplace","7421 W Stockton Blvd","Sacramento","CA","95823","US","00532","9166883343","FoodsCo","38.4566875","-121.4154151","Sun = 7:00 AM - 11:00 PM  Mon = 7:00 AM - 11:00 PM  Tue = 7:00 AM - 11:00 PM  Wed = 7:00 AM - 11:00 PM  Thu = 7:00 AM - 11:00 PM  Fri = 7:00 AM - 11:00 PM  Sat = 7:00 AM - 11:00 PM","https://www.foodsco.net/stores/details/704/00532"
"http://foodsco.net/","Pittsburg","300 Atlantic Ave","Pittsburg","CA","94565","US","00764","9254732130","FoodsCo","38.0069619","-121.8880421","Sun = 7:00 AM - 11:00 PM  Mon = 7:00 AM - 11:00 PM  Tue = 7:00 AM - 11:00 PM  Wed = 7:00 AM - 11:00 PM  Thu = 7:00 AM - 11:00 PM  Fri = 7:00 AM - 11:00 PM  Sat = 7:00 AM - 11:00 PM","https://www.foodsco.net/stores/details/704/00764"
"http://foodsco.net/","Richmond City Center","1250 Macdonald Ave","Richmond","CA","94801","US","00352","5104124444","FoodsCo","37.9344357","-122.3569548","Sun = 7:00 AM - 10:00 PM  Mon = 7:00 AM - 10:00 PM  Tue = 7:00 AM - 10:00 PM  Wed = 7:00 AM - 10:00 PM  Thu = 7:00 AM - 10:00 PM  Fri = 7:00 AM - 10:00 PM  Sat = 7:00 AM - 10:00 PM","https://www.foodsco.net/stores/details/704/00352"
"http://foodsco.net/","Oakland","10790 Macarthur Blvd","Oakland","CA","94605","US","00534","5109243060","FoodsCo","37.7432402","-122.1483776","Sun = 7:00 AM - 10:00 PM  Mon = 7:00 AM - 10:00 PM  Tue = 7:00 AM - 10:00 PM  Wed = 7:00 AM - 10:00 PM  Thu = 7:00 AM - 10:00 PM  Fri = 7:00 AM - 10:00 PM  Sat = 7:00 AM - 10:00 PM","https://www.foodsco.net/stores/details/704/00534"
"http://foodsco.net/","Folsom","1800 Folsom St","San Francisco","CA","94103","US","00357","4155589137","FoodsCo","37.7677384","-122.4161106","Sun = 7:00 AM - 10:00 PM  Mon = 7:00 AM - 10:00 PM  Tue = 7:00 AM - 10:00 PM  Wed = 7:00 AM - 10:00 PM  Thu = 7:00 AM - 10:00 PM  Fri = 7:00 AM - 10:00 PM  Sat = 7:00 AM - 10:00 PM","https://www.foodsco.net/stores/details/704/00357"
"http://foodsco.net/","San Francisco/Williams","345 Williams Ave","San Francisco","CA","94124","US","00351","4153301870","FoodsCo","37.7298405","-122.398825","Sun = 7:00 AM - 11:00 PM  Mon = 7:00 AM - 11:00 PM  Tue = 7:00 AM - 11:00 PM  Wed = 7:00 AM - 11:00 PM  Thu = 7:00 AM - 11:00 PM  Fri = 7:00 AM - 11:00 PM  Sat = 7:00 AM - 11:00 PM","https://www.foodsco.net/stores/details/704/00351"
"http://foodsco.net/","Salinas","1030 E Alisal St","Salinas","CA","93905","US","00769","8314240455","FoodsCo","36.6714507","-121.62596070000001","Sun = 7:00 AM - 11:00 PM  Mon = 7:00 AM - 11:00 PM  Tue = 7:00 AM - 11:00 PM  Wed = 7:00 AM - 11:00 PM  Thu = 7:00 AM - 11:00 PM  Fri = 7:00 AM - 11:00 PM  Sat = 7:00 AM - 11:00 PM","https://www.foodsco.net/stores/details/704/00769"
