"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://homestarbank.com","JOLIET DOWNTOWN BANKING CENTER","100 N. CHICAGO STREET","JOLIET","IL","60432","US","<MISSING>","815-230-4380","branch","41.52604","-88.08142","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 12:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: Closed  Sunday: Closed","https://www.midlandsb.com/location"
"https://homestarbank.com","JOLIET BANKING CENTER","1540 ROUTE 59","JOLIET","IL","60431","US","<MISSING>","815-230-4300","branch","41.54988","-88.19897","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 12:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: Closed  Sunday: Closed","https://www.midlandsb.com/location"
"https://homestarbank.com","BEECHER BANKING CENTER","951 DIXIE HIGHWAY","BEECHER","IL","60401","US","<MISSING>","708-946-2500","branch","41.34892","-87.62141","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 5:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: 9:00 - 12:00  Sunday: Closed","https://www.midlandsb.com/location"
"https://homestarbank.com","Manteno","303 Section Line Rd","Manteno","IL","60950","US","<MISSING>","815.468.3213","branch","41.25081","-87.83913","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 5:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: 9:00 - 12:00  Sunday: Closed","https://www.midlandsb.com/location"
"https://homestarbank.com","GRANT PARK BANKING CENTER","119 NORTH MAIN STREET","GRANT PARK","IL","60940","US","<MISSING>","815-465-2161","branch","41.24029","-87.64507","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 5:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: 9:00 - 12:00  Sunday: Closed","https://www.midlandsb.com/location"
"https://homestarbank.com","YORKVILLE BANKING CENTER","208 E. VETERANS PKWY","YORKVILLE","IL","60560","US","<MISSING>","630-553-7888","branch","41.65694","-88.44052","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 5:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: 9:00 - 12:00  Sunday: Closed","https://www.midlandsb.com/location"
"https://homestarbank.com","Bourbonnais Banking Center","576 William Latham Drive","Bourbonnais","IL","60914","US","<MISSING>","815.937.2829","branch","41.16225","-87.88087","Monday: 9:00-5:00  Tuesday: 9:00-5:00  Wednesday: 9:00-5:00  Thursday: 9:00-5:00  Friday: 9:00-5:00  Saturday: 9:00-12:00","https://www.midlandsb.com/location"
"https://homestarbank.com","BRADLEY BANKING CENTER","980 N KINZIE AVE","BRADLEY","IL","60915","US","<MISSING>","815.937.3681","branch","41.15855","-87.85022","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 5:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: 9:00 - 12:00  Sunday: Closed","https://www.midlandsb.com/location"
"https://homestarbank.com","MOMENCE BANKING CENTER","200 W. WASHINGTON ST","MOMENCE","IL","60954","US","<MISSING>","815-472-4000","branch","41.16319","-87.6647","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 5:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: 9:00 - 12:00  Sunday: Closed","https://www.midlandsb.com/location"
"https://homestarbank.com","Bradley Banking Center","435 E North St","Bradley","IL","60915","US","<MISSING>","815.937.3681","branch","41.1483","-87.85724","Monday: 9:00 - 5:00  Tuesday: 9:00 - 5:00  Wednesday: 9:00 - 12:00  Thursday: 9:00 - 5:00  Friday: 9:00 - 5:00  Saturday: 9:00 - 12:00  Sunday: Closed","https://www.midlandsb.com/location"
