"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.johnstonmurphy.com","The Shops at LaCantera","15900 LaCantera Parkway","San Antonio","TX","78256","US","<MISSING>","(210) 558-3340","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon-Sat 10am-9pm, Sun 12pm-6pm ","<MISSING>"
"https://www.johnstonmurphy.com","Barton Creek Square Mall","2901 Capitol of Texas Hwy","Austin","TX","78746","US","<MISSING>","(512) 732-0867","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon-Sat 10am-9pm, Sun 12pm-6pm ","<MISSING>"
"https://www.johnstonmurphy.com","Paragon Outlets Grand Prairie","2950 West Interstate 20","Grand Prairie","TX","75052","US","<MISSING>","(972) 352-2971","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon-Sat 10am-9pm, Sun 11am-6pm ","<MISSING>"
"https://www.johnstonmurphy.com","Dallas/Ft Worth Intl. Airport","2040 N International Pkwy, Terminal A","Dallas","TX","75261","US","<MISSING>","(469) 629-5301","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon - Fri: 6:30am - 7pm
Sat-Sun: 7am - 7pm ","<MISSING>"
"https://www.johnstonmurphy.com","The Shops at Willow Bend","6121 West Park Boulevard","Plano","TX","75093","US","<MISSING>","(469) 366-1076","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon-Sat 10am-9pm, Sun 12pm-6pm ","<MISSING>"
"https://www.johnstonmurphy.com","Memorial City","303 Memorial City Way","Houston","TX","77024","US","<MISSING>","(713) 468-3607","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon-Sat 10am-9pm, Sun 11am-7pm ","<MISSING>"
"https://www.johnstonmurphy.com","Denver International Airport","8900 Pena Boulevard","Denver","CO","80249-2026","US","<MISSING>","(303) 342-6935","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon-Sun 6am-9pm ","<MISSING>"
"https://www.johnstonmurphy.com","Scottsdale Fashion Square","7014 E. Camelback Rd.","Scottsdale","AZ","85251","US","<MISSING>","(480) 425-7748","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon - Sat 10am-9pm, Sun 11am-6pm ","<MISSING>"
"https://www.johnstonmurphy.com","Phoenix Sky Harbor International Airport","3800 East Sky Harbor Boulevard","Phoenix","AZ","85034","US","<MISSING>","(602) 231-5441","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Sun-Fri 6am-9pm, Sat 6am-8pm ","<MISSING>"
"https://www.johnstonmurphy.com","Oak Park Mall","11251 W 95th St.","Overland Park","KS","66214","US","<MISSING>","(913) 894-5996","<MISSING>","<INACCESSIBLE>","<INACCESSIBLE>"," Mon-Sat 10am-9pm, Sun 11am-6pm ","<MISSING>"
