"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://www.kia.com/","Anderson KIA","806 S. Belt Highway","St. Joseph","MO","64507","US","013","(816) 279-0354","<MISSING>","39.75944","-94.80537","<MISSING>","http://www.andersonkia.com"
"https://www.kia.com/","Oakes KIA","2900 Burlington Street","North Kansas City","MO","64116","US","033","(816) 474-2900","<MISSING>","39.14986","-94.58115","<MISSING>","http://www.oakeskia.com"
"https://www.kia.com/","Bob Sight Independence KIA","1700 South Noland Road","Independence","MO","64055","US","018","(816) 461-0200","<MISSING>","39.0715","-94.41551","<MISSING>","http://www.bobsightkia.com"
"https://www.kia.com/","Shawnee Mission KIA","7951 Shawnee Mission Parkway","Merriam","KS","66202","US","011","(913) 384-9100","<MISSING>","39.01442","-94.67766","<MISSING>","http://www.shawneemissionkia.com"
"https://www.kia.com/","Cable Dahmer KIA of Lees Summit","400 Ne Colbern Road","Lees Summit","MO","64086","US","029","(816) 207-6200","<MISSING>","38.94681","-94.36985","<MISSING>","http://www.cabledahmerkia.com"
"https://www.kia.com/","Edwards KIA","3134 S. 9th Street","Council Bluffs","IA","51501","US","006","(712) 890-2542","<MISSING>","41.2290536","-95.8574451","<MISSING>","http://www.lakemanawakia.com"
"https://www.kia.com/","Olathe KIA","130 North Fir","Olathe","KS","66061","US","004","(913) 390-6800","<MISSING>","38.88284","-94.79263","<MISSING>","http://www.olathekia.com"
"https://www.kia.com/","Lawrence KIA","1225 E. 23rd Street","Lawrence","KS","66046","US","010","(785) 856-8700","<MISSING>","38.94191","-95.2178","<MISSING>","http://www.lawrencekia.com"
"https://www.kia.com/","H & H KIA","4040 South 84th Street","Omaha","NE","68127","US","005","(402) 331-9100","<MISSING>","41.22035","-96.04417","<MISSING>","http://hhkia.com"
"https://www.kia.com/","Briggs KIA","3137 S. Kansas Avenue","Topeka","KS","66611","US","008","(785) 267-7474","<MISSING>","39.01171","-95.68206","<MISSING>","http://www.briggskia.com"
"https://www.kia.com/","KIA of Des Moines","4475 Merle Hay Road","Des Moines","IA","50310","US","001","(515) 270-0706","<MISSING>","41.64172","-93.69517","<MISSING>","http://www.kiadm.com"
"https://www.kia.com/","KIA of Lincoln","1145 N. 48th Street","Lincoln","NE","68504","US","003","(402) 434-7000","<MISSING>","40.82479","-96.65446","<MISSING>","http://www.kiaoflincoln.com"
"https://www.kia.com/","KIA of Manhattan","8223 Southport Drive","Manhattan","KS","66502","US","015","(785) 236-7002","<MISSING>","39.19482","-96.52342","<MISSING>","http://www.manhattan-kia.com"
"https://www.kia.com/","KIA of Columbia","710 Business Loop 70 W","Columbia","MO","65203","US","030","(573) 442-9200","<MISSING>","38.9657","-92.34798","<MISSING>","http://www.kiaofcolumbia.com"
"https://www.kia.com/","Billion KIA of Sioux City","3701 Singing Hills Blvd.","Sioux City","IA","51106","US","011","(712) 244-5050","<MISSING>","42.43948","-96.35981","<MISSING>","http://www.billionkiaofsiouxcity.com"
"https://www.kia.com/","Shottenkirk KIA of Quincy","1330 N. 24th Street","Quincy","IL","62301","US","055","(217) 224-1000","<MISSING>","39.94749","-91.37711","<MISSING>","http://www.shottenkirkkia.com"
"https://www.kia.com/","Shottenkirk KIA","309 S. Gear Avenue","West Burlington","IA","52655","US","010","(319) 758-5900","<MISSING>","40.82337","-91.17154","<MISSING>","http://www.kiaofwestburlington.com/"
"https://www.kia.com/","Billion KIA of Iowa City","2845 Mormon Trek Blvd.","Iowa City","IA","52246","US","015","(319) 512-7930","<MISSING>","41.63268","-91.56246","<MISSING>","http://www.billionkiaofiowacity.com"
"https://www.kia.com/","Dick Witham KIA","2033 Laporte Road","Waterloo","IA","50702","US","004","(319) 234-4200","<MISSING>","42.4659","-92.3183","<MISSING>","http://www.withamkia.com"
"https://www.kia.com/","McGrath KIA","1020 N. Center Point Road","Hiawatha","IA","52233","US","014","(319) 393-3300","<MISSING>","42.04732","-91.68505","<MISSING>","http://www.mcgrathkia.com"
"https://www.kia.com/","Napleton's Mid Rivers KIA","4955 Veterns Memorial Pwky","St. Peters","MO","63376","US","027","(636) 926-2110","<MISSING>","38.79696","-90.59067","<MISSING>","http://www.midriverskia.com"
"https://www.kia.com/","Jim Butler KIA","722 Long Road Crossing","Chesterfield","MO","63005","US","022","(636) 256-9600","<MISSING>","38.67099","-90.62002","<MISSING>","http://www.jimbutlerkia.com"
"https://www.kia.com/","HW Kia of West County","14116 Manchester Road","Ballwin","MO","63011","US","031","(636) 591-2900","<MISSING>","38.59347","-90.49513","<MISSING>","http://www.hwkia.com"
"https://www.kia.com/","Lou Fusz KIA","1025 N. Lindbergh Bvld.","St. Louis","MO","63132","US","003","(314) 595-4900","<MISSING>","38.67576","-90.40545","<MISSING>","http://www.kia.fusz.com"
"https://www.kia.com/","Steve Schmitt KIA","11655 New Halls Ferry Road","Florissant","MO","63033","US","034","(314) 831-0200","<MISSING>","38.77785","-90.27661","<MISSING>","http://www.steveschmittkia.com"
"https://www.kia.com/","Suntrup KIA","6263 S. Lindbergh Blvd.","St. Louis","MO","63123","US","017","(314) 894-2311","<MISSING>","38.51603","-90.34424","<MISSING>","http://www.suntrupkiasouth.com"
"https://www.kia.com/","Kingdom KIA","2600 North Bishop Avenue","Rolla","MO","65401","US","020","(573) 426-3100","<MISSING>","37.97053","-91.75972","<MISSING>","http://www.kingdomkia.com"
"https://www.kia.com/","Federico KIA","1911 East Edwardsville Road","Wood River","IL","62095","US","079","(618) 216-8080","<MISSING>","38.8564026","-90.0638961","<MISSING>","http://www.federicokia.com"
"https://www.kia.com/","Auffenberg KIA","106 Auto Court","O'Fallon","IL","62269","US","014","(618) 624-2277","<MISSING>","38.59284","-89.95866","<MISSING>","http://www.auffenbergkia.com"
"https://www.kia.com/","Green KIA","3861 W. Wabash","Springfield","IL","62711","US","047","(217) 522-1222","<MISSING>","39.75716","-89.72708","<MISSING>","http://www.greenkia.com"
"https://www.kia.com/","Mike Miller KIA","2007 W. Pioneer Parkway","Peoria","IL","61615","US","017","(309) 693-1222","<MISSING>","40.78444","-89.62368","<MISSING>","http://www.mikemillerkia.com/"
"https://www.kia.com/","O'Brien KIA of Bloomington","1608 S. Morrissey Drive","Bloomington","IL","61704","US","081","(309) 664-1222","<MISSING>","40.45775","-88.96867","<MISSING>","http://www.obrienteamkia.com"
"https://www.kia.com/","Mark Martin KIA","1601 Batesville Blvd","Batesville","AR","72501","US","015","(870) 793-4461","<MISSING>","35.71422","-91.63355","<MISSING>","http://www.markmartinkia.com"
"https://www.kia.com/","Cavenaugh KIA","3315 Stadium Blvd.","Jonesboro","AR","72404","US","012","(870) 802-4451","<MISSING>","35.79965","-90.67044","<MISSING>","http://www.cavenaughkia.com"
"https://www.kia.com/","Crain KIA of Conway","810 South Amity Road","Conway","AR","72032","US","019","(501) 470-7000","<MISSING>","35.06878","-92.41595","<MISSING>","http://www.crainkiaofconway.com"
"https://www.kia.com/","Crain KIA","5830 Warden Road","Sherwood","AR","72120","US","007","(501) 542-5200","<MISSING>","34.80937","-92.20864","<MISSING>","http://www.crainkia.com"
"https://www.kia.com/","John Youngblood KIA","3525 S. Campbell","Springfield","MO","65807","US","006","(417) 882-3838","<MISSING>","37.15019","-93.2971","<MISSING>","http://www.springfieldkia.com"
"https://www.kia.com/","Steve Landers KIA","201 Colonel Glenn Plaza Loop","Little Rock","AR","72210","US","022","(877) 552-9504","<MISSING>","34.70725","-92.40747","<MISSING>","http://www.stevelanderskia.com"
"https://www.kia.com/","Gossett KIA","1900 Covington Pike","Memphis","TN","38128","US","027","(901) 388-8989","<MISSING>","35.17759","-89.89493","<MISSING>","http://www.gossettmotors.com/gossettkia/"
"https://www.kia.com/","Gossett KIA South","2680 Mt. Moriah","Memphis","TN","38115","US","036","(901) 363-6556","<MISSING>","35.07608","-89.87899","<MISSING>","http://www.gossettkiasouth.com/"
"https://www.kia.com/","Auffenberg KIA Cape Girardeau","611 South Kings Highway","Cape Girardeau","MO","63703","US","009","(573) 339-1000","<MISSING>","37.29158","-89.55613","<MISSING>","http://www.capekia.com"
"https://www.kia.com/","Crain KIA of Fayetteville","3195 N. College Avenue","Fayetteville","AR","72703","US","025","(479) 387-9000","<MISSING>","36.10916","-94.14588","<MISSING>","http://www.crainkiaoffayetteville.com"
"https://www.kia.com/","Crain KIA of Bentonville","2901 Moberly Lane","Bentonville","AR","72712","US","021","(479) 695-6500","<MISSING>","36.34156","-94.18282","<MISSING>","http://www.crainkiaofbentonville.com"
"https://www.kia.com/","Serra KIA of Jackson","175 Stonebridge Blvd.","Jackson","TN","38305","US","038","(731) 660-5501","<MISSING>","35.67877","-88.85297","<MISSING>","http://www.serrakiajackson.com"
"https://www.kia.com/","Larry Stovesand KIA","528 San Diego Road","Carbondale","IL","62901","US","082","(618) 319-4690","<MISSING>","37.74683","-89.14652","<MISSING>","http://www.larrystovesandkia.com"
"https://www.kia.com/","Roper KIA","320 Hodgdon Road","Joplin","MO","64801","US","012","(417) 626-3800","<MISSING>","37.0934","-94.4796","<MISSING>","http://www.roper-kia.net"
"https://www.kia.com/","Crain KIA of Fort Smith","8200 Us 71","Fort Smith","AR","72908","US","024","(479) 424-1002","<MISSING>","35.30649","-94.3959","<MISSING>","http://www.crainkiaftsmith.com"
"https://www.kia.com/","Gerald KIA of North Aurora","201 Hansen Blvd.","North Aurora","IL","60542","US","071","(630) 907-0770","<MISSING>","41.80118","-88.37079","<MISSING>","http://www.geraldkianorthaurora.com"
"https://www.kia.com/","Bill Walsh KIA","2900 Columbus Street","Ottawa","IL","61350","US","063","(815) 434-4800","<MISSING>","41.37257","-88.83539","<MISSING>","http://www.billwalshkia.com"
"https://www.kia.com/","Gerald KIA of Naperville","1661 Aurora Ave.","Naperville","IL","60540","US","054","(630) 445-2542","<MISSING>","41.76511","-88.18814","<MISSING>","http://www.geraldkianaperville.com"
"https://www.kia.com/","Napleton's Elgin KIA","909 E. Chicago Street","Elgin","IL","60120","US","072","(847) 717-8800","<MISSING>","42.0338","-88.25691","<MISSING>","http://www.napletonselginkia.com"
"https://www.kia.com/","World KIA Joliet","2525 W. Jefferson Street","Joliet","IL","60435","US","074","(815) 725-2575","<MISSING>","41.52267","-88.14584","<MISSING>","http://www.worldkiajoliet.com"
"https://www.kia.com/","Rock River KIA","226 North Alpine Road","Rockford","IL","61107","US","036","(815) 391-6113","<MISSING>","42.26695","-89.0298","<MISSING>","http://www.driverockriverkia.com"
"https://www.kia.com/","Bob Rohrman Schaumburg KIA","1100 E. Golf Road","Schaumburg","IL","60173","US","064","(847) 908-0502","<MISSING>","42.05116","-88.05174","<MISSING>","http://www.schaumburgkia.com"
"https://www.kia.com/","Willowbrook KIA","7345 South Kingery Hwy.","Willowbrook","IL","60527","US","016","(630) 986-5000","<MISSING>","41.75409","-87.94335","<MISSING>","http://willowbrookkia.com"
"https://www.kia.com/","Napleton's KIA of Elmhurst","727 W. Grand","Elmhurst","IL","60126","US","035","(630) 782-9300","<MISSING>","41.92434","-87.96289","<MISSING>","http://www.napletonkia.com/"
"https://www.kia.com/","Gary Lang KIA","1121 S. Route 31","Mchenry","IL","60050","US","057","(815) 385-2100","<MISSING>","42.31164","-88.28025","<MISSING>","http://www.garylangkia.com"
"https://www.kia.com/","McGrath KIA of Palatine","1400 East Dundee Road","Palatine","IL","60074","US","080","(847) 202-3900","<MISSING>","42.1398","-88.0111","<MISSING>","http://www.mcgratharlingtonkia.com"
"https://www.kia.com/","International KIA","8821 W. 159th Street","Orland Hills","IL","60487","US","073","(708) 468-0000","<MISSING>","41.60113","-87.83474","<MISSING>","http://www.kiaoforland.com"
"https://www.kia.com/","Berwyn KIA","7050 Ogden Avenue","Berwyn","IL","60402","US","066","(708) 797-0300","<MISSING>","41.82455","-87.79962","<MISSING>","http://www.berwynkia.com"
"https://www.kia.com/","Liberty KIA","921 South Milwaukee Avenue","Libertyville","IL","60048","US","003","(847) 680-8000","<MISSING>","42.27082","-87.95157","<MISSING>","http://www.libertyvillekia.com"
"https://www.kia.com/","Hawkinson KIA","5501 Miller Circle Drive","Matteson","IL","60443","US","061","(708) 720-8999","<MISSING>","41.50486","-87.74718","<MISSING>","http://www.hawkinsonkia.com"
"https://www.kia.com/","KIA of Lincolnwood","6750 N. Lincoln Avenue","Lincolnwood","IL","60712","US","083","(847) 581-7500","<MISSING>","42.00337","-87.7292","<MISSING>","http://www.grossingerkia.com"
"https://www.kia.com/","Evergreen KIA","9205 S. Western Ave.","Chicago","IL","60643","US","040","(773) 779-4281","<MISSING>","41.72596","-87.68176","<MISSING>","http://www.evergreenkia.net"
